t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1574560017,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560020,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560023,261,29.039124,0.000000,0.000000,0.000000,events/second
1574560026,261,21.796345,0.000000,0.000000,0.000000,events/second
1574560029,261,17.435163,0.000000,0.000000,0.000000,events/second
1574560032,261,14.524386,0.000000,0.000000,0.000000,events/second
1574560035,261,12.444308,0.000000,0.000000,0.000000,events/second
1574560038,261,10.888492,0.000000,0.000000,0.000000,events/second
1574560041,261,9.678026,0.000000,0.000000,0.000000,events/second
1574560044,261,8.708565,0.000000,0.000000,0.000000,events/second
1574560047,523,15.863359,0.000000,0.000000,0.000000,events/second
1574560050,2610,72.564461,0.000000,0.000000,0.000000,events/second
1574560053,3957,101.531004,0.000000,0.000000,0.000000,events/second
1574560056,4089,97.418678,0.000000,0.000000,0.000000,events/second
1574560059,4089,90.928253,0.000000,0.000000,0.000000,events/second
1574560062,4160,86.716949,0.000000,0.000000,0.000000,events/second
1574560065,4770,93.580573,0.000000,0.000000,0.000000,events/second
1574560068,4849,89.850150,0.000000,0.000000,0.000000,events/second
1574560071,4886,85.760543,0.000000,0.000000,0.000000,events/second
1574560074,4955,82.627234,0.000000,0.000000,0.000000,events/second
1574560077,4955,78.686593,0.000000,0.000000,0.000000,events/second
1574560080,5064,76.760671,0.000000,0.000000,0.000000,events/second
1574560083,5236,75.916336,0.000000,0.000000,0.000000,events/second
1574560086,5794,80.503373,0.000000,0.000000,0.000000,events/second
1574560089,6269,83.621266,0.000000,0.000000,0.000000,events/second
1574560092,6679,85.660831,0.000000,0.000000,0.000000,events/second
1574560095,6893,85.126904,0.000000,0.000000,0.000000,events/second
1574560098,7282,86.719711,0.000000,0.000000,0.000000,events/second
1574560101,7282,83.733029,0.000000,0.000000,0.000000,events/second
1574560104,9743,108.288721,0.000000,0.000000,0.000000,events/second
1574560107,11576,124.511446,0.000000,0.000000,0.000000,events/second
1574560110,11903,124.029953,0.000000,0.000000,0.000000,events/second
1574560113,11967,120.913001,0.000000,0.000000,0.000000,events/second
1574560116,12001,117.693072,0.000000,0.000000,0.000000,events/second
1574560119,12224,116.451012,0.000000,0.000000,0.000000,events/second
1574560122,12224,113.218924,0.000000,0.000000,0.000000,events/second
1574560125,12224,110.154548,0.000000,0.000000,0.000000,events/second
1574560128,12242,107.412170,0.000000,0.000000,0.000000,events/second
1574560131,12242,104.657480,0.000000,0.000000,0.000000,events/second
1574560134,12242,102.039988,0.000000,0.000000,0.000000,events/second
1574560137,12242,99.550802,0.000000,0.000000,0.000000,events/second
1574560140,12242,97.183158,0.000000,0.000000,0.000000,events/second
1574560143,12242,94.919114,0.000000,0.000000,0.000000,events/second
1574560146,12255,92.863362,0.000000,0.000000,0.000000,events/second
1574560149,12257,90.810167,0.000000,0.000000,0.000000,events/second
1574560152,12257,88.839228,0.000000,0.000000,0.000000,events/second
1574560155,12257,86.945984,0.000000,0.000000,0.000000,events/second
1574560158,12257,85.135510,0.000000,0.000000,0.000000,events/second
1574560161,12257,83.399324,0.000000,0.000000,0.000000,events/second
1574560164,12257,81.729836,0.000000,0.000000,0.000000,events/second
1574560167,12276,80.251064,0.000000,0.000000,0.000000,events/second
1574560170,12276,78.707681,0.000000,0.000000,0.000000,events/second
1574560173,12276,77.223619,0.000000,0.000000,0.000000,events/second
1574560176,12276,75.792950,0.000000,0.000000,0.000000,events/second
1574560179,12276,74.412411,0.000000,0.000000,0.000000,events/second
1574560182,12276,73.084922,0.000000,0.000000,0.000000,events/second
1574560185,12276,71.801080,0.000000,0.000000,0.000000,events/second
1574560188,12338,70.920524,0.000000,0.000000,0.000000,events/second
1574560191,12338,69.719035,0.000000,0.000000,0.000000,events/second
1574560194,12338,68.554954,0.000000,0.000000,0.000000,events/second
1574560197,12338,67.430957,0.000000,0.000000,0.000000,events/second
1574560200,12338,66.344990,0.000000,0.000000,0.000000,events/second
1574560203,12338,65.288699,0.000000,0.000000,0.000000,events/second
1574560206,12357,64.369717,0.000000,0.000000,0.000000,events/second
1574560209,12359,63.389234,0.000000,0.000000,0.000000,events/second
1574560212,12359,62.427902,0.000000,0.000000,0.000000,events/second
1574560215,12359,61.496074,0.000000,0.000000,0.000000,events/second
1574560218,12359,60.592330,0.000000,0.000000,0.000000,events/second
1574560221,12359,59.714134,0.000000,0.000000,0.000000,events/second
1574560224,12359,58.860952,0.000000,0.000000,0.000000,events/second
1574560227,12377,58.113838,0.000000,0.000000,0.000000,events/second
1574560230,12377,57.309330,0.000000,0.000000,0.000000,events/second
1574560233,12377,56.523070,0.000000,0.000000,0.000000,events/second
1574560236,12377,55.760126,0.000000,0.000000,0.000000,events/second
1574560239,12377,55.016775,0.000000,0.000000,0.000000,events/second
1574560242,12377,54.292532,0.000000,0.000000,0.000000,events/second
1574560245,12377,53.587428,0.000000,0.000000,0.000000,events/second
1574560248,12395,52.976339,0.000000,0.000000,0.000000,events/second
1574560251,12395,52.305685,0.000000,0.000000,0.000000,events/second
1574560254,12395,51.652160,0.000000,0.000000,0.000000,events/second
