t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1574560017,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560020,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560023,237,26.367443,0.000000,0.000000,0.000000,events/second
1574560026,237,19.791381,0.000000,0.000000,0.000000,events/second
1574560029,237,15.831519,0.000000,0.000000,0.000000,events/second
1574560032,237,13.188511,0.000000,0.000000,0.000000,events/second
1574560035,237,11.299793,0.000000,0.000000,0.000000,events/second
1574560038,237,9.887098,0.000000,0.000000,0.000000,events/second
1574560041,237,8.787985,0.000000,0.000000,0.000000,events/second
1574560044,237,7.907692,0.000000,0.000000,0.000000,events/second
1574560047,494,14.983585,0.000000,0.000000,0.000000,events/second
1574560050,2427,67.476001,0.000000,0.000000,0.000000,events/second
1574560053,3754,96.321443,0.000000,0.000000,0.000000,events/second
1574560056,3863,92.033553,0.000000,0.000000,0.000000,events/second
1574560059,3863,85.901942,0.000000,0.000000,0.000000,events/second
1574560062,3933,81.984437,0.000000,0.000000,0.000000,events/second
1574560065,4544,89.146136,0.000000,0.000000,0.000000,events/second
1574560068,4626,85.717040,0.000000,0.000000,0.000000,events/second
1574560071,4659,81.775627,0.000000,0.000000,0.000000,events/second
1574560074,4728,78.841460,0.000000,0.000000,0.000000,events/second
1574560077,4728,75.081303,0.000000,0.000000,0.000000,events/second
1574560080,4839,73.349648,0.000000,0.000000,0.000000,events/second
1574560083,4924,71.392339,0.000000,0.000000,0.000000,events/second
1574560086,5469,75.987362,0.000000,0.000000,0.000000,events/second
1574560089,5930,79.099060,0.000000,0.000000,0.000000,events/second
1574560092,6342,81.338294,0.000000,0.000000,0.000000,events/second
1574560095,6551,80.902951,0.000000,0.000000,0.000000,events/second
1574560098,6939,82.634692,0.000000,0.000000,0.000000,events/second
1574560101,6939,79.788663,0.000000,0.000000,0.000000,events/second
1574560104,9377,104.220395,0.000000,0.000000,0.000000,events/second
1574560107,11192,120.380728,0.000000,0.000000,0.000000,events/second
1574560110,11532,120.163646,0.000000,0.000000,0.000000,events/second
1574560113,11600,117.204505,0.000000,0.000000,0.000000,events/second
1574560116,11635,114.103171,0.000000,0.000000,0.000000,events/second
1574560119,11856,112.944882,0.000000,0.000000,0.000000,events/second
1574560122,11856,109.810142,0.000000,0.000000,0.000000,events/second
1574560125,11856,106.838076,0.000000,0.000000,0.000000,events/second
1574560128,11873,104.174215,0.000000,0.000000,0.000000,events/second
1574560131,11873,101.502563,0.000000,0.000000,0.000000,events/second
1574560134,11873,98.963967,0.000000,0.000000,0.000000,events/second
1574560137,11873,96.549854,0.000000,0.000000,0.000000,events/second
1574560140,11873,94.253586,0.000000,0.000000,0.000000,events/second
1574560143,11873,92.057797,0.000000,0.000000,0.000000,events/second
1574560146,11887,90.074547,0.000000,0.000000,0.000000,events/second
1574560149,11888,88.076034,0.000000,0.000000,0.000000,events/second
1574560152,11888,86.164471,0.000000,0.000000,0.000000,events/second
1574560155,11888,84.328242,0.000000,0.000000,0.000000,events/second
1574560158,11888,82.572282,0.000000,0.000000,0.000000,events/second
1574560161,11888,80.888399,0.000000,0.000000,0.000000,events/second
1574560164,11888,79.269170,0.000000,0.000000,0.000000,events/second
1574560167,11906,77.832092,0.000000,0.000000,0.000000,events/second
1574560170,11906,76.335269,0.000000,0.000000,0.000000,events/second
1574560173,11906,74.895944,0.000000,0.000000,0.000000,events/second
1574560176,11906,73.508398,0.000000,0.000000,0.000000,events/second
1574560179,11906,72.169459,0.000000,0.000000,0.000000,events/second
1574560182,11906,70.882005,0.000000,0.000000,0.000000,events/second
1574560185,11906,69.636844,0.000000,0.000000,0.000000,events/second
1574560188,11946,68.667115,0.000000,0.000000,0.000000,events/second
1574560191,11946,67.503803,0.000000,0.000000,0.000000,events/second
1574560194,11946,66.376712,0.000000,0.000000,0.000000,events/second
1574560197,11946,65.288418,0.000000,0.000000,0.000000,events/second
1574560200,11946,64.236985,0.000000,0.000000,0.000000,events/second
1574560203,11946,63.214240,0.000000,0.000000,0.000000,events/second
1574560206,11963,62.317196,0.000000,0.000000,0.000000,events/second
1574560209,11968,61.383688,0.000000,0.000000,0.000000,events/second
1574560212,11968,60.452771,0.000000,0.000000,0.000000,events/second
1574560215,11968,59.550427,0.000000,0.000000,0.000000,events/second
1574560218,11968,58.675231,0.000000,0.000000,0.000000,events/second
1574560221,11968,57.824868,0.000000,0.000000,0.000000,events/second
1574560224,11968,56.998680,0.000000,0.000000,0.000000,events/second
1574560227,11986,56.277869,0.000000,0.000000,0.000000,events/second
1574560230,11986,55.498789,0.000000,0.000000,0.000000,events/second
1574560233,11986,54.737366,0.000000,0.000000,0.000000,events/second
1574560236,11986,53.998530,0.000000,0.000000,0.000000,events/second
1574560239,11986,53.278665,0.000000,0.000000,0.000000,events/second
1574560242,11986,52.577303,0.000000,0.000000,0.000000,events/second
1574560245,11986,51.894459,0.000000,0.000000,0.000000,events/second
1574560248,12005,51.309398,0.000000,0.000000,0.000000,events/second
1574560251,12005,50.659848,0.000000,0.000000,0.000000,events/second
1574560254,12005,50.026886,0.000000,0.000000,0.000000,events/second
