t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1574560017,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560020,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560023,2,0.222442,0.000000,0.000000,0.000000,events/second
1574560026,2,0.166977,0.000000,0.000000,0.000000,events/second
1574560029,2,0.133575,0.000000,0.000000,0.000000,events/second
1574560032,2,0.111274,0.000000,0.000000,0.000000,events/second
1574560035,2,0.095345,0.000000,0.000000,0.000000,events/second
1574560038,2,0.083426,0.000000,0.000000,0.000000,events/second
1574560041,2,0.074153,0.000000,0.000000,0.000000,events/second
1574560044,2,0.066726,0.000000,0.000000,0.000000,events/second
1574560047,2,0.060657,0.000000,0.000000,0.000000,events/second
1574560050,2,0.055600,0.000000,0.000000,0.000000,events/second
1574560053,2,0.051313,0.000000,0.000000,0.000000,events/second
1574560056,2,0.047646,0.000000,0.000000,0.000000,events/second
1574560059,2,0.044472,0.000000,0.000000,0.000000,events/second
1574560062,2,0.041688,0.000000,0.000000,0.000000,events/second
1574560065,2,0.039235,0.000000,0.000000,0.000000,events/second
1574560068,2,0.037057,0.000000,0.000000,0.000000,events/second
1574560071,2,0.035103,0.000000,0.000000,0.000000,events/second
1574560074,2,0.033349,0.000000,0.000000,0.000000,events/second
1574560077,2,0.031759,0.000000,0.000000,0.000000,events/second
1574560080,2,0.030315,0.000000,0.000000,0.000000,events/second
1574560083,2,0.028997,0.000000,0.000000,0.000000,events/second
1574560086,2,0.027787,0.000000,0.000000,0.000000,events/second
1574560089,2,0.026677,0.000000,0.000000,0.000000,events/second
1574560092,2,0.025650,0.000000,0.000000,0.000000,events/second
1574560095,2,0.024699,0.000000,0.000000,0.000000,events/second
1574560098,2,0.023817,0.000000,0.000000,0.000000,events/second
1574560101,2,0.022996,0.000000,0.000000,0.000000,events/second
1574560104,2,0.022228,0.000000,0.000000,0.000000,events/second
1574560107,2,0.021511,0.000000,0.000000,0.000000,events/second
1574560110,2,0.020839,0.000000,0.000000,0.000000,events/second
1574560113,2,0.020207,0.000000,0.000000,0.000000,events/second
1574560116,2,0.019613,0.000000,0.000000,0.000000,events/second
1574560119,2,0.019052,0.000000,0.000000,0.000000,events/second
1574560122,2,0.018524,0.000000,0.000000,0.000000,events/second
1574560125,2,0.018022,0.000000,0.000000,0.000000,events/second
1574560128,2,0.017548,0.000000,0.000000,0.000000,events/second
1574560131,2,0.017098,0.000000,0.000000,0.000000,events/second
1574560134,2,0.016670,0.000000,0.000000,0.000000,events/second
1574560137,2,0.016263,0.000000,0.000000,0.000000,events/second
1574560140,2,0.015877,0.000000,0.000000,0.000000,events/second
1574560143,2,0.015507,0.000000,0.000000,0.000000,events/second
1574560146,2,0.015155,0.000000,0.000000,0.000000,events/second
1574560149,2,0.014817,0.000000,0.000000,0.000000,events/second
1574560152,2,0.014496,0.000000,0.000000,0.000000,events/second
1574560155,2,0.014187,0.000000,0.000000,0.000000,events/second
1574560158,2,0.013891,0.000000,0.000000,0.000000,events/second
1574560161,2,0.013608,0.000000,0.000000,0.000000,events/second
1574560164,2,0.013336,0.000000,0.000000,0.000000,events/second
1574560167,2,0.013074,0.000000,0.000000,0.000000,events/second
1574560170,2,0.012823,0.000000,0.000000,0.000000,events/second
1574560173,2,0.012581,0.000000,0.000000,0.000000,events/second
1574560176,2,0.012348,0.000000,0.000000,0.000000,events/second
1574560179,2,0.012123,0.000000,0.000000,0.000000,events/second
1574560182,2,0.011907,0.000000,0.000000,0.000000,events/second
1574560185,2,0.011698,0.000000,0.000000,0.000000,events/second
1574560188,2,0.011496,0.000000,0.000000,0.000000,events/second
1574560191,2,0.011301,0.000000,0.000000,0.000000,events/second
1574560194,2,0.011113,0.000000,0.000000,0.000000,events/second
1574560197,2,0.010930,0.000000,0.000000,0.000000,events/second
1574560200,2,0.010754,0.000000,0.000000,0.000000,events/second
1574560203,2,0.010583,0.000000,0.000000,0.000000,events/second
1574560206,2,0.010418,0.000000,0.000000,0.000000,events/second
1574560209,2,0.010258,0.000000,0.000000,0.000000,events/second
1574560212,2,0.010102,0.000000,0.000000,0.000000,events/second
1574560215,2,0.009951,0.000000,0.000000,0.000000,events/second
1574560218,2,0.009805,0.000000,0.000000,0.000000,events/second
1574560221,2,0.009663,0.000000,0.000000,0.000000,events/second
1574560224,2,0.009525,0.000000,0.000000,0.000000,events/second
1574560227,2,0.009390,0.000000,0.000000,0.000000,events/second
1574560230,2,0.009260,0.000000,0.000000,0.000000,events/second
1574560233,2,0.009133,0.000000,0.000000,0.000000,events/second
1574560236,2,0.009010,0.000000,0.000000,0.000000,events/second
1574560239,2,0.008890,0.000000,0.000000,0.000000,events/second
1574560242,2,0.008773,0.000000,0.000000,0.000000,events/second
1574560245,2,0.008659,0.000000,0.000000,0.000000,events/second
1574560248,2,0.008548,0.000000,0.000000,0.000000,events/second
1574560251,2,0.008440,0.000000,0.000000,0.000000,events/second
1574560254,2,0.008334,0.000000,0.000000,0.000000,events/second
1574560257,2,0.008231,0.000000,0.000000,0.000000,events/second
1574560260,2,0.008131,0.000000,0.000000,0.000000,events/second
