t,value
1574560017,0
1574560020,0
1574560023,0
1574560026,0
1574560029,0
1574560032,0
1574560035,0
1574560038,0
1574560041,0
1574560044,0
1574560047,2
1574560050,4
1574560053,4
1574560056,4
1574560059,4
1574560062,2
1574560065,4
1574560068,4
1574560071,4
1574560074,4
1574560077,4
1574560080,4
1574560083,4
1574560086,4
1574560089,4
1574560092,4
1574560095,4
1574560098,4
1574560101,3
1574560104,4
1574560107,4
1574560110,4
1574560113,4
1574560116,4
1574560119,4
1574560122,4
1574560125,4
1574560128,4
1574560131,4
1574560134,4
1574560137,4
1574560140,4
1574560143,4
1574560146,4
1574560149,4
1574560152,4
1574560155,4
1574560158,4
1574560161,4
1574560164,4
1574560167,4
1574560170,4
1574560173,4
1574560176,4
1574560179,4
1574560182,4
1574560185,4
1574560188,4
1574560191,4
1574560194,4
1574560197,4
1574560200,4
1574560203,4
1574560206,4
1574560209,4
1574560212,4
1574560215,4
1574560218,4
1574560221,4
1574560224,4
1574560227,4
1574560230,4
1574560233,4
1574560236,4
1574560239,4
1574560242,4
1574560245,4
1574560248,4
1574560251,4
1574560254,4
1574560257,4
1574560260,4
1574560263,4
1574560266,4
1574560269,4
1574560272,4
1574560275,4
1574560278,4
1574560281,4
1574560284,4
1574560287,4
1574560290,4
1574560293,4
1574560296,4
1574560299,4
1574560302,4
1574560305,4
1574560308,4
1574560311,4
1574560314,4
1574560317,4
1574560320,4
1574560323,4
1574560326,4
1574560329,4
1574560332,4
1574560335,4
1574560338,4
1574560341,4
1574560344,4
1574560347,4
1574560350,4
1574560353,4
1574560356,4
1574560359,4
1574560362,4
1574560365,4
1574560368,4
1574560371,4
1574560374,4
1574560377,4
1574560380,4
1574560383,4
1574560386,4
1574560389,4
1574560392,4
1574560395,4
1574560398,4
1574560401,4
1574560404,4
1574560407,4
1574560410,4
1574560413,4
1574560416,4
1574560419,4
1574560422,4
1574560425,4
1574560428,4
1574560431,4
1574560434,4
1574560437,4
1574560440,4
1574560443,4
1574560446,4
1574560449,4
1574560452,4
1574560455,4
1574560458,4
1574560461,4
1574560464,4
1574560467,4
1574560470,4
1574560473,4
1574560476,4
1574560479,4
1574560482,4
1574560485,4
1574560488,4
1574560491,4
1574560494,4
1574560497,4
1574560500,4
1574560503,4
1574560506,4
1574560509,4
1574560512,4
1574560515,4
1574560518,4
1574560521,4
1574560524,4
1574560527,4
1574560530,4
1574560533,4
1574560536,4
1574560539,4
1574560542,4
1574560545,4
1574560548,4
1574560551,4
1574560554,4
1574560557,4
1574560560,4
1574560563,4
1574560566,4
1574560569,4
1574560572,4
1574560575,4
1574560578,4
1574560581,4
1574560584,4
1574560587,4
1574560590,4
1574560593,4
1574560596,4
1574560599,4
1574560602,4
1574560605,4
1574560608,4
1574560611,4
1574560614,4
1574560617,4
1574560620,4
1574560623,4
1574560626,4
1574560629,4
1574560632,4
1574560635,4
1574560638,4
1574560641,4
1574560644,4
1574560647,4
1574560650,4
1574560653,4
1574560656,4
1574560659,4
1574560662,4
1574560665,4
1574560668,4
1574560671,4
1574560674,4
1574560677,4
1574560680,4
1574560683,4
1574560686,4
1574560689,4
1574560692,4
1574560695,4
1574560698,4
1574560701,4
1574560704,4
1574560707,4
1574560710,4
1574560713,4
1574560716,4
1574560719,4
1574560722,4
1574560725,4
1574560728,4
1574560731,4
1574560734,4
1574560737,4
1574560740,4
1574560743,4
1574560746,4
1574560749,4
1574560752,4
1574560755,4
1574560758,4
1574560761,4
1574560764,4
1574560767,4
1574560770,4
1574560773,4
1574560776,4
1574560779,4
1574560782,4
1574560785,4
1574560796,4
1574560799,4
1574560802,4
1574560805,4
1574560808,4
1574560811,4
1574560814,4
1574560817,4
1574560820,4
1574560823,4
1574560826,4
1574560829,4
1574560832,4
1574560836,4
1574560839,4
1574560842,4
1574560845,4
1574560848,4
1574560851,4
1574560854,4
1574560857,4
1574560860,4
1574560863,4
1574560866,4
1574560869,4
1574560945,4
1574560947,4
1574560950,4
1574560953,4
1574560956,4
1574560959,4
1574560962,4
1574560965,4
1574560968,4
1574560971,4
1574560974,4
1574560977,4
1574560980,4
1574561571,4
1574561574,4
1574561577,4
1574561580,4
1574561583,4
1574561586,4
1574561589,4
1574561592,4
1574561595,4
1574561598,4
1574561601,4
1574561604,4
1574561682,4
1574561684,4
1574561687,4
1574561690,4
1574561693,4
1574561696,4
1574561699,4
1574561702,4
1574561705,4
1574561708,4
1574561711,4
1574561714,4
1574561717,4
1574561760,4
1574561762,4
1574561765,4
1574561768,4
1574561771,4
1574561774,4
1574561777,4
1574561780,4
1574561783,4
1574561786,4
1574561789,4
1574561792,4
1574561861,4
1574561864,4
1574561867,4
1574561870,4
1574561873,4
1574561876,4
1574561879,4
1574561882,4
1574561885,4
1574561888,4
1574561891,4
1574561894,4
1574561897,4
1574562129,4
1574562132,4
1574562135,4
1574562138,4
1574562141,4
1574562144,4
1574562147,4
1574562150,4
1574562153,4
1574562156,4
1574562159,4
1574562162,4
1574562165,4
1574562168,4
1574562171,4
1574562174,4
1574562177,4
1574562180,4
1574562183,4
1574562186,4
1574562189,4
1574562192,4
1574562195,4
1574562198,4
1574562201,4
1574562204,4
1574562207,4
1574562210,4
1574562213,4
