t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1574560017,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560020,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560023,10,1.112256,0.000000,0.000000,0.000000,events/second
1574560026,10,0.834940,0.000000,0.000000,0.000000,events/second
1574560029,10,0.667918,0.000000,0.000000,0.000000,events/second
1574560032,10,0.556372,0.000000,0.000000,0.000000,events/second
1574560035,10,0.476744,0.000000,0.000000,0.000000,events/second
1574560038,10,0.417144,0.000000,0.000000,0.000000,events/second
1574560041,10,0.370777,0.000000,0.000000,0.000000,events/second
1574560044,10,0.333639,0.000000,0.000000,0.000000,events/second
1574560047,33,1.000872,0.000000,0.000000,0.000000,events/second
1574560050,42,1.167638,0.000000,0.000000,0.000000,events/second
1574560053,61,1.565088,0.000000,0.000000,0.000000,events/second
1574560056,80,1.905873,0.000000,0.000000,0.000000,events/second
1574560059,80,1.778901,0.000000,0.000000,0.000000,events/second
1574560062,90,1.876003,0.000000,0.000000,0.000000,events/second
1574560065,99,1.942153,0.000000,0.000000,0.000000,events/second
1574560068,115,2.130806,0.000000,0.000000,0.000000,events/second
1574560071,131,2.299259,0.000000,0.000000,0.000000,events/second
1574560074,150,2.501244,0.000000,0.000000,0.000000,events/second
1574560077,150,2.381950,0.000000,0.000000,0.000000,events/second
1574560080,169,2.561640,0.000000,0.000000,0.000000,events/second
1574560083,188,2.725716,0.000000,0.000000,0.000000,events/second
1574560086,220,3.056644,0.000000,0.000000,0.000000,events/second
1574560089,239,3.187896,0.000000,0.000000,0.000000,events/second
1574560092,258,3.308866,0.000000,0.000000,0.000000,events/second
1574560095,277,3.420797,0.000000,0.000000,0.000000,events/second
1574560098,296,3.524909,0.000000,0.000000,0.000000,events/second
1574560101,298,3.426511,0.000000,0.000000,0.000000,events/second
1574560104,315,3.500986,0.000000,0.000000,0.000000,events/second
1574560107,334,3.592425,0.000000,0.000000,0.000000,events/second
1574560110,357,3.719875,0.000000,0.000000,0.000000,events/second
1574560113,369,3.728252,0.000000,0.000000,0.000000,events/second
1574560116,385,3.775582,0.000000,0.000000,0.000000,events/second
1574560119,404,3.848586,0.000000,0.000000,0.000000,events/second
1574560122,404,3.741777,0.000000,0.000000,0.000000,events/second
1574560125,404,3.640514,0.000000,0.000000,0.000000,events/second
1574560128,417,3.658717,0.000000,0.000000,0.000000,events/second
1574560131,417,3.564886,0.000000,0.000000,0.000000,events/second
1574560134,417,3.475730,0.000000,0.000000,0.000000,events/second
1574560137,417,3.390945,0.000000,0.000000,0.000000,events/second
1574560140,417,3.310298,0.000000,0.000000,0.000000,events/second
1574560143,417,3.233173,0.000000,0.000000,0.000000,events/second
1574560146,427,3.235575,0.000000,0.000000,0.000000,events/second
1574560149,430,3.185748,0.000000,0.000000,0.000000,events/second
1574560152,430,3.116610,0.000000,0.000000,0.000000,events/second
1574560155,430,3.050190,0.000000,0.000000,0.000000,events/second
1574560158,430,2.986678,0.000000,0.000000,0.000000,events/second
1574560161,430,2.925776,0.000000,0.000000,0.000000,events/second
1574560164,430,2.867208,0.000000,0.000000,0.000000,events/second
1574560167,443,2.895951,0.000000,0.000000,0.000000,events/second
1574560170,443,2.840262,0.000000,0.000000,0.000000,events/second
1574560173,443,2.786709,0.000000,0.000000,0.000000,events/second
1574560176,443,2.735081,0.000000,0.000000,0.000000,events/second
1574560179,443,2.685261,0.000000,0.000000,0.000000,events/second
1574560182,443,2.637361,0.000000,0.000000,0.000000,events/second
1574560185,443,2.591029,0.000000,0.000000,0.000000,events/second
1574560188,456,2.621118,0.000000,0.000000,0.000000,events/second
1574560191,456,2.576713,0.000000,0.000000,0.000000,events/second
1574560194,456,2.533691,0.000000,0.000000,0.000000,events/second
1574560197,456,2.492149,0.000000,0.000000,0.000000,events/second
1574560200,456,2.452018,0.000000,0.000000,0.000000,events/second
1574560203,456,2.412977,0.000000,0.000000,0.000000,events/second
1574560206,461,2.401403,0.000000,0.000000,0.000000,events/second
1574560209,469,2.405470,0.000000,0.000000,0.000000,events/second
1574560212,469,2.368991,0.000000,0.000000,0.000000,events/second
1574560215,469,2.333631,0.000000,0.000000,0.000000,events/second
1574560218,469,2.299330,0.000000,0.000000,0.000000,events/second
1574560221,469,2.266010,0.000000,0.000000,0.000000,events/second
1574560224,469,2.233635,0.000000,0.000000,0.000000,events/second
1574560227,482,2.263107,0.000000,0.000000,0.000000,events/second
1574560230,482,2.231786,0.000000,0.000000,0.000000,events/second
1574560233,482,2.201166,0.000000,0.000000,0.000000,events/second
1574560236,482,2.171456,0.000000,0.000000,0.000000,events/second
1574560239,482,2.142509,0.000000,0.000000,0.000000,events/second
1574560242,482,2.114305,0.000000,0.000000,0.000000,events/second
1574560245,482,2.086842,0.000000,0.000000,0.000000,events/second
1574560248,495,2.115614,0.000000,0.000000,0.000000,events/second
1574560251,495,2.088832,0.000000,0.000000,0.000000,events/second
1574560254,495,2.062734,0.000000,0.000000,0.000000,events/second
1574560257,495,2.037265,0.000000,0.000000,0.000000,events/second
1574560260,495,2.012417,0.000000,0.000000,0.000000,events/second
