t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1574560017,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560020,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560023,7,0.778603,0.000000,0.000000,0.000000,events/second
1574560026,7,0.584478,0.000000,0.000000,0.000000,events/second
1574560029,7,0.467556,0.000000,0.000000,0.000000,events/second
1574560032,7,0.389467,0.000000,0.000000,0.000000,events/second
1574560035,7,0.333727,0.000000,0.000000,0.000000,events/second
1574560038,7,0.292006,0.000000,0.000000,0.000000,events/second
1574560041,7,0.259548,0.000000,0.000000,0.000000,events/second
1574560044,7,0.233551,0.000000,0.000000,0.000000,events/second
1574560047,28,0.849235,0.000000,0.000000,0.000000,events/second
1574560050,39,1.084244,0.000000,0.000000,0.000000,events/second
1574560053,58,1.488133,0.000000,0.000000,0.000000,events/second
1574560056,77,1.834421,0.000000,0.000000,0.000000,events/second
1574560059,77,1.712209,0.000000,0.000000,0.000000,events/second
1574560062,85,1.771796,0.000000,0.000000,0.000000,events/second
1574560065,96,1.883315,0.000000,0.000000,0.000000,events/second
1574560068,112,2.075236,0.000000,0.000000,0.000000,events/second
1574560071,128,2.246621,0.000000,0.000000,0.000000,events/second
1574560074,147,2.451238,0.000000,0.000000,0.000000,events/second
1574560077,147,2.334320,0.000000,0.000000,0.000000,events/second
1574560080,166,2.516184,0.000000,0.000000,0.000000,events/second
1574560083,185,2.682238,0.000000,0.000000,0.000000,events/second
1574560086,217,3.014980,0.000000,0.000000,0.000000,events/second
1574560089,236,3.147897,0.000000,0.000000,0.000000,events/second
1574560092,255,3.270409,0.000000,0.000000,0.000000,events/second
1574560095,274,3.383767,0.000000,0.000000,0.000000,events/second
1574560098,293,3.489202,0.000000,0.000000,0.000000,events/second
1574560101,294,3.380535,0.000000,0.000000,0.000000,events/second
1574560104,312,3.467659,0.000000,0.000000,0.000000,events/second
1574560107,331,3.560174,0.000000,0.000000,0.000000,events/second
1574560110,354,3.688632,0.000000,0.000000,0.000000,events/second
1574560113,366,3.697957,0.000000,0.000000,0.000000,events/second
1574560116,382,3.746176,0.000000,0.000000,0.000000,events/second
1574560119,401,3.820023,0.000000,0.000000,0.000000,events/second
1574560122,401,3.714006,0.000000,0.000000,0.000000,events/second
1574560125,401,3.613495,0.000000,0.000000,0.000000,events/second
1574560128,414,3.632408,0.000000,0.000000,0.000000,events/second
1574560131,414,3.539252,0.000000,0.000000,0.000000,events/second
1574560134,414,3.450736,0.000000,0.000000,0.000000,events/second
1574560137,414,3.366561,0.000000,0.000000,0.000000,events/second
1574560140,414,3.286494,0.000000,0.000000,0.000000,events/second
1574560143,414,3.209923,0.000000,0.000000,0.000000,events/second
1574560146,424,3.212852,0.000000,0.000000,0.000000,events/second
1574560149,427,3.163531,0.000000,0.000000,0.000000,events/second
1574560152,427,3.094876,0.000000,0.000000,0.000000,events/second
1574560155,427,3.028919,0.000000,0.000000,0.000000,events/second
1574560158,427,2.965849,0.000000,0.000000,0.000000,events/second
1574560161,427,2.905372,0.000000,0.000000,0.000000,events/second
1574560164,427,2.847213,0.000000,0.000000,0.000000,events/second
1574560167,440,2.876348,0.000000,0.000000,0.000000,events/second
1574560170,440,2.821036,0.000000,0.000000,0.000000,events/second
1574560173,440,2.767845,0.000000,0.000000,0.000000,events/second
1574560176,440,2.716567,0.000000,0.000000,0.000000,events/second
1574560179,440,2.667083,0.000000,0.000000,0.000000,events/second
1574560182,440,2.619508,0.000000,0.000000,0.000000,events/second
1574560185,440,2.573488,0.000000,0.000000,0.000000,events/second
1574560188,453,2.603880,0.000000,0.000000,0.000000,events/second
1574560191,453,2.559766,0.000000,0.000000,0.000000,events/second
1574560194,453,2.517027,0.000000,0.000000,0.000000,events/second
1574560197,453,2.475759,0.000000,0.000000,0.000000,events/second
1574560200,453,2.435892,0.000000,0.000000,0.000000,events/second
1574560203,453,2.397107,0.000000,0.000000,0.000000,events/second
1574560206,458,2.385781,0.000000,0.000000,0.000000,events/second
1574560209,466,2.390088,0.000000,0.000000,0.000000,events/second
1574560212,466,2.353843,0.000000,0.000000,0.000000,events/second
1574560215,466,2.318709,0.000000,0.000000,0.000000,events/second
1574560218,466,2.284627,0.000000,0.000000,0.000000,events/second
1574560221,466,2.251520,0.000000,0.000000,0.000000,events/second
1574560224,466,2.219352,0.000000,0.000000,0.000000,events/second
1574560227,479,2.249024,0.000000,0.000000,0.000000,events/second
1574560230,479,2.217899,0.000000,0.000000,0.000000,events/second
1574560233,479,2.187470,0.000000,0.000000,0.000000,events/second
1574560236,479,2.157945,0.000000,0.000000,0.000000,events/second
1574560239,479,2.129177,0.000000,0.000000,0.000000,events/second
1574560242,479,2.101149,0.000000,0.000000,0.000000,events/second
1574560245,479,2.073857,0.000000,0.000000,0.000000,events/second
1574560248,492,2.102796,0.000000,0.000000,0.000000,events/second
1574560251,492,2.076176,0.000000,0.000000,0.000000,events/second
1574560254,492,2.050236,0.000000,0.000000,0.000000,events/second
1574560257,492,2.024921,0.000000,0.000000,0.000000,events/second
1574560260,492,2.000224,0.000000,0.000000,0.000000,events/second
