t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1574560017,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560020,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560023,2,0.222395,0.000000,0.000000,0.000000,events/second
1574560026,2,0.166960,0.000000,0.000000,0.000000,events/second
1574560029,2,0.133566,0.000000,0.000000,0.000000,events/second
1574560032,2,0.111261,0.000000,0.000000,0.000000,events/second
1574560035,2,0.095340,0.000000,0.000000,0.000000,events/second
1574560038,2,0.083422,0.000000,0.000000,0.000000,events/second
1574560041,2,0.074150,0.000000,0.000000,0.000000,events/second
1574560044,2,0.066724,0.000000,0.000000,0.000000,events/second
1574560047,6,0.181966,0.000000,0.000000,0.000000,events/second
1574560050,6,0.166796,0.000000,0.000000,0.000000,events/second
1574560053,6,0.153935,0.000000,0.000000,0.000000,events/second
1574560056,6,0.142934,0.000000,0.000000,0.000000,events/second
1574560059,6,0.133412,0.000000,0.000000,0.000000,events/second
1574560062,6,0.125062,0.000000,0.000000,0.000000,events/second
1574560065,6,0.117702,0.000000,0.000000,0.000000,events/second
1574560068,6,0.111168,0.000000,0.000000,0.000000,events/second
1574560071,6,0.105306,0.000000,0.000000,0.000000,events/second
1574560074,6,0.100047,0.000000,0.000000,0.000000,events/second
1574560077,6,0.095275,0.000000,0.000000,0.000000,events/second
1574560080,6,0.090943,0.000000,0.000000,0.000000,events/second
1574560083,6,0.086988,0.000000,0.000000,0.000000,events/second
1574560086,6,0.083361,0.000000,0.000000,0.000000,events/second
1574560089,6,0.080029,0.000000,0.000000,0.000000,events/second
1574560092,6,0.076948,0.000000,0.000000,0.000000,events/second
1574560095,6,0.074095,0.000000,0.000000,0.000000,events/second
1574560098,6,0.071449,0.000000,0.000000,0.000000,events/second
1574560101,6,0.068989,0.000000,0.000000,0.000000,events/second
1574560104,6,0.066684,0.000000,0.000000,0.000000,events/second
1574560107,6,0.064533,0.000000,0.000000,0.000000,events/second
1574560110,6,0.062518,0.000000,0.000000,0.000000,events/second
1574560113,6,0.060621,0.000000,0.000000,0.000000,events/second
1574560116,6,0.058839,0.000000,0.000000,0.000000,events/second
1574560119,6,0.057156,0.000000,0.000000,0.000000,events/second
1574560122,6,0.055570,0.000000,0.000000,0.000000,events/second
1574560125,6,0.054066,0.000000,0.000000,0.000000,events/second
1574560128,6,0.052642,0.000000,0.000000,0.000000,events/second
1574560131,6,0.051292,0.000000,0.000000,0.000000,events/second
1574560134,6,0.050010,0.000000,0.000000,0.000000,events/second
1574560137,6,0.048790,0.000000,0.000000,0.000000,events/second
1574560140,6,0.047629,0.000000,0.000000,0.000000,events/second
1574560143,6,0.046520,0.000000,0.000000,0.000000,events/second
1574560146,6,0.045464,0.000000,0.000000,0.000000,events/second
1574560149,6,0.044452,0.000000,0.000000,0.000000,events/second
1574560152,6,0.043487,0.000000,0.000000,0.000000,events/second
1574560155,6,0.042560,0.000000,0.000000,0.000000,events/second
1574560158,6,0.041674,0.000000,0.000000,0.000000,events/second
1574560161,6,0.040824,0.000000,0.000000,0.000000,events/second
1574560164,6,0.040007,0.000000,0.000000,0.000000,events/second
1574560167,6,0.039222,0.000000,0.000000,0.000000,events/second
1574560170,6,0.038468,0.000000,0.000000,0.000000,events/second
1574560173,6,0.037743,0.000000,0.000000,0.000000,events/second
1574560176,6,0.037044,0.000000,0.000000,0.000000,events/second
1574560179,6,0.036369,0.000000,0.000000,0.000000,events/second
1574560182,6,0.035720,0.000000,0.000000,0.000000,events/second
1574560185,6,0.035093,0.000000,0.000000,0.000000,events/second
1574560188,6,0.034488,0.000000,0.000000,0.000000,events/second
1574560191,6,0.033904,0.000000,0.000000,0.000000,events/second
1574560194,6,0.033338,0.000000,0.000000,0.000000,events/second
1574560197,6,0.032791,0.000000,0.000000,0.000000,events/second
1574560200,6,0.032263,0.000000,0.000000,0.000000,events/second
1574560203,6,0.031749,0.000000,0.000000,0.000000,events/second
1574560206,6,0.031254,0.000000,0.000000,0.000000,events/second
1574560209,6,0.030773,0.000000,0.000000,0.000000,events/second
1574560212,6,0.030307,0.000000,0.000000,0.000000,events/second
1574560215,6,0.029854,0.000000,0.000000,0.000000,events/second
1574560218,6,0.029415,0.000000,0.000000,0.000000,events/second
1574560221,6,0.028989,0.000000,0.000000,0.000000,events/second
1574560224,6,0.028575,0.000000,0.000000,0.000000,events/second
1574560227,6,0.028171,0.000000,0.000000,0.000000,events/second
1574560230,6,0.027781,0.000000,0.000000,0.000000,events/second
1574560233,6,0.027400,0.000000,0.000000,0.000000,events/second
1574560236,6,0.027030,0.000000,0.000000,0.000000,events/second
1574560239,6,0.026670,0.000000,0.000000,0.000000,events/second
1574560242,6,0.026319,0.000000,0.000000,0.000000,events/second
1574560245,6,0.025977,0.000000,0.000000,0.000000,events/second
1574560248,6,0.025644,0.000000,0.000000,0.000000,events/second
1574560251,6,0.025319,0.000000,0.000000,0.000000,events/second
1574560254,6,0.025003,0.000000,0.000000,0.000000,events/second
1574560257,6,0.024694,0.000000,0.000000,0.000000,events/second
1574560260,6,0.024393,0.000000,0.000000,0.000000,events/second
