t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1574560017,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560020,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560023,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560026,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560029,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560032,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560035,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560038,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560041,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560044,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560047,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560050,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560053,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560056,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560059,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560062,2,0.041684,0.000000,0.000000,0.000000,events/second
1574560065,2,0.039231,0.000000,0.000000,0.000000,events/second
1574560068,2,0.037054,0.000000,0.000000,0.000000,events/second
1574560071,2,0.035100,0.000000,0.000000,0.000000,events/second
1574560074,2,0.033347,0.000000,0.000000,0.000000,events/second
1574560077,2,0.031756,0.000000,0.000000,0.000000,events/second
1574560080,2,0.030313,0.000000,0.000000,0.000000,events/second
1574560083,2,0.028995,0.000000,0.000000,0.000000,events/second
1574560086,2,0.027785,0.000000,0.000000,0.000000,events/second
1574560089,2,0.026675,0.000000,0.000000,0.000000,events/second
1574560092,2,0.025648,0.000000,0.000000,0.000000,events/second
1574560095,2,0.024697,0.000000,0.000000,0.000000,events/second
1574560098,2,0.023815,0.000000,0.000000,0.000000,events/second
1574560101,2,0.022995,0.000000,0.000000,0.000000,events/second
1574560104,2,0.022227,0.000000,0.000000,0.000000,events/second
1574560107,2,0.021510,0.000000,0.000000,0.000000,events/second
1574560110,3,0.031258,0.000000,0.000000,0.000000,events/second
1574560113,3,0.030309,0.000000,0.000000,0.000000,events/second
1574560116,3,0.029419,0.000000,0.000000,0.000000,events/second
1574560119,3,0.028577,0.000000,0.000000,0.000000,events/second
1574560122,3,0.027784,0.000000,0.000000,0.000000,events/second
1574560125,3,0.027032,0.000000,0.000000,0.000000,events/second
1574560128,3,0.026320,0.000000,0.000000,0.000000,events/second
1574560131,3,0.025645,0.000000,0.000000,0.000000,events/second
1574560134,3,0.025004,0.000000,0.000000,0.000000,events/second
1574560137,3,0.024394,0.000000,0.000000,0.000000,events/second
1574560140,3,0.023814,0.000000,0.000000,0.000000,events/second
1574560143,3,0.023259,0.000000,0.000000,0.000000,events/second
1574560146,3,0.022731,0.000000,0.000000,0.000000,events/second
1574560149,3,0.022225,0.000000,0.000000,0.000000,events/second
1574560152,3,0.021743,0.000000,0.000000,0.000000,events/second
1574560155,3,0.021280,0.000000,0.000000,0.000000,events/second
1574560158,3,0.020836,0.000000,0.000000,0.000000,events/second
1574560161,3,0.020412,0.000000,0.000000,0.000000,events/second
1574560164,3,0.020003,0.000000,0.000000,0.000000,events/second
1574560167,3,0.019611,0.000000,0.000000,0.000000,events/second
1574560170,3,0.019234,0.000000,0.000000,0.000000,events/second
1574560173,3,0.018871,0.000000,0.000000,0.000000,events/second
1574560176,3,0.018521,0.000000,0.000000,0.000000,events/second
1574560179,3,0.018184,0.000000,0.000000,0.000000,events/second
1574560182,3,0.017860,0.000000,0.000000,0.000000,events/second
1574560185,3,0.017546,0.000000,0.000000,0.000000,events/second
1574560188,3,0.017244,0.000000,0.000000,0.000000,events/second
1574560191,3,0.016952,0.000000,0.000000,0.000000,events/second
1574560194,3,0.016669,0.000000,0.000000,0.000000,events/second
1574560197,3,0.016395,0.000000,0.000000,0.000000,events/second
1574560200,3,0.016131,0.000000,0.000000,0.000000,events/second
1574560203,3,0.015874,0.000000,0.000000,0.000000,events/second
1574560206,3,0.015627,0.000000,0.000000,0.000000,events/second
1574560209,3,0.015386,0.000000,0.000000,0.000000,events/second
1574560212,3,0.015153,0.000000,0.000000,0.000000,events/second
1574560215,3,0.014927,0.000000,0.000000,0.000000,events/second
1574560218,3,0.014707,0.000000,0.000000,0.000000,events/second
1574560221,3,0.014494,0.000000,0.000000,0.000000,events/second
1574560224,3,0.014287,0.000000,0.000000,0.000000,events/second
1574560227,3,0.014085,0.000000,0.000000,0.000000,events/second
1574560230,3,0.013890,0.000000,0.000000,0.000000,events/second
1574560233,3,0.013700,0.000000,0.000000,0.000000,events/second
1574560236,3,0.013515,0.000000,0.000000,0.000000,events/second
1574560239,3,0.013335,0.000000,0.000000,0.000000,events/second
1574560242,3,0.013159,0.000000,0.000000,0.000000,events/second
1574560245,3,0.012988,0.000000,0.000000,0.000000,events/second
1574560248,3,0.012822,0.000000,0.000000,0.000000,events/second
1574560251,3,0.012659,0.000000,0.000000,0.000000,events/second
1574560254,3,0.012501,0.000000,0.000000,0.000000,events/second
1574560257,3,0.012347,0.000000,0.000000,0.000000,events/second
1574560260,3,0.012196,0.000000,0.000000,0.000000,events/second
