t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1574560017,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560020,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560023,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560026,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560029,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560032,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560035,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560038,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560041,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560044,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560047,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560050,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560053,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560056,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560059,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560062,29,0.604426,0.000000,0.000000,0.000000,events/second
1574560065,29,0.568856,0.000000,0.000000,0.000000,events/second
1574560068,29,0.537284,0.000000,0.000000,0.000000,events/second
1574560071,29,0.508952,0.000000,0.000000,0.000000,events/second
1574560074,29,0.483534,0.000000,0.000000,0.000000,events/second
1574560077,29,0.460471,0.000000,0.000000,0.000000,events/second
1574560080,29,0.439539,0.000000,0.000000,0.000000,events/second
1574560083,29,0.420426,0.000000,0.000000,0.000000,events/second
1574560086,29,0.402891,0.000000,0.000000,0.000000,events/second
1574560089,29,0.386789,0.000000,0.000000,0.000000,events/second
1574560092,29,0.371903,0.000000,0.000000,0.000000,events/second
1574560095,29,0.358112,0.000000,0.000000,0.000000,events/second
1574560098,29,0.345326,0.000000,0.000000,0.000000,events/second
1574560101,29,0.333434,0.000000,0.000000,0.000000,events/second
1574560104,29,0.322295,0.000000,0.000000,0.000000,events/second
1574560107,29,0.311901,0.000000,0.000000,0.000000,events/second
1574560110,41,0.427189,0.000000,0.000000,0.000000,events/second
1574560113,41,0.414229,0.000000,0.000000,0.000000,events/second
1574560116,41,0.402056,0.000000,0.000000,0.000000,events/second
1574560119,41,0.390555,0.000000,0.000000,0.000000,events/second
1574560122,41,0.379717,0.000000,0.000000,0.000000,events/second
1574560125,41,0.369442,0.000000,0.000000,0.000000,events/second
1574560128,41,0.359714,0.000000,0.000000,0.000000,events/second
1574560131,41,0.350489,0.000000,0.000000,0.000000,events/second
1574560134,41,0.341724,0.000000,0.000000,0.000000,events/second
1574560137,41,0.333388,0.000000,0.000000,0.000000,events/second
1574560140,41,0.325460,0.000000,0.000000,0.000000,events/second
1574560143,41,0.317877,0.000000,0.000000,0.000000,events/second
1574560146,41,0.310664,0.000000,0.000000,0.000000,events/second
1574560149,41,0.303745,0.000000,0.000000,0.000000,events/second
1574560152,41,0.297155,0.000000,0.000000,0.000000,events/second
1574560155,41,0.290821,0.000000,0.000000,0.000000,events/second
1574560158,41,0.284766,0.000000,0.000000,0.000000,events/second
1574560161,41,0.278960,0.000000,0.000000,0.000000,events/second
1574560164,41,0.273376,0.000000,0.000000,0.000000,events/second
1574560167,41,0.268014,0.000000,0.000000,0.000000,events/second
1574560170,41,0.262860,0.000000,0.000000,0.000000,events/second
1574560173,41,0.257904,0.000000,0.000000,0.000000,events/second
1574560176,41,0.253126,0.000000,0.000000,0.000000,events/second
1574560179,41,0.248515,0.000000,0.000000,0.000000,events/second
1574560182,41,0.244083,0.000000,0.000000,0.000000,events/second
1574560185,41,0.239795,0.000000,0.000000,0.000000,events/second
1574560188,41,0.235664,0.000000,0.000000,0.000000,events/second
1574560191,41,0.231671,0.000000,0.000000,0.000000,events/second
1574560194,41,0.227803,0.000000,0.000000,0.000000,events/second
1574560197,41,0.224069,0.000000,0.000000,0.000000,events/second
1574560200,41,0.220461,0.000000,0.000000,0.000000,events/second
1574560203,41,0.216951,0.000000,0.000000,0.000000,events/second
1574560206,41,0.213568,0.000000,0.000000,0.000000,events/second
1574560209,41,0.210281,0.000000,0.000000,0.000000,events/second
1574560212,41,0.207092,0.000000,0.000000,0.000000,events/second
1574560215,41,0.204001,0.000000,0.000000,0.000000,events/second
1574560218,41,0.201003,0.000000,0.000000,0.000000,events/second
1574560221,41,0.198090,0.000000,0.000000,0.000000,events/second
1574560224,41,0.195260,0.000000,0.000000,0.000000,events/second
1574560227,41,0.192500,0.000000,0.000000,0.000000,events/second
1574560230,41,0.189836,0.000000,0.000000,0.000000,events/second
1574560233,41,0.187232,0.000000,0.000000,0.000000,events/second
1574560236,41,0.184705,0.000000,0.000000,0.000000,events/second
1574560239,41,0.182242,0.000000,0.000000,0.000000,events/second
1574560242,41,0.179843,0.000000,0.000000,0.000000,events/second
1574560245,41,0.177508,0.000000,0.000000,0.000000,events/second
1574560248,41,0.175229,0.000000,0.000000,0.000000,events/second
1574560251,41,0.173011,0.000000,0.000000,0.000000,events/second
1574560254,41,0.170849,0.000000,0.000000,0.000000,events/second
1574560257,41,0.168740,0.000000,0.000000,0.000000,events/second
1574560260,41,0.166682,0.000000,0.000000,0.000000,events/second
