t,value
1574560017,0
1574560020,0
1574560023,0
1574560026,0
1574560029,0
1574560032,0
1574560035,0
1574560038,0
1574560041,0
1574560044,0
1574560047,0
1574560050,0
1574560053,860
1574560056,880
1574560059,880
1574560062,940
1574560065,940
1574560068,940
1574560071,940
1574560074,960
1574560077,960
1574560080,980
1574560083,980
1574560086,980
1574560089,980
1574560092,980
1574560095,980
1574560098,980
1574560101,980
1574560104,980
1574560107,980
1574560110,980
1574560113,980
1574560116,980
1574560119,980
1574560122,980
1574560125,980
1574560128,980
1574560131,980
1574560134,980
1574560137,980
1574560140,980
1574560143,980
1574560146,980
1574560149,980
1574560152,980
1574560155,980
1574560158,980
1574560161,980
1574560164,980
1574560167,980
1574560170,980
1574560173,980
1574560176,980
1574560179,980
1574560182,980
1574560185,980
1574560188,980
1574560191,980
1574560194,980
1574560197,980
1574560200,980
1574560203,980
1574560206,980
1574560209,980
1574560212,980
1574560215,980
1574560218,980
1574560221,980
1574560224,980
1574560227,980
1574560230,980
1574560233,980
1574560236,980
1574560239,980
1574560242,980
1574560245,980
1574560248,980
1574560251,980
1574560254,980
1574560257,980
1574560260,980
1574560263,980
1574560266,980
1574560269,980
1574560272,980
1574560275,980
1574560278,980
1574560281,980
1574560284,980
1574560287,980
1574560290,980
1574560293,980
1574560296,980
1574560299,980
1574560302,980
1574560305,980
1574560308,980
1574560311,980
1574560314,980
1574560317,980
1574560320,980
1574560323,980
1574560326,980
1574560329,980
1574560332,980
1574560335,980
1574560338,980
1574560341,980
1574560344,980
1574560347,980
1574560350,980
1574560353,980
1574560356,980
1574560359,980
1574560362,980
1574560365,980
1574560368,980
1574560371,980
1574560374,980
1574560377,980
1574560380,980
1574560383,980
1574560386,980
1574560389,980
1574560392,980
1574560395,980
1574560398,980
1574560401,980
1574560404,980
1574560407,980
1574560410,980
1574560413,980
1574560416,980
1574560419,980
1574560422,980
1574560425,980
1574560428,980
1574560431,980
1574560434,980
1574560437,980
1574560440,980
1574560443,980
1574560446,980
1574560449,980
1574560452,980
1574560455,980
1574560458,980
1574560461,980
1574560464,980
1574560467,980
1574560470,980
1574560473,980
1574560476,980
1574560479,980
1574560482,980
1574560485,980
1574560488,980
1574560491,980
1574560494,980
1574560497,980
1574560500,980
1574560503,980
1574560506,980
1574560509,980
1574560512,980
1574560515,980
1574560518,980
1574560521,980
1574560524,980
1574560527,980
1574560530,980
1574560533,980
1574560536,980
1574560539,980
1574560542,980
1574560545,980
1574560548,980
1574560551,980
1574560554,980
1574560557,980
1574560560,980
1574560563,980
1574560566,980
1574560569,980
1574560572,980
1574560575,980
1574560578,980
1574560581,980
1574560584,980
1574560587,980
1574560590,980
1574560593,980
1574560596,980
1574560599,980
1574560602,980
1574560605,980
1574560608,980
1574560611,980
1574560614,980
1574560617,980
1574560620,980
1574560623,980
1574560626,980
1574560629,980
1574560632,980
1574560635,980
1574560638,980
1574560641,980
1574560644,980
1574560647,980
1574560650,980
1574560653,980
1574560656,980
1574560659,980
1574560662,980
1574560665,980
1574560668,980
1574560671,980
1574560674,980
1574560677,980
1574560680,980
1574560683,980
1574560686,980
1574560689,980
1574560692,980
1574560695,980
1574560698,980
1574560701,980
1574560704,980
1574560707,980
1574560710,980
1574560713,980
1574560716,980
1574560719,980
1574560722,980
1574560725,980
1574560728,980
1574560731,980
1574560734,980
1574560737,980
1574560740,980
1574560743,980
1574560746,980
1574560749,980
1574560752,980
1574560755,980
1574560758,980
1574560761,980
1574560764,980
1574560767,980
1574560770,980
1574560773,980
1574560776,980
1574560779,980
1574560782,980
1574560785,980
1574560796,980
1574560799,980
1574560802,980
1574560805,980
1574560808,980
1574560811,980
1574560814,980
1574560817,980
1574560820,980
1574560823,980
1574560826,980
1574560829,980
1574560832,980
1574560836,980
1574560839,980
1574560842,980
1574560845,980
1574560848,980
1574560851,980
1574560854,980
1574560857,980
1574560860,980
1574560863,980
1574560866,980
1574560869,980
1574560945,980
1574560947,980
1574560950,980
1574560953,980
1574560956,980
1574560959,980
1574560962,980
1574560965,980
1574560968,980
1574560971,980
1574560974,980
1574560977,980
1574560980,980
1574561571,980
1574561574,980
1574561577,980
1574561580,980
1574561583,980
1574561586,980
1574561589,980
1574561592,980
1574561595,980
1574561598,980
1574561601,980
1574561604,980
1574561682,980
1574561684,980
1574561687,980
1574561690,980
1574561693,980
1574561696,980
1574561699,980
1574561702,980
1574561705,980
1574561708,980
1574561711,980
1574561714,980
1574561717,980
1574561760,980
1574561762,980
1574561765,980
1574561768,980
1574561771,980
1574561774,980
1574561777,980
1574561780,980
1574561783,980
1574561786,980
1574561789,980
1574561792,980
1574561861,980
1574561864,980
1574561867,980
1574561870,980
1574561873,980
1574561876,980
1574561879,980
1574561882,980
1574561885,980
1574561888,980
1574561891,980
1574561894,980
1574561897,980
1574562129,980
1574562132,980
1574562135,980
1574562138,980
1574562141,980
1574562144,980
1574562147,980
1574562150,980
1574562153,980
1574562156,980
1574562159,980
1574562162,980
1574562165,980
1574562168,980
1574562171,980
1574562174,980
1574562177,980
1574562180,980
1574562183,980
1574562186,980
1574562189,980
1574562192,980
1574562195,980
1574562198,980
1574562201,980
1574562204,980
1574562207,980
1574562210,980
1574562213,980
