t,value
1574560017,0
1574560020,0
1574560023,0
1574560026,0
1574560029,0
1574560032,0
1574560035,0
1574560038,0
1574560041,0
1574560044,0
1574560047,0
1574560050,0
1574560053,960
1574560056,1000
1574560059,1000
1574560062,1060
1574560065,1060
1574560068,1060
1574560071,1060
1574560074,1060
1574560077,1060
1574560080,1120
1574560083,1120
1574560086,1120
1574560089,1120
1574560092,1120
1574560095,1120
1574560098,1120
1574560101,1120
1574560104,1120
1574560107,1120
1574560110,1120
1574560113,1120
1574560116,1120
1574560119,1120
1574560122,1120
1574560125,1120
1574560128,1120
1574560131,1120
1574560134,1120
1574560137,1120
1574560140,1120
1574560143,1120
1574560146,1120
1574560149,1120
1574560152,1120
1574560155,1120
1574560158,1120
1574560161,1120
1574560164,1120
1574560167,1120
1574560170,1120
1574560173,1120
1574560176,1120
1574560179,1120
1574560182,1120
1574560185,1120
1574560188,1120
1574560191,1120
1574560194,1120
1574560197,1120
1574560200,1120
1574560203,1120
1574560206,1120
1574560209,1120
1574560212,1120
1574560215,1120
1574560218,1120
1574560221,1120
1574560224,1120
1574560227,1120
1574560230,1120
1574560233,1120
1574560236,1120
1574560239,1120
1574560242,1120
1574560245,1120
1574560248,1120
1574560251,1120
1574560254,1120
1574560257,1120
1574560260,1120
1574560263,1120
1574560266,1120
1574560269,1120
1574560272,1120
1574560275,1120
1574560278,1120
1574560281,1120
1574560284,1120
1574560287,1120
1574560290,1120
1574560293,1120
1574560296,1120
1574560299,1120
1574560302,1120
1574560305,1120
1574560308,1120
1574560311,1120
1574560314,1120
1574560317,1120
1574560320,1120
1574560323,1120
1574560326,1120
1574560329,1120
1574560332,1120
1574560335,1120
1574560338,1120
1574560341,1120
1574560344,1120
1574560347,1120
1574560350,1120
1574560353,1120
1574560356,1120
1574560359,1120
1574560362,1120
1574560365,1120
1574560368,1120
1574560371,1120
1574560374,1120
1574560377,1120
1574560380,1120
1574560383,1120
1574560386,1120
1574560389,1120
1574560392,1120
1574560395,1120
1574560398,1120
1574560401,1120
1574560404,1120
1574560407,1120
1574560410,1120
1574560413,1120
1574560416,1120
1574560419,1120
1574560422,1120
1574560425,1120
1574560428,1120
1574560431,1120
1574560434,1120
1574560437,1120
1574560440,1120
1574560443,1120
1574560446,1120
1574560449,1120
1574560452,1120
1574560455,1120
1574560458,1120
1574560461,1120
1574560464,1120
1574560467,1120
1574560470,1120
1574560473,1120
1574560476,1120
1574560479,1120
1574560482,1120
1574560485,1120
1574560488,1120
1574560491,1120
1574560494,1120
1574560497,1120
1574560500,1120
1574560503,1120
1574560506,1120
1574560509,1120
1574560512,1120
1574560515,1120
1574560518,1120
1574560521,1120
1574560524,1120
1574560527,1120
1574560530,1120
1574560533,1120
1574560536,1120
1574560539,1120
1574560542,1120
1574560545,1120
1574560548,1120
1574560551,1120
1574560554,1120
1574560557,1120
1574560560,1120
1574560563,1120
1574560566,1120
1574560569,1120
1574560572,1120
1574560575,1120
1574560578,1120
1574560581,1120
1574560584,1120
1574560587,1120
1574560590,1120
1574560593,1120
1574560596,1120
1574560599,1120
1574560602,1120
1574560605,1120
1574560608,1120
1574560611,1120
1574560614,1120
1574560617,1120
1574560620,1120
1574560623,1120
1574560626,1120
1574560629,1120
1574560632,1120
1574560635,1120
1574560638,1120
1574560641,1120
1574560644,1120
1574560647,1120
1574560650,1120
1574560653,1120
1574560656,1120
1574560659,1120
1574560662,1120
1574560665,1120
1574560668,1120
1574560671,1120
1574560674,1120
1574560677,1120
1574560680,1120
1574560683,1120
1574560686,1120
1574560689,1120
1574560692,1120
1574560695,1120
1574560698,1120
1574560701,1120
1574560704,1120
1574560707,1120
1574560710,1120
1574560713,1120
1574560716,1120
1574560719,1120
1574560722,1120
1574560725,1120
1574560728,1120
1574560731,1120
1574560734,1120
1574560737,1120
1574560740,1120
1574560743,1120
1574560746,1120
1574560749,1120
1574560752,1120
1574560755,1120
1574560758,1120
1574560761,1120
1574560764,1120
1574560767,1120
1574560770,1120
1574560773,1120
1574560776,1120
1574560779,1120
1574560782,1120
1574560785,1120
1574560796,1120
1574560799,1120
1574560802,1120
1574560805,1120
1574560808,1120
1574560811,1120
1574560814,1120
1574560817,1120
1574560820,1120
1574560823,1120
1574560826,1120
1574560829,1120
1574560832,1120
1574560836,1120
1574560839,1120
1574560842,1120
1574560845,1120
1574560848,1120
1574560851,1120
1574560854,1120
1574560857,1120
1574560860,1120
1574560863,1120
1574560866,1120
1574560869,1120
1574560945,1120
1574560947,1120
1574560950,1120
1574560953,1120
1574560956,1120
1574560959,1120
1574560962,1120
1574560965,1120
1574560968,1120
1574560971,1120
1574560974,1120
1574560977,1120
1574560980,1120
1574561571,1120
1574561574,1120
1574561577,1120
1574561580,1120
1574561583,1120
1574561586,1120
1574561589,1120
1574561592,1120
1574561595,1120
1574561598,1120
1574561601,1120
1574561604,1120
1574561682,1120
1574561684,1120
1574561687,1120
1574561690,1120
1574561693,1120
1574561696,1120
1574561699,1120
1574561702,1120
1574561705,1120
1574561708,1120
1574561711,1120
1574561714,1120
1574561717,1120
1574561760,1120
1574561762,1120
1574561765,1120
1574561768,1120
1574561771,1120
1574561774,1120
1574561777,1120
1574561780,1120
1574561783,1120
