t,value
1574560017,0
1574560020,0
1574560023,0
1574560026,0
1574560029,0
1574560032,0
1574560035,0
1574560038,0
1574560041,0
1574560044,0
1574560047,0
1574560050,0
1574560053,0
1574560056,0
1574560059,0
1574560062,0
1574560065,0
1574560068,0
1574560071,0
1574560074,0
1574560077,0
1574560080,0
1574560083,0
1574560086,0
1574560089,0
1574560092,0
1574560095,0
1574560098,0
1574560101,0
1574560104,860
1574560107,1720
1574560110,1760
1574560113,1760
1574560116,1760
1574560119,1820
1574560122,1820
1574560125,1820
1574560128,1820
1574560131,1820
1574560134,1820
1574560137,1820
1574560140,1820
1574560143,1820
1574560146,1820
1574560149,1820
1574560152,1820
1574560155,1820
1574560158,1820
1574560161,1820
1574560164,1820
1574560167,1820
1574560170,1820
1574560173,1820
1574560176,1820
1574560179,1820
1574560182,1820
1574560185,1820
1574560188,1820
1574560191,1820
1574560194,1820
1574560197,1820
1574560200,1820
1574560203,1820
1574560206,1820
1574560209,1820
1574560212,1820
1574560215,1820
1574560218,1820
1574560221,1820
1574560224,1820
1574560227,1820
1574560230,1820
1574560233,1820
1574560236,1820
1574560239,1820
1574560242,1820
1574560245,1820
1574560248,1820
1574560251,1820
1574560254,1820
1574560257,1820
1574560260,1820
1574560263,1820
1574560266,1820
1574560269,1820
1574560272,1820
1574560275,1820
1574560278,1820
1574560281,1820
1574560284,1820
1574560287,1820
1574560290,1820
1574560293,1820
1574560296,1820
1574560299,1820
1574560302,1820
1574560305,1820
1574560308,1820
1574560311,1820
1574560314,1820
1574560317,1820
1574560320,1820
1574560323,1820
1574560326,1820
1574560329,1820
1574560332,1820
1574560335,1820
1574560338,1820
1574560341,1820
1574560344,1820
1574560347,1820
1574560350,1820
1574560353,1820
1574560356,1820
1574560359,1820
1574560362,1820
1574560365,1820
1574560368,1820
1574560371,1820
1574560374,1820
1574560377,1820
1574560380,1820
1574560383,1820
1574560386,1820
1574560389,1820
1574560392,1820
1574560395,1820
1574560398,1820
1574560401,1820
1574560404,1820
1574560407,1820
1574560410,1820
1574560413,1820
1574560416,1820
1574560419,1820
1574560422,1820
1574560425,1820
1574560428,1820
1574560431,1820
1574560434,1820
1574560437,1820
1574560440,1820
1574560443,1820
1574560446,1820
1574560449,1820
1574560452,1820
1574560455,1820
1574560458,1820
1574560461,1820
1574560464,1820
1574560467,1820
1574560470,1820
1574560473,1820
1574560476,1820
1574560479,1820
1574560482,1820
1574560485,1820
1574560488,1820
1574560491,1820
1574560494,1820
1574560497,1820
1574560500,1820
1574560503,1820
1574560506,1820
1574560509,1820
1574560512,1820
1574560515,1820
1574560518,1820
1574560521,1820
1574560524,1820
1574560527,1820
1574560530,1820
1574560533,1820
1574560536,1820
1574560539,1820
1574560542,1820
1574560545,1820
1574560548,1820
1574560551,1820
1574560554,1820
1574560557,1820
1574560560,1820
1574560563,1820
1574560566,1820
1574560569,1820
1574560572,1820
1574560575,1820
1574560578,1820
1574560581,1820
1574560584,1820
1574560587,1820
1574560590,1820
1574560593,1820
1574560596,1820
1574560599,1820
1574560602,1820
1574560605,1820
1574560608,1820
1574560611,1820
1574560614,1820
1574560617,1820
1574560620,1820
1574560623,1820
1574560626,1820
1574560629,1820
1574560632,1820
1574560635,1820
1574560638,1820
1574560641,1820
1574560644,1820
1574560647,1820
1574560650,1820
1574560653,1820
1574560656,1820
1574560659,1820
1574560662,1820
1574560665,1820
1574560668,1820
1574560671,1820
1574560674,1820
1574560677,1820
1574560680,1820
1574560683,1820
1574560686,1820
1574560689,1820
1574560692,1820
1574560695,1820
1574560698,1820
1574560701,1820
1574560704,1820
1574560707,1820
1574560710,1820
1574560713,1820
1574560716,1820
1574560719,1820
1574560722,1820
1574560725,1820
1574560728,1820
1574560731,1820
1574560734,1820
1574560737,1820
1574560740,1820
1574560743,1820
1574560746,1820
1574560749,1820
1574560752,1820
1574560755,1820
1574560758,1820
1574560761,1820
1574560764,1820
1574560767,1820
1574560770,1820
1574560773,1820
1574560776,1820
1574560779,1820
1574560782,1820
1574560785,1820
1574560796,1820
1574560799,1820
1574560802,1820
1574560805,1820
1574560808,1820
1574560811,1820
1574560814,1820
1574560817,1820
1574560820,1820
1574560823,1820
1574560826,1820
1574560829,1820
1574560832,1820
1574560836,1820
1574560839,1820
1574560842,1820
1574560845,1820
1574560848,1820
1574560851,1820
1574560854,1820
1574560857,1820
1574560860,1820
1574560863,1820
1574560866,1820
1574560869,1820
1574560945,1820
1574560947,1820
1574560950,1820
1574560953,1820
1574560956,1820
1574560959,1820
1574560962,1820
1574560965,1820
1574560968,1820
1574560971,1820
1574560974,1820
1574560977,1820
1574560980,1820
1574561571,1820
1574561574,1820
1574561577,1820
1574561580,1820
1574561583,1820
1574561586,1820
1574561589,1820
1574561592,1820
1574561595,1820
1574561598,1820
1574561601,1820
1574561604,1820
1574561682,1820
1574561684,1820
1574561687,1820
1574561690,1820
1574561693,1820
1574561696,1820
1574561699,1820
1574561702,1820
1574561705,1820
1574561708,1820
1574561711,1820
1574561714,1820
1574561717,1820
1574561760,1820
1574561762,1820
1574561765,1820
1574561768,1820
1574561771,1820
1574561774,1820
1574561777,1820
1574561780,1820
1574561783,1820
1574561786,1820
1574561789,1820
