t,value
1574560017,0
1574560020,0
1574560023,0
1574560026,0
1574560029,0
1574560032,0
1574560035,0
1574560038,0
1574560041,0
1574560044,0
1574560047,0
1574560050,0
1574560053,0
1574560056,0
1574560059,0
1574560062,0
1574560065,0
1574560068,0
1574560071,0
1574560074,0
1574560077,0
1574560080,0
1574560083,0
1574560086,0
1574560089,0
1574560092,0
1574560095,0
1574560098,0
1574560101,0
1574560104,1
1574560107,2
1574560110,3
1574560113,3
1574560116,4
1574560119,5
1574560122,5
1574560125,5
1574560128,5
1574560131,5
1574560134,5
1574560137,5
1574560140,5
1574560143,5
1574560146,5
1574560149,5
1574560152,5
1574560155,5
1574560158,5
1574560161,5
1574560164,5
1574560167,5
1574560170,5
1574560173,5
1574560176,5
1574560179,5
1574560182,5
1574560185,5
1574560188,5
1574560191,5
1574560194,5
1574560197,5
1574560200,5
1574560203,5
1574560206,5
1574560209,5
1574560212,5
1574560215,5
1574560218,5
1574560221,5
1574560224,5
1574560227,5
1574560230,5
1574560233,5
1574560236,5
1574560239,5
1574560242,5
1574560245,5
1574560248,5
1574560251,5
1574560254,5
1574560257,5
1574560260,5
1574560263,5
1574560266,5
1574560269,5
1574560272,5
1574560275,5
1574560278,5
1574560281,5
1574560284,5
1574560287,5
1574560290,5
1574560293,5
1574560296,5
1574560299,5
1574560302,5
1574560305,5
1574560308,5
1574560311,5
1574560314,5
1574560317,5
1574560320,5
1574560323,5
1574560326,5
1574560329,5
1574560332,5
1574560335,5
1574560338,5
1574560341,5
1574560344,5
1574560347,5
1574560350,5
1574560353,5
1574560356,5
1574560359,5
1574560362,5
1574560365,5
1574560368,5
1574560371,5
1574560374,5
1574560377,5
1574560380,5
1574560383,5
1574560386,5
1574560389,5
1574560392,5
1574560395,5
1574560398,5
1574560401,5
1574560404,5
1574560407,5
1574560410,5
1574560413,5
1574560416,5
1574560419,5
1574560422,5
1574560425,5
1574560428,5
1574560431,5
1574560434,5
1574560437,5
1574560440,5
1574560443,5
1574560446,5
1574560449,5
1574560452,5
1574560455,5
1574560458,5
1574560461,5
1574560464,5
1574560467,5
1574560470,5
1574560473,5
1574560476,5
1574560479,5
1574560482,5
1574560485,5
1574560488,5
1574560491,5
1574560494,5
1574560497,5
1574560500,5
1574560503,5
1574560506,5
1574560509,5
1574560512,5
1574560515,5
1574560518,5
1574560521,5
1574560524,5
1574560527,5
1574560530,5
1574560533,5
1574560536,5
1574560539,5
1574560542,5
1574560545,5
1574560548,5
1574560551,5
1574560554,5
1574560557,5
1574560560,5
1574560563,5
1574560566,5
1574560569,5
1574560572,5
1574560575,5
1574560578,5
1574560581,5
1574560584,5
1574560587,5
1574560590,5
1574560593,5
1574560596,5
1574560599,5
1574560602,5
1574560605,5
1574560608,5
1574560611,5
1574560614,5
1574560617,5
1574560620,5
1574560623,5
1574560626,5
1574560629,5
1574560632,5
1574560635,5
1574560638,5
1574560641,5
1574560644,5
1574560647,5
1574560650,5
1574560653,5
1574560656,5
1574560659,5
1574560662,5
1574560665,5
1574560668,5
1574560671,5
1574560674,5
1574560677,5
1574560680,5
1574560683,5
1574560686,5
1574560689,5
1574560692,5
1574560695,5
1574560698,5
1574560701,5
1574560704,5
1574560707,5
1574560710,5
1574560713,5
1574560716,5
1574560719,5
1574560722,5
1574560725,5
1574560728,5
1574560731,5
1574560734,5
1574560737,5
1574560740,5
1574560743,5
1574560746,5
1574560749,5
1574560752,5
1574560755,5
1574560758,5
1574560761,5
1574560764,5
1574560767,5
1574560770,5
1574560773,5
1574560776,5
1574560779,5
1574560782,5
1574560785,5
1574560796,5
1574560799,5
1574560802,5
1574560805,5
1574560808,5
1574560811,5
1574560814,5
1574560817,5
1574560820,5
1574560823,5
1574560826,5
1574560829,5
1574560832,5
1574560836,5
1574560839,5
1574560842,5
1574560845,5
1574560848,5
1574560851,5
1574560854,5
1574560857,5
1574560860,5
1574560863,5
1574560866,5
1574560869,5
1574560945,5
1574560947,5
1574560950,5
1574560953,5
1574560956,5
1574560959,5
1574560962,5
1574560965,5
1574560968,5
1574560971,5
1574560974,5
1574560977,5
1574560980,5
1574561571,5
1574561574,5
1574561577,5
1574561580,5
1574561583,5
1574561586,5
1574561589,5
1574561592,5
1574561595,5
1574561598,5
1574561601,5
1574561604,5
1574561682,5
1574561684,5
1574561687,5
1574561690,5
1574561693,5
1574561696,5
1574561699,5
1574561702,5
1574561705,5
1574561708,5
1574561711,5
1574561714,5
1574561717,5
1574561760,5
1574561762,5
1574561765,5
1574561768,5
1574561771,5
1574561774,5
1574561777,5
1574561780,5
1574561783,5
1574561786,5
1574561789,5
1574561792,5
1574561861,5
1574561864,5
1574561867,5
1574561870,5
1574561873,5
1574561876,5
1574561879,5
1574561882,5
1574561885,5
1574561888,5
1574561891,5
1574561894,5
1574561897,5
1574562129,5
1574562132,5
1574562135,5
1574562138,5
1574562141,5
1574562144,5
1574562147,5
1574562150,5
1574562153,5
1574562156,5
1574562159,5
1574562162,5
1574562165,5
1574562168,5
1574562171,5
1574562174,5
1574562177,5
1574562180,5
1574562183,5
1574562186,5
1574562189,5
1574562192,5
1574562195,5
1574562198,5
1574562201,5
1574562204,5
1574562207,5
1574562210,5
1574562213,5
