t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1574560017,14,4.589541,0.000000,0.000000,0.000000,events/second
1574560020,14,2.333222,0.000000,0.000000,0.000000,events/second
1574560023,14,1.553308,0.000000,0.000000,0.000000,events/second
1574560026,14,1.166916,0.000000,0.000000,0.000000,events/second
1574560029,14,0.933807,0.000000,0.000000,0.000000,events/second
1574560032,14,0.777990,0.000000,0.000000,0.000000,events/second
1574560035,14,0.666802,0.000000,0.000000,0.000000,events/second
1574560038,14,0.583511,0.000000,0.000000,0.000000,events/second
1574560041,14,0.518698,0.000000,0.000000,0.000000,events/second
1574560044,14,0.466784,0.000000,0.000000,0.000000,events/second
1574560047,14,0.424350,0.000000,0.000000,0.000000,events/second
1574560050,14,0.388994,0.000000,0.000000,0.000000,events/second
1574560053,14,0.359015,0.000000,0.000000,0.000000,events/second
1574560056,14,0.333368,0.000000,0.000000,0.000000,events/second
1574560059,14,0.311169,0.000000,0.000000,0.000000,events/second
1574560062,14,0.291680,0.000000,0.000000,0.000000,events/second
1574560065,14,0.274537,0.000000,0.000000,0.000000,events/second
1574560068,14,0.259306,0.000000,0.000000,0.000000,events/second
1574560071,14,0.245636,0.000000,0.000000,0.000000,events/second
1574560074,14,0.233371,0.000000,0.000000,0.000000,events/second
1574560077,14,0.222242,0.000000,0.000000,0.000000,events/second
1574560080,14,0.212142,0.000000,0.000000,0.000000,events/second
1574560083,21,0.304379,0.000000,0.000000,0.000000,events/second
1574560086,28,0.388911,0.000000,0.000000,0.000000,events/second
1574560089,35,0.466719,0.000000,0.000000,0.000000,events/second
1574560092,42,0.538514,0.000000,0.000000,0.000000,events/second
1574560095,49,0.604973,0.000000,0.000000,0.000000,events/second
1574560098,56,0.666716,0.000000,0.000000,0.000000,events/second
1574560101,56,0.643760,0.000000,0.000000,0.000000,events/second
1574560104,56,0.622257,0.000000,0.000000,0.000000,events/second
1574560107,56,0.602192,0.000000,0.000000,0.000000,events/second
1574560110,56,0.583385,0.000000,0.000000,0.000000,events/second
1574560113,56,0.565688,0.000000,0.000000,0.000000,events/second
1574560116,56,0.549068,0.000000,0.000000,0.000000,events/second
1574560119,56,0.533364,0.000000,0.000000,0.000000,events/second
1574560122,56,0.518566,0.000000,0.000000,0.000000,events/second
1574560125,56,0.504535,0.000000,0.000000,0.000000,events/second
1574560128,56,0.491252,0.000000,0.000000,0.000000,events/second
1574560131,56,0.478654,0.000000,0.000000,0.000000,events/second
1574560134,56,0.466686,0.000000,0.000000,0.000000,events/second
1574560137,56,0.455303,0.000000,0.000000,0.000000,events/second
1574560140,56,0.444478,0.000000,0.000000,0.000000,events/second
1574560143,56,0.434122,0.000000,0.000000,0.000000,events/second
1574560146,56,0.424271,0.000000,0.000000,0.000000,events/second
1574560149,56,0.414824,0.000000,0.000000,0.000000,events/second
1574560152,56,0.405825,0.000000,0.000000,0.000000,events/second
1574560155,56,0.397177,0.000000,0.000000,0.000000,events/second
1574560158,56,0.388908,0.000000,0.000000,0.000000,events/second
1574560161,56,0.380980,0.000000,0.000000,0.000000,events/second
1574560164,56,0.373354,0.000000,0.000000,0.000000,events/second
1574560167,56,0.366032,0.000000,0.000000,0.000000,events/second
1574560170,56,0.358994,0.000000,0.000000,0.000000,events/second
1574560173,56,0.352226,0.000000,0.000000,0.000000,events/second
1574560176,56,0.345701,0.000000,0.000000,0.000000,events/second
1574560179,56,0.339404,0.000000,0.000000,0.000000,events/second
1574560182,56,0.333351,0.000000,0.000000,0.000000,events/second
1574560185,56,0.327495,0.000000,0.000000,0.000000,events/second
1574560188,56,0.321854,0.000000,0.000000,0.000000,events/second
1574560191,56,0.316402,0.000000,0.000000,0.000000,events/second
1574560194,56,0.311120,0.000000,0.000000,0.000000,events/second
1574560197,56,0.306019,0.000000,0.000000,0.000000,events/second
1574560200,56,0.301093,0.000000,0.000000,0.000000,events/second
1574560203,56,0.296299,0.000000,0.000000,0.000000,events/second
1574560206,56,0.291680,0.000000,0.000000,0.000000,events/second
1574560209,56,0.287190,0.000000,0.000000,0.000000,events/second
1574560212,56,0.282836,0.000000,0.000000,0.000000,events/second
1574560215,56,0.278614,0.000000,0.000000,0.000000,events/second
