t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1574560017,32,10.487008,0.000000,0.000000,0.000000,events/second
1574560020,32,5.332614,0.000000,0.000000,0.000000,events/second
1574560023,32,3.550238,0.000000,0.000000,0.000000,events/second
1574560026,32,2.667144,0.000000,0.000000,0.000000,events/second
1574560029,32,2.134365,0.000000,0.000000,0.000000,events/second
1574560032,32,1.778228,0.000000,0.000000,0.000000,events/second
1574560035,32,1.524094,0.000000,0.000000,0.000000,events/second
1574560038,32,1.333719,0.000000,0.000000,0.000000,events/second
1574560041,32,1.185580,0.000000,0.000000,0.000000,events/second
1574560044,32,1.066922,0.000000,0.000000,0.000000,events/second
1574560047,32,0.969933,0.000000,0.000000,0.000000,events/second
1574560050,32,0.889121,0.000000,0.000000,0.000000,events/second
1574560053,1864,47.799867,0.000000,0.000000,0.000000,events/second
1574560056,1926,45.861607,0.000000,0.000000,0.000000,events/second
1574560059,1926,42.807656,0.000000,0.000000,0.000000,events/second
1574560062,2018,42.043196,0.000000,0.000000,0.000000,events/second
1574560065,2018,39.572313,0.000000,0.000000,0.000000,events/second
1574560068,2018,37.376850,0.000000,0.000000,0.000000,events/second
1574560071,2035,35.704701,0.000000,0.000000,0.000000,events/second
1574560074,2093,34.888840,0.000000,0.000000,0.000000,events/second
1574560077,2093,33.225009,0.000000,0.000000,0.000000,events/second
1574560080,2209,33.472883,0.000000,0.000000,0.000000,events/second
1574560083,2213,32.075536,0.000000,0.000000,0.000000,events/second
1574560086,2218,30.807181,0.000000,0.000000,0.000000,events/second
1574560089,2223,29.643205,0.000000,0.000000,0.000000,events/second
1574560092,2228,28.566786,0.000000,0.000000,0.000000,events/second
1574560095,2233,27.569391,0.000000,0.000000,0.000000,events/second
1574560098,2238,26.644711,0.000000,0.000000,0.000000,events/second
1574560101,2238,25.727315,0.000000,0.000000,0.000000,events/second
1574560104,19893,221.044893,0.000000,0.000000,0.000000,events/second
1574560107,40859,439.373082,0.000000,0.000000,0.000000,events/second
1574560110,41299,430.234472,0.000000,0.000000,0.000000,events/second
1574560113,41299,417.183534,0.000000,0.000000,0.000000,events/second
1574560116,41361,405.534437,0.000000,0.000000,0.000000,events/second
1574560119,42772,407.374665,0.000000,0.000000,0.000000,events/second
1574560122,42772,396.071757,0.000000,0.000000,0.000000,events/second
1574560125,42772,385.355576,0.000000,0.000000,0.000000,events/second
1574560128,42772,375.210131,0.000000,0.000000,0.000000,events/second
1574560131,42772,365.588163,0.000000,0.000000,0.000000,events/second
1574560134,42825,356.888750,0.000000,0.000000,0.000000,events/second
1574560137,42825,348.184193,0.000000,0.000000,0.000000,events/second
1574560140,42825,339.905383,0.000000,0.000000,0.000000,events/second
1574560143,42825,331.985938,0.000000,0.000000,0.000000,events/second
1574560146,42825,324.452084,0.000000,0.000000,0.000000,events/second
1574560149,42825,317.228754,0.000000,0.000000,0.000000,events/second
1574560152,42825,310.346930,0.000000,0.000000,0.000000,events/second
1574560155,42825,303.732929,0.000000,0.000000,0.000000,events/second
1574560158,42825,297.409542,0.000000,0.000000,0.000000,events/second
1574560161,42825,291.346763,0.000000,0.000000,0.000000,events/second
1574560164,42825,285.515396,0.000000,0.000000,0.000000,events/second
1574560167,42825,279.915625,0.000000,0.000000,0.000000,events/second
1574560170,42825,274.533623,0.000000,0.000000,0.000000,events/second
1574560173,42825,269.357888,0.000000,0.000000,0.000000,events/second
1574560176,42825,264.368302,0.000000,0.000000,0.000000,events/second
1574560179,42825,259.552833,0.000000,0.000000,0.000000,events/second
1574560182,42825,254.924099,0.000000,0.000000,0.000000,events/second
1574560185,42825,250.445653,0.000000,0.000000,0.000000,events/second
1574560188,42825,246.131640,0.000000,0.000000,0.000000,events/second
1574560191,42825,241.962305,0.000000,0.000000,0.000000,events/second
1574560194,42878,238.217378,0.000000,0.000000,0.000000,events/second
1574560197,42878,234.312075,0.000000,0.000000,0.000000,events/second
1574560200,42878,230.539775,0.000000,0.000000,0.000000,events/second
1574560203,42878,226.869366,0.000000,0.000000,0.000000,events/second
1574560206,42878,223.332758,0.000000,0.000000,0.000000,events/second
1574560209,42878,219.894898,0.000000,0.000000,0.000000,events/second
1574560212,42878,216.560752,0.000000,0.000000,0.000000,events/second
1574560215,42878,213.328712,0.000000,0.000000,0.000000,events/second
1574560218,42878,210.193533,0.000000,0.000000,0.000000,events/second
1574560221,42878,207.147849,0.000000,0.000000,0.000000,events/second
1574560224,42878,204.188551,0.000000,0.000000,0.000000,events/second
1574560227,42878,201.301030,0.000000,0.000000,0.000000,events/second
1574560230,42878,198.517338,0.000000,0.000000,0.000000,events/second
1574560233,42878,195.794025,0.000000,0.000000,0.000000,events/second
1574560236,42878,193.151523,0.000000,0.000000,0.000000,events/second
1574560239,42878,190.576824,0.000000,0.000000,0.000000,events/second
1574560242,42878,188.068325,0.000000,0.000000,0.000000,events/second
1574560245,42878,185.625609,0.000000,0.000000,0.000000,events/second
1574560248,42878,183.243242,0.000000,0.000000,0.000000,events/second
1574560251,42878,180.923508,0.000000,0.000000,0.000000,events/second
1574560254,42931,178.884077,0.000000,0.000000,0.000000,events/second
1574560257,42931,176.675348,0.000000,0.000000,0.000000,events/second
1574560260,42931,174.520822,0.000000,0.000000,0.000000,events/second
1574560263,42931,172.418100,0.000000,0.000000,0.000000,events/second
1574560266,42931,170.367873,0.000000,0.000000,0.000000,events/second
1574560269,42931,168.362604,0.000000,0.000000,0.000000,events/second
1574560272,42931,166.404382,0.000000,0.000000,0.000000,events/second
1574560275,42931,164.489797,0.000000,0.000000,0.000000,events/second
1574560278,42931,162.623474,0.000000,0.000000,0.000000,events/second
1574560281,42931,160.797073,0.000000,0.000000,0.000000,events/second
1574560284,42931,159.009503,0.000000,0.000000,0.000000,events/second
1574560287,42931,157.260684,0.000000,0.000000,0.000000,events/second
1574560290,42931,155.549853,0.000000,0.000000,0.000000,events/second
1574560293,42931,153.879923,0.000000,0.000000,0.000000,events/second
1574560296,42931,152.240619,0.000000,0.000000,0.000000,events/second
1574560299,42931,150.637537,0.000000,0.000000,0.000000,events/second
1574560302,42931,149.069270,0.000000,0.000000,0.000000,events/second
1574560305,42931,147.531955,0.000000,0.000000,0.000000,events/second
1574560308,42931,146.029120,0.000000,0.000000,0.000000,events/second
1574560311,42931,144.552129,0.000000,0.000000,0.000000,events/second
1574560314,42984,143.283191,0.000000,0.000000,0.000000,events/second
1574560317,42984,141.865995,0.000000,0.000000,0.000000,events/second
1574560320,42984,140.473089,0.000000,0.000000,0.000000,events/second
1574560323,42984,139.109454,0.000000,0.000000,0.000000,events/second
1574560326,42984,137.773624,0.000000,0.000000,0.000000,events/second
1574560329,42984,136.461485,0.000000,0.000000,0.000000,events/second
1574560332,42984,135.172799,0.000000,0.000000,0.000000,events/second
1574560335,42984,133.910595,0.000000,0.000000,0.000000,events/second
1574560338,42984,132.669487,0.000000,0.000000,0.000000,events/second
1574560341,42984,131.452707,0.000000,0.000000,0.000000,events/second
1574560344,42984,130.257089,0.000000,0.000000,0.000000,events/second
1574560347,42984,129.084839,0.000000,0.000000,0.000000,events/second
1574560350,42984,127.932914,0.000000,0.000000,0.000000,events/second
1574560353,42984,126.798208,0.000000,0.000000,0.000000,events/second
1574560356,42984,125.686188,0.000000,0.000000,0.000000,events/second
1574560359,42984,124.594425,0.000000,0.000000,0.000000,events/second
1574560362,42984,123.519722,0.000000,0.000000,0.000000,events/second
1574560365,42984,122.463284,0.000000,0.000000,0.000000,events/second
1574560368,42984,121.425347,0.000000,0.000000,0.000000,events/second
1574560371,42984,120.405039,0.000000,0.000000,0.000000,events/second
1574560374,43037,119.550176,0.000000,0.000000,0.000000,events/second
1574560377,43037,118.561422,0.000000,0.000000,0.000000,events/second
1574560380,43037,117.589703,0.000000,0.000000,0.000000,events/second
1574560383,43037,116.632528,0.000000,0.000000,0.000000,events/second
1574560386,43037,115.693207,0.000000,0.000000,0.000000,events/second
1574560389,43037,114.767107,0.000000,0.000000,0.000000,events/second
1574560392,43037,113.856042,0.000000,0.000000,0.000000,events/second
1574560395,43037,112.959458,0.000000,0.000000,0.000000,events/second
1574560398,43037,112.076849,0.000000,0.000000,0.000000,events/second
1574560401,43037,111.207889,0.000000,0.000000,0.000000,events/second
1574560404,43037,110.353153,0.000000,0.000000,0.000000,events/second
1574560407,43037,109.511851,0.000000,0.000000,0.000000,events/second
1574560410,43037,108.680636,0.000000,0.000000,0.000000,events/second
1574560413,43037,107.863245,0.000000,0.000000,0.000000,events/second
1574560416,43037,107.059088,0.000000,0.000000,0.000000,events/second
1574560419,43037,106.266535,0.000000,0.000000,0.000000,events/second
1574560422,43037,105.485558,0.000000,0.000000,0.000000,events/second
1574560425,43037,104.714378,0.000000,0.000000,0.000000,events/second
1574560428,43037,103.955680,0.000000,0.000000,0.000000,events/second
1574560431,43037,103.207436,0.000000,0.000000,0.000000,events/second
1574560434,43090,102.596844,0.000000,0.000000,0.000000,events/second
1574560437,43090,101.869698,0.000000,0.000000,0.000000,events/second
1574560440,43090,101.152236,0.000000,0.000000,0.000000,events/second
1574560443,43090,100.443615,0.000000,0.000000,0.000000,events/second
1574560446,43090,99.746637,0.000000,0.000000,0.000000,events/second
1574560449,43090,99.059426,0.000000,0.000000,0.000000,events/second
1574560452,43090,98.380675,0.000000,0.000000,0.000000,events/second
1574560455,43090,97.710950,0.000000,0.000000,0.000000,events/second
1574560458,43090,97.050612,0.000000,0.000000,0.000000,events/second
1574560461,43090,96.400427,0.000000,0.000000,0.000000,events/second
1574560464,43090,95.757470,0.000000,0.000000,0.000000,events/second
1574560467,43090,95.123007,0.000000,0.000000,0.000000,events/second
1574560470,43090,94.496608,0.000000,0.000000,0.000000,events/second
1574560473,43090,93.878797,0.000000,0.000000,0.000000,events/second
1574560476,43090,93.270133,0.000000,0.000000,0.000000,events/second
1574560479,43090,92.668506,0.000000,0.000000,0.000000,events/second
1574560482,43090,92.073634,0.000000,0.000000,0.000000,events/second
1574560485,43090,91.488228,0.000000,0.000000,0.000000,events/second
1574560488,43090,90.908121,0.000000,0.000000,0.000000,events/second
1574560491,43090,90.336371,0.000000,0.000000,0.000000,events/second
1574560494,43143,89.882361,0.000000,0.000000,0.000000,events/second
1574560497,43143,89.324715,0.000000,0.000000,0.000000,events/second
1574560500,43143,88.773120,0.000000,0.000000,0.000000,events/second
1574560503,43143,88.227852,0.000000,0.000000,0.000000,events/second
1574560506,43143,87.690681,0.000000,0.000000,0.000000,events/second
1574560509,43143,87.158921,0.000000,0.000000,0.000000,events/second
1574560512,43143,86.633391,0.000000,0.000000,0.000000,events/second
1574560515,43143,86.115028,0.000000,0.000000,0.000000,events/second
1574560518,43143,85.602755,0.000000,0.000000,0.000000,events/second
1574560521,43143,85.095482,0.000000,0.000000,0.000000,events/second
1574560524,43143,84.594937,0.000000,0.000000,0.000000,events/second
1574560527,43143,84.101023,0.000000,0.000000,0.000000,events/second
1574560530,43143,83.611655,0.000000,0.000000,0.000000,events/second
1574560533,43143,83.128124,0.000000,0.000000,0.000000,events/second
1574560536,43143,82.650741,0.000000,0.000000,0.000000,events/second
1574560539,43143,82.177921,0.000000,0.000000,0.000000,events/second
1574560542,43143,81.711146,0.000000,0.000000,0.000000,events/second
1574560545,43143,81.249768,0.000000,0.000000,0.000000,events/second
1574560548,43143,80.792884,0.000000,0.000000,0.000000,events/second
1574560551,43143,80.341877,0.000000,0.000000,0.000000,events/second
1574560554,43196,79.993385,0.000000,0.000000,0.000000,events/second
1574560557,43196,79.552066,0.000000,0.000000,0.000000,events/second
1574560560,43196,79.114448,0.000000,0.000000,0.000000,events/second
1574560563,43196,78.681906,0.000000,0.000000,0.000000,events/second
1574560566,43196,78.255114,0.000000,0.000000,0.000000,events/second
1574560569,43196,77.831500,0.000000,0.000000,0.000000,events/second
1574560572,43196,77.413176,0.000000,0.000000,0.000000,events/second
1574560575,43196,76.998894,0.000000,0.000000,0.000000,events/second
1574560578,43196,76.589326,0.000000,0.000000,0.000000,events/second
1574560581,43196,76.184288,0.000000,0.000000,0.000000,events/second
1574560584,43196,75.783107,0.000000,0.000000,0.000000,events/second
1574560587,43196,75.386346,0.000000,0.000000,0.000000,events/second
1574560590,43196,74.993624,0.000000,0.000000,0.000000,events/second
1574560593,43196,74.604754,0.000000,0.000000,0.000000,events/second
1574560596,43196,74.220554,0.000000,0.000000,0.000000,events/second
1574560599,43196,73.840227,0.000000,0.000000,0.000000,events/second
1574560602,43196,73.463764,0.000000,0.000000,0.000000,events/second
1574560605,43196,73.090806,0.000000,0.000000,0.000000,events/second
1574560608,43196,72.721153,0.000000,0.000000,0.000000,events/second
