t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1574560017,23,7.531904,0.000000,0.000000,0.000000,events/second
1574560020,23,3.831700,0.000000,0.000000,0.000000,events/second
1574560023,23,2.551260,0.000000,0.000000,0.000000,events/second
1574560026,23,1.916755,0.000000,0.000000,0.000000,events/second
1574560029,23,1.533915,0.000000,0.000000,0.000000,events/second
1574560032,23,1.277992,0.000000,0.000000,0.000000,events/second
1574560035,23,1.095363,0.000000,0.000000,0.000000,events/second
1574560038,23,0.958548,0.000000,0.000000,0.000000,events/second
1574560041,23,0.852087,0.000000,0.000000,0.000000,events/second
1574560044,23,0.766812,0.000000,0.000000,0.000000,events/second
1574560047,23,0.697106,0.000000,0.000000,0.000000,events/second
1574560050,23,0.639029,0.000000,0.000000,0.000000,events/second
1574560053,36,0.923137,0.000000,0.000000,0.000000,events/second
1574560056,36,0.857195,0.000000,0.000000,0.000000,events/second
1574560059,36,0.800116,0.000000,0.000000,0.000000,events/second
1574560062,37,0.770836,0.000000,0.000000,0.000000,events/second
1574560065,37,0.725536,0.000000,0.000000,0.000000,events/second
1574560068,37,0.685285,0.000000,0.000000,0.000000,events/second
1574560071,37,0.649159,0.000000,0.000000,0.000000,events/second
1574560074,37,0.616748,0.000000,0.000000,0.000000,events/second
1574560077,37,0.587336,0.000000,0.000000,0.000000,events/second
1574560080,37,0.560647,0.000000,0.000000,0.000000,events/second
1574560083,38,0.550765,0.000000,0.000000,0.000000,events/second
1574560086,38,0.527794,0.000000,0.000000,0.000000,events/second
1574560089,38,0.506711,0.000000,0.000000,0.000000,events/second
1574560092,38,0.487216,0.000000,0.000000,0.000000,events/second
1574560095,38,0.469152,0.000000,0.000000,0.000000,events/second
1574560098,38,0.452404,0.000000,0.000000,0.000000,events/second
1574560101,38,0.436828,0.000000,0.000000,0.000000,events/second
1574560104,45,0.500018,0.000000,0.000000,0.000000,events/second
1574560107,50,0.537661,0.000000,0.000000,0.000000,events/second
1574560110,50,0.520869,0.000000,0.000000,0.000000,events/second
1574560113,50,0.505069,0.000000,0.000000,0.000000,events/second
1574560116,52,0.509840,0.000000,0.000000,0.000000,events/second
1574560119,52,0.495258,0.000000,0.000000,0.000000,events/second
1574560122,52,0.481517,0.000000,0.000000,0.000000,events/second
1574560125,52,0.468489,0.000000,0.000000,0.000000,events/second
1574560128,52,0.456155,0.000000,0.000000,0.000000,events/second
1574560131,52,0.444458,0.000000,0.000000,0.000000,events/second
1574560134,52,0.433345,0.000000,0.000000,0.000000,events/second
1574560137,52,0.422775,0.000000,0.000000,0.000000,events/second
1574560140,52,0.412723,0.000000,0.000000,0.000000,events/second
1574560143,52,0.403107,0.000000,0.000000,0.000000,events/second
1574560146,52,0.393959,0.000000,0.000000,0.000000,events/second
1574560149,52,0.385189,0.000000,0.000000,0.000000,events/second
1574560152,52,0.376833,0.000000,0.000000,0.000000,events/second
1574560155,52,0.368802,0.000000,0.000000,0.000000,events/second
1574560158,52,0.361124,0.000000,0.000000,0.000000,events/second
1574560161,52,0.353762,0.000000,0.000000,0.000000,events/second
1574560164,52,0.346682,0.000000,0.000000,0.000000,events/second
1574560167,52,0.339882,0.000000,0.000000,0.000000,events/second
1574560170,52,0.333348,0.000000,0.000000,0.000000,events/second
1574560173,52,0.327063,0.000000,0.000000,0.000000,events/second
