t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1574560017,69,22.595716,0.000000,0.000000,0.000000,events/second
1574560020,69,11.496526,0.000000,0.000000,0.000000,events/second
1574560023,69,7.654391,0.000000,0.000000,0.000000,events/second
1574560026,69,5.750652,0.000000,0.000000,0.000000,events/second
1574560029,69,4.602013,0.000000,0.000000,0.000000,events/second
1574560032,69,3.834175,0.000000,0.000000,0.000000,events/second
1574560035,69,3.286235,0.000000,0.000000,0.000000,events/second
1574560038,69,2.875754,0.000000,0.000000,0.000000,events/second
1574560041,69,2.556350,0.000000,0.000000,0.000000,events/second
1574560044,69,2.300507,0.000000,0.000000,0.000000,events/second
1574560047,69,2.091375,0.000000,0.000000,0.000000,events/second
1574560050,69,1.917136,0.000000,0.000000,0.000000,events/second
1574560053,1914,49.081286,0.000000,0.000000,0.000000,events/second
1574560056,1976,47.051535,0.000000,0.000000,0.000000,events/second
1574560059,1976,43.918394,0.000000,0.000000,0.000000,events/second
1574560062,2069,43.105103,0.000000,0.000000,0.000000,events/second
1574560065,2069,40.571879,0.000000,0.000000,0.000000,events/second
1574560068,2069,38.321045,0.000000,0.000000,0.000000,events/second
1574560071,2086,36.599135,0.000000,0.000000,0.000000,events/second
1574560074,2155,35.921987,0.000000,0.000000,0.000000,events/second
1574560077,2155,34.208870,0.000000,0.000000,0.000000,events/second
1574560080,2271,34.412064,0.000000,0.000000,0.000000,events/second
1574560083,2276,32.988364,0.000000,0.000000,0.000000,events/second
1574560086,2281,31.681935,0.000000,0.000000,0.000000,events/second
1574560089,2286,30.483058,0.000000,0.000000,0.000000,events/second
1574560092,2291,29.374336,0.000000,0.000000,0.000000,events/second
1574560095,2296,28.347007,0.000000,0.000000,0.000000,events/second
1574560098,2301,27.394577,0.000000,0.000000,0.000000,events/second
1574560101,2301,26.451351,0.000000,0.000000,0.000000,events/second
1574560104,19963,221.821262,0.000000,0.000000,0.000000,events/second
1574560107,40934,440.176854,0.000000,0.000000,0.000000,events/second
1574560110,41374,431.012901,0.000000,0.000000,0.000000,events/second
1574560113,41374,417.938198,0.000000,0.000000,0.000000,events/second
1574560116,41438,406.287141,0.000000,0.000000,0.000000,events/second
1574560119,42849,408.105786,0.000000,0.000000,0.000000,events/second
1574560122,42849,396.782660,0.000000,0.000000,0.000000,events/second
1574560125,42849,386.047327,0.000000,0.000000,0.000000,events/second
1574560128,42849,375.883695,0.000000,0.000000,0.000000,events/second
1574560131,42849,366.244498,0.000000,0.000000,0.000000,events/second
1574560134,42932,357.778727,0.000000,0.000000,0.000000,events/second
1574560137,42932,349.052514,0.000000,0.000000,0.000000,events/second
1574560140,42932,340.753096,0.000000,0.000000,0.000000,events/second
1574560143,42932,332.813855,0.000000,0.000000,0.000000,events/second
1574560146,42932,325.260856,0.000000,0.000000,0.000000,events/second
1574560149,42932,318.019812,0.000000,0.000000,0.000000,events/second
1574560152,42932,311.121041,0.000000,0.000000,0.000000,events/second
1574560155,42932,304.490558,0.000000,0.000000,0.000000,events/second
1574560158,42932,298.151432,0.000000,0.000000,0.000000,events/second
1574560161,42932,292.073579,0.000000,0.000000,0.000000,events/second
1574560164,42932,286.227679,0.000000,0.000000,0.000000,events/second
1574560167,42932,280.613943,0.000000,0.000000,0.000000,events/second
1574560170,42932,275.218537,0.000000,0.000000,0.000000,events/second
1574560173,42932,270.029908,0.000000,0.000000,0.000000,events/second
1574560176,42932,265.027892,0.000000,0.000000,0.000000,events/second
1574560179,42932,260.200427,0.000000,0.000000,0.000000,events/second
1574560182,42932,255.560174,0.000000,0.000000,0.000000,events/second
1574560185,42932,251.070556,0.000000,0.000000,0.000000,events/second
1574560188,42932,246.745791,0.000000,0.000000,0.000000,events/second
1574560191,42932,242.566082,0.000000,0.000000,0.000000,events/second
1574560194,43015,238.977703,0.000000,0.000000,0.000000,events/second
1574560197,43015,235.059991,0.000000,0.000000,0.000000,events/second
1574560200,43015,231.275658,0.000000,0.000000,0.000000,events/second
1574560203,43015,227.593526,0.000000,0.000000,0.000000,events/second
1574560206,43015,224.045510,0.000000,0.000000,0.000000,events/second
1574560209,43015,220.596832,0.000000,0.000000,0.000000,events/second
1574560212,43015,217.252053,0.000000,0.000000,0.000000,events/second
1574560215,43015,214.009711,0.000000,0.000000,0.000000,events/second
1574560218,43015,210.864454,0.000000,0.000000,0.000000,events/second
1574560221,43015,207.809133,0.000000,0.000000,0.000000,events/second
1574560224,43015,204.840396,0.000000,0.000000,0.000000,events/second
1574560227,43015,201.943340,0.000000,0.000000,0.000000,events/second
1574560230,43015,199.151092,0.000000,0.000000,0.000000,events/second
1574560233,43015,196.419092,0.000000,0.000000,0.000000,events/second
