t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1574560017,52,17.025697,0.000000,0.000000,0.000000,events/second
1574560020,52,8.664044,0.000000,0.000000,0.000000,events/second
1574560023,52,5.768554,0.000000,0.000000,0.000000,events/second
1574560026,52,4.333806,0.000000,0.000000,0.000000,events/second
1574560029,52,3.468208,0.000000,0.000000,0.000000,events/second
1574560032,52,2.889551,0.000000,0.000000,0.000000,events/second
1574560035,52,2.476604,0.000000,0.000000,0.000000,events/second
1574560038,52,2.167251,0.000000,0.000000,0.000000,events/second
1574560041,52,1.926538,0.000000,0.000000,0.000000,events/second
1574560044,52,1.733726,0.000000,0.000000,0.000000,events/second
1574560047,52,1.576116,0.000000,0.000000,0.000000,events/second
1574560050,52,1.444806,0.000000,0.000000,0.000000,events/second
1574560053,1897,48.645567,0.000000,0.000000,0.000000,events/second
1574560056,1958,46.623131,0.000000,0.000000,0.000000,events/second
1574560059,1958,43.518506,0.000000,0.000000,0.000000,events/second
1574560062,2050,42.709382,0.000000,0.000000,0.000000,events/second
1574560065,2050,40.199410,0.000000,0.000000,0.000000,events/second
1574560068,2050,37.969268,0.000000,0.000000,0.000000,events/second
1574560071,2066,36.248348,0.000000,0.000000,0.000000,events/second
1574560074,2123,35.388682,0.000000,0.000000,0.000000,events/second
1574560077,2123,33.700977,0.000000,0.000000,0.000000,events/second
1574560080,2238,33.912115,0.000000,0.000000,0.000000,events/second
1574560083,2243,32.510115,0.000000,0.000000,0.000000,events/second
1574560086,2248,31.223651,0.000000,0.000000,0.000000,events/second
1574560089,2253,30.043088,0.000000,0.000000,0.000000,events/second
1574560092,2258,28.951291,0.000000,0.000000,0.000000,events/second
1574560095,2263,27.939645,0.000000,0.000000,0.000000,events/second
1574560098,2268,27.001756,0.000000,0.000000,0.000000,events/second
1574560101,2268,26.072035,0.000000,0.000000,0.000000,events/second
1574560104,19929,221.443918,0.000000,0.000000,0.000000,events/second
1574560107,40899,439.801366,0.000000,0.000000,0.000000,events/second
1574560110,41338,430.638586,0.000000,0.000000,0.000000,events/second
1574560113,41338,417.575104,0.000000,0.000000,0.000000,events/second
1574560116,41401,405.925131,0.000000,0.000000,0.000000,events/second
1574560119,42811,407.744590,0.000000,0.000000,0.000000,events/second
1574560122,42811,396.431467,0.000000,0.000000,0.000000,events/second
1574560125,42811,385.705634,0.000000,0.000000,0.000000,events/second
1574560128,42811,375.550965,0.000000,0.000000,0.000000,events/second
1574560131,42811,365.920067,0.000000,0.000000,0.000000,events/second
1574560134,42864,357.212605,0.000000,0.000000,0.000000,events/second
1574560137,42864,348.500185,0.000000,0.000000,0.000000,events/second
1574560140,42864,340.213886,0.000000,0.000000,0.000000,events/second
1574560143,42864,332.287161,0.000000,0.000000,0.000000,events/second
1574560146,42864,324.745954,0.000000,0.000000,0.000000,events/second
1574560149,42864,317.516443,0.000000,0.000000,0.000000,events/second
1574560152,42864,310.628676,0.000000,0.000000,0.000000,events/second
1574560155,42864,304.008676,0.000000,0.000000,0.000000,events/second
1574560158,42864,297.679574,0.000000,0.000000,0.000000,events/second
1574560161,42864,291.611347,0.000000,0.000000,0.000000,events/second
1574560164,42864,285.774690,0.000000,0.000000,0.000000,events/second
1574560167,42864,280.169820,0.000000,0.000000,0.000000,events/second
1574560170,42864,274.782949,0.000000,0.000000,0.000000,events/second
1574560173,42864,269.602521,0.000000,0.000000,0.000000,events/second
1574560176,42864,264.608420,0.000000,0.000000,0.000000,events/second
