t,value
1574560017,3.52328431372549E-4
1574560020,3.52328431372549E-4
1574560023,3.52328431372549E-4
1574560026,3.52328431372549E-4
1574560029,3.52328431372549E-4
1574560032,3.52328431372549E-4
1574560035,3.52328431372549E-4
1574560038,3.52328431372549E-4
1574560041,3.52328431372549E-4
1574560044,3.52328431372549E-4
1574560047,3.52328431372549E-4
1574560050,3.52328431372549E-4
1574560053,5.514705882352941E-4
1574560056,5.514705882352941E-4
1574560059,5.514705882352941E-4
1574560062,5.667892156862746E-4
1574560065,5.667892156862746E-4
1574560068,5.667892156862746E-4
1574560071,5.667892156862746E-4
1574560074,5.667892156862746E-4
1574560077,5.667892156862746E-4
1574560080,5.667892156862746E-4
1574560083,5.821078431372549E-4
1574560086,5.821078431372549E-4
1574560089,5.821078431372549E-4
1574560092,5.821078431372549E-4
1574560095,5.821078431372549E-4
1574560098,5.821078431372549E-4
1574560101,5.821078431372549E-4
1574560104,6.893382352941177E-4
1574560107,7.659313725490196E-4
1574560110,7.659313725490196E-4
1574560113,7.659313725490196E-4
1574560116,7.965686274509804E-4
1574560119,7.965686274509804E-4
1574560122,7.965686274509804E-4
1574560125,7.965686274509804E-4
1574560128,7.965686274509804E-4
1574560131,7.965686274509804E-4
1574560134,7.965686274509804E-4
1574560137,7.965686274509804E-4
1574560140,7.965686274509804E-4
1574560143,7.965686274509804E-4
1574560146,7.965686274509804E-4
1574560149,7.965686274509804E-4
1574560152,7.965686274509804E-4
1574560155,7.965686274509804E-4
1574560158,7.965686274509804E-4
1574560161,7.965686274509804E-4
1574560164,7.965686274509804E-4
1574560167,7.965686274509804E-4
1574560170,7.965686274509804E-4
1574560173,7.965686274509804E-4
1574560176,7.965686274509804E-4
1574560179,7.965686274509804E-4
1574560182,7.965686274509804E-4
1574560185,7.965686274509804E-4
1574560188,7.965686274509804E-4
1574560191,7.965686274509804E-4
1574560194,7.965686274509804E-4
1574560197,7.965686274509804E-4
1574560200,7.965686274509804E-4
1574560203,7.965686274509804E-4
1574560206,7.965686274509804E-4
1574560209,7.965686274509804E-4
1574560212,7.965686274509804E-4
1574560215,7.965686274509804E-4
1574560218,7.965686274509804E-4
1574560221,7.965686274509804E-4
1574560224,7.965686274509804E-4
1574560227,7.965686274509804E-4
1574560230,7.965686274509804E-4
1574560233,7.965686274509804E-4
1574560236,7.965686274509804E-4
1574560239,7.965686274509804E-4
1574560242,7.965686274509804E-4
1574560245,7.965686274509804E-4
1574560248,7.965686274509804E-4
1574560251,7.965686274509804E-4
1574560254,7.965686274509804E-4
1574560257,7.965686274509804E-4
1574560260,7.965686274509804E-4
1574560263,7.965686274509804E-4
1574560266,7.965686274509804E-4
1574560269,7.965686274509804E-4
1574560272,7.965686274509804E-4
1574560275,7.965686274509804E-4
1574560278,7.965686274509804E-4
1574560281,7.965686274509804E-4
1574560284,7.965686274509804E-4
1574560287,7.965686274509804E-4
1574560290,7.965686274509804E-4
1574560293,7.965686274509804E-4
1574560296,7.965686274509804E-4
1574560299,7.965686274509804E-4
1574560302,7.965686274509804E-4
1574560305,7.965686274509804E-4
1574560308,7.965686274509804E-4
1574560311,7.965686274509804E-4
1574560314,7.965686274509804E-4
1574560317,7.965686274509804E-4
1574560320,7.965686274509804E-4
1574560323,7.965686274509804E-4
1574560326,7.965686274509804E-4
1574560329,7.965686274509804E-4
1574560332,7.965686274509804E-4
1574560335,7.965686274509804E-4
1574560338,7.965686274509804E-4
1574560341,7.965686274509804E-4
1574560344,7.965686274509804E-4
1574560347,7.965686274509804E-4
1574560350,7.965686274509804E-4
1574560353,7.965686274509804E-4
1574560356,7.965686274509804E-4
1574560359,7.965686274509804E-4
1574560362,7.965686274509804E-4
1574560365,7.965686274509804E-4
1574560368,7.965686274509804E-4
1574560371,7.965686274509804E-4
1574560374,7.965686274509804E-4
1574560377,7.965686274509804E-4
1574560380,7.965686274509804E-4
1574560383,7.965686274509804E-4
1574560386,7.965686274509804E-4
1574560389,7.965686274509804E-4
1574560392,7.965686274509804E-4
1574560395,7.965686274509804E-4
1574560398,7.965686274509804E-4
1574560401,7.965686274509804E-4
1574560404,7.965686274509804E-4
1574560407,7.965686274509804E-4
1574560410,7.965686274509804E-4
1574560413,7.965686274509804E-4
1574560416,7.965686274509804E-4
1574560419,7.965686274509804E-4
1574560422,7.965686274509804E-4
1574560425,7.965686274509804E-4
1574560428,7.965686274509804E-4
1574560431,7.965686274509804E-4
1574560434,7.965686274509804E-4
1574560437,7.965686274509804E-4
1574560440,7.965686274509804E-4
1574560443,7.965686274509804E-4
1574560446,7.965686274509804E-4
1574560449,7.965686274509804E-4
1574560452,7.965686274509804E-4
1574560455,7.965686274509804E-4
1574560458,7.965686274509804E-4
1574560461,7.965686274509804E-4
1574560464,7.965686274509804E-4
1574560467,7.965686274509804E-4
1574560470,7.965686274509804E-4
1574560473,7.965686274509804E-4
1574560476,7.965686274509804E-4
1574560479,7.965686274509804E-4
1574560482,7.965686274509804E-4
1574560485,7.965686274509804E-4
1574560488,7.965686274509804E-4
1574560491,7.965686274509804E-4
1574560494,7.965686274509804E-4
1574560497,7.965686274509804E-4
1574560500,7.965686274509804E-4
1574560503,7.965686274509804E-4
1574560506,7.965686274509804E-4
1574560509,7.965686274509804E-4
1574560512,7.965686274509804E-4
1574560515,7.965686274509804E-4
1574560518,7.965686274509804E-4
1574560521,7.965686274509804E-4
1574560524,7.965686274509804E-4
1574560527,7.965686274509804E-4
1574560530,7.965686274509804E-4
1574560533,7.965686274509804E-4
1574560536,7.965686274509804E-4
1574560539,7.965686274509804E-4
1574560542,7.965686274509804E-4
1574560545,7.965686274509804E-4
1574560548,7.965686274509804E-4
1574560551,7.965686274509804E-4
1574560554,7.965686274509804E-4
1574560557,7.965686274509804E-4
1574560560,7.965686274509804E-4
1574560563,7.965686274509804E-4
