t,value
1574560017,-1
1574560020,8
1574560023,11
1574560026,11
1574560029,11
1574560032,11
1574560035,11
1574560038,11
1574560041,11
1574560044,11
1574560047,11
1574560050,11
1574560053,11
1574560056,11
1574560059,11
1574560062,11
1574560065,11
1574560068,11
1574560071,11
1574560074,11
1574560077,11
1574560080,11
1574560083,10
1574560086,10
1574560089,10
1574560092,10
1574560095,10
1574560098,10
1574560101,10
1574560104,10
1574560107,10
1574560110,10
1574560113,10
1574560116,10
1574560119,10
1574560122,10
1574560125,10
1574560128,10
1574560131,10
1574560134,10
1574560137,10
1574560140,10
1574560143,9
1574560146,9
1574560149,9
1574560152,9
1574560155,9
1574560158,9
1574560161,9
1574560164,9
1574560167,9
1574560170,9
1574560173,9
1574560176,9
1574560179,9
1574560182,9
1574560185,9
1574560188,9
1574560191,9
1574560194,9
1574560197,9
1574560200,9
1574560203,8
1574560206,8
1574560209,8
1574560212,8
1574560215,8
1574560218,8
1574560221,8
1574560224,8
1574560227,8
1574560230,8
1574560233,8
1574560236,8
1574560239,8
1574560242,8
1574560245,8
1574560248,8
1574560251,8
1574560254,8
1574560257,8
1574560260,8
1574560263,8
1574560266,8
1574560269,8
1574560272,8
1574560275,8
1574560278,8
1574560281,8
1574560284,8
1574560287,8
1574560290,8
1574560293,8
1574560296,8
1574560299,8
1574560302,8
1574560305,8
1574560308,8
1574560311,8
1574560314,8
1574560317,8
1574560320,8
1574560323,8
1574560326,8
1574560329,8
1574560332,8
1574560335,8
1574560338,8
1574560341,8
1574560344,8
1574560347,8
1574560350,8
1574560353,8
1574560356,8
1574560359,8
1574560362,8
1574560365,8
1574560368,8
1574560371,8
1574560374,8
1574560377,8
1574560380,8
1574560383,8
1574560386,8
1574560389,8
1574560392,8
1574560395,8
1574560398,8
1574560401,8
1574560404,8
1574560407,8
1574560410,8
1574560413,8
1574560416,8
1574560419,8
1574560422,8
1574560425,8
1574560428,8
1574560431,8
1574560434,8
1574560437,8
1574560440,8
1574560443,8
1574560446,8
1574560449,8
1574560452,8
1574560455,8
1574560458,8
1574560461,8
1574560464,8
1574560467,8
1574560470,8
1574560473,8
1574560476,8
1574560479,8
1574560482,8
1574560485,8
1574560488,8
1574560491,8
1574560494,8
1574560497,8
1574560500,8
1574560503,8
1574560506,8
1574560509,8
1574560512,8
1574560515,8
1574560518,8
1574560521,8
1574560524,8
1574560527,8
1574560530,8
1574560533,8
1574560536,8
1574560539,8
1574560542,8
1574560545,8
1574560548,8
1574560551,8
1574560554,8
1574560557,8
1574560560,8
1574560563,8
1574560566,8
1574560569,8
1574560572,8
1574560575,8
1574560578,8
1574560581,8
1574560584,8
1574560587,8
1574560590,8
1574560593,8
1574560596,8
1574560599,8
1574560602,8
1574560605,8
1574560608,8
1574560611,8
1574560614,8
1574560617,8
1574560620,8
1574560623,8
1574560626,8
1574560629,8
1574560632,8
1574560635,8
1574560638,8
1574560641,8
1574560644,8
1574560647,8
1574560650,8
1574560653,8
1574560656,8
1574560659,8
1574560662,8
1574560665,8
1574560668,8
1574560671,8
1574560674,8
1574560677,8
1574560680,8
1574560683,8
1574560686,8
1574560689,8
1574560692,8
1574560695,8
1574560698,8
1574560701,8
1574560704,8
1574560707,8
1574560710,8
1574560713,8
1574560716,8
1574560719,8
1574560722,8
1574560725,8
1574560728,8
1574560731,8
1574560734,8
1574560737,8
1574560740,8
1574560743,8
1574560746,8
1574560749,8
1574560752,8
1574560755,8
1574560758,8
1574560761,8
1574560764,8
1574560767,8
1574560770,8
1574560773,8
1574560776,8
1574560779,8
1574560782,8
1574560785,8
1574560796,8
1574560799,8
1574560802,8
1574560805,8
1574560808,8
1574560811,8
1574560814,8
1574560817,8
1574560820,8
1574560823,8
1574560826,8
1574560829,8
1574560832,8
1574560836,8
1574560839,8
1574560842,8
1574560845,8
1574560848,8
1574560851,8
1574560854,8
1574560857,8
1574560860,8
1574560863,8
1574560866,8
1574560869,8
1574560945,8
1574560947,8
1574560950,8
1574560953,8
1574560956,8
1574560959,8
1574560962,8
1574560965,8
1574560968,8
1574560971,8
1574560974,8
1574560977,8
1574560980,8
1574561571,8
1574561574,8
1574561577,8
1574561580,8
1574561583,8
1574561586,8
1574561589,8
1574561592,8
1574561595,8
1574561598,8
1574561601,8
1574561604,8
1574561682,8
1574561684,8
1574561687,8
1574561690,8
1574561693,8
1574561696,8
1574561699,8
1574561702,8
1574561705,8
1574561708,8
1574561711,8
1574561714,8
1574561717,8
1574561760,8
1574561762,8
1574561765,8
1574561768,8
1574561771,8
1574561774,8
1574561777,8
1574561780,8
1574561783,8
1574561786,8
1574561789,8
1574561792,8
1574561861,8
1574561864,8
1574561867,8
1574561870,8
1574561873,8
1574561876,8
1574561879,8
1574561882,8
1574561885,8
1574561888,8
1574561891,8
1574561894,8
1574561897,8
1574562129,8
1574562132,8
1574562135,8
1574562138,8
1574562141,8
1574562144,8
1574562147,8
1574562150,8
1574562153,8
1574562156,8
1574562159,8
1574562162,8
1574562165,8
1574562168,8
1574562171,8
1574562174,8
1574562177,8
1574562180,8
1574562183,8
1574562186,8
1574562189,8
1574562192,8
1574562195,8
1574562198,8
1574562201,8
1574562204,8
1574562207,8
1574562210,8
1574562213,8
1574562216,8
1574562219,8
1574562222,8
1574562225,8
1574562228,8
1574562231,8
1574562234,8
1574562237,8
1574562240,8
1574562243,8
1574562246,8
1574562249,8
1574562252,8
1574562255,8
1574562258,8
1574562261,8
1574562264,8
1574562267,8
1574562270,8
1574562273,8
1574562276,8
1574562279,8
1574562282,8
1574562285,8
1574562288,8
1574562291,8
1574562294,8
1574562297,8
1574562300,8
1574562303,8
1574562306,8
1574562309,8
1574562312,8
1574562315,8
1574562318,8
1574562321,8
1574562324,8
1574562327,8
1574562330,8
1574562333,8
1574562336,8
1574562339,8
1574562342,8
1574562345,8
1574562348,8
1574562351,8
1574562354,8
1574562357,8
1574562360,8
1574562363,8
1574562366,8
1574562369,8
1574562372,8
1574562375,8
1574562378,8
1574562381,8
1574562384,8
1574562387,8
1574562390,8
1574562393,8
1574562396,8
1574562399,8
1574562402,8
1574562405,8
1574562408,8
1574562411,8
1574562414,8
1574562417,8
1574562420,8
1574562423,8
1574562426,8
1574562429,8
1574562432,8
1574562435,8
1574562438,8
1574562441,8
1574562444,8
1574562447,8
1574562450,8
1574562453,8
1574562456,8
1574562459,8
1574562462,8
1574562465,8
1574562468,8
1574562471,8
1574562474,8
1574562477,8
1574562480,8
1574562483,8
1574562486,8
1574562489,8
1574562492,8
1574562495,8
1574562498,8
1574562501,8
1574562504,8
1574562507,8
1574562510,8
1574562513,8
1574562516,8
1574562519,8
1574562522,8
1574562525,8
1574562528,8
1574562531,8
1574562534,8
1574562537,8
1574562540,8
1574562543,8
1574562546,8
1574562549,8
1574562552,8
1574562555,8
1574562558,8
1574562561,8
1574562564,8
1574562567,8
1574562570,8
1574562573,8
1574562576,8
1574562579,8
1574562582,8
1574562585,8
1574562588,8
1574562591,8
1574562594,8
1574562597,8
1574562600,8
1574562603,8
1574562606,8
1574562609,8
1574562612,8
1574562615,8
1574562618,8
1574562621,8
1574562624,8
1574562627,8
1574562630,8
1574562633,8
1574562636,8
1574562639,8
1574562642,8
1574562645,8
1574562648,8
1574562651,8
1574562654,8
1574562657,8
1574562660,8
1574562663,8
1574562666,8
1574562669,8
1574562672,8
1574562675,8
1574562678,8
1574562681,8
1574562684,8
1574562687,8
1574562690,8
1574562693,8
1574562696,8
1574562699,8
1574562702,8
1574562705,8
1574562708,8
1574562711,8
1574562714,8
1574562717,8
1574562720,8
1574562723,8
1574562726,8
1574562729,8
1574562732,8
1574562735,8
1574562738,8
1574562741,8
1574562744,8
1574562747,8
1574562750,8
1574562753,8
1574562756,8
1574562759,8
1574562762,8
1574562765,8
1574562768,8
1574562771,8
1574562774,8
1574562777,8
1574562780,8
1574562783,8
1574562786,8
1574562789,8
1574562792,8
1574562795,8
1574562798,8
1574562801,8
1574562804,8
1574562807,8
1574562810,8
1574562813,8
1574562816,8
1574562819,8
1574562822,8
1574562825,8
1574562828,8
1574562831,8
1574562834,8
1574562837,8
1574562840,8
1574562843,8
1574562846,8
1574562849,8
1574562852,8
1574562855,8
1574562858,8
1574562861,8
1574562864,8
1574562867,8
1574562870,8
1574562873,8
1574562876,8
1574562879,8
1574562882,8
1574562885,8
1574562888,8
1574562891,8
1574562894,8
1574562897,8
1574562900,8
1574562903,8
1574562906,8
1574562909,8
1574562912,8
1574562915,8
1574562918,8
1574562921,8
1574562924,8
1574562927,8
1574562930,8
1574562933,8
1574562936,8
1574562939,8
1574562942,8
1574562945,8
1574562948,8
1574562951,8
1574562954,8
1574562957,8
1574562960,8
1574562963,8
1574562966,8
1574562969,8
1574562972,8
1574562975,8
1574562978,8
1574562981,8
1574562984,8
1574562987,8
1574562990,8
1574562993,8
1574562996,8
1574562999,8
1574563002,8
1574563005,8
1574563008,8
1574563011,8
1574563014,8
1574563017,8
1574563020,8
1574563023,8
1574563026,8
1574563029,8
1574563032,8
1574563035,8
1574563038,8
1574563041,8
1574563044,8
1574563047,8
1574563050,8
1574563053,8
1574563056,8
1574563059,8
1574563062,8
1574563065,8
1574563068,8
1574563071,8
1574563074,8
1574563077,8
1574563080,8
1574563083,8
1574563086,8
1574563089,8
1574563092,8
1574563095,8
1574563098,8
1574563101,8
1574563104,8
1574563107,8
1574563110,8
1574563113,8
1574563116,8
1574563119,8
1574563122,8
1574563125,8
1574563128,8
1574563131,8
1574563134,8
1574563137,8
1574563140,8
1574563143,8
1574563146,8
1574563149,8
1574563152,8
1574563155,8
1574563158,8
1574563161,8
1574563164,8
1574563167,8
1574563170,8
1574563173,8
1574563176,8
1574563179,8
1574563182,8
1574563185,8
1574563188,8
1574563191,8
1574563194,8
1574563197,8
1574563200,8
1574563203,8
1574563206,8
1574563209,8
1574563212,8
1574563215,8
1574563218,8
1574563221,8
1574563224,8
1574563227,8
1574563230,8
1574563233,8
1574563236,8
1574563239,8
1574563242,8
1574563245,8
1574563248,8
1574563251,8
1574563254,8
1574563257,8
1574563260,8
1574563263,8
1574563266,8
1574563269,8
1574563272,8
1574563275,8
1574563278,8
1574563281,8
1574563284,8
1574563287,8
1574563290,8
1574563293,8
1574563296,8
1574563299,8
1574563302,8
1574563305,8
1574563308,8
1574563311,8
1574563314,8
1574563317,8
1574563320,8
1574563323,8
1574563326,8
1574563329,8
1574563332,8
1574563335,8
1574563338,8
1574563341,8
1574563344,8
1574563347,8
1574563350,8
1574563353,8
1574563356,8
1574563359,8
1574563362,8
1574563365,8
1574563368,8
1574563371,8
1574563374,8
1574563377,8
1574563380,8
1574563383,8
1574563386,8
1574563389,8
1574563392,8
1574563395,8
1574563398,8
1574563401,8
1574563404,8
1574563407,8
1574563410,8
1574563413,8
1574563416,8
1574563419,8
1574563422,8
1574563425,8
1574563428,8
1574563431,8
1574563434,8
1574563437,8
1574563440,8
1574563443,8
1574563446,8
1574563449,8
1574563452,8
1574563455,8
1574563458,8
1574563461,8
1574563464,8
1574563467,8
1574563470,8
1574563473,8
1574563476,8
1574563479,8
1574563482,8
1574563485,8
1574563488,8
1574563491,8
1574563494,8
1574563497,8
1574563500,8
1574563503,8
1574563506,8
1574563509,8
1574563512,8
1574563515,8
1574563518,8
1574563521,8
1574563524,8
1574563527,8
1574563530,8
1574563533,8
1574563536,8
1574563539,8
1574563542,8
1574563545,8
1574563548,8
1574563551,8
1574563554,8
1574563557,8
1574563560,8
1574563563,8
1574563566,8
1574563569,8
1574563572,8
1574563575,8
1574563578,8
1574563581,8
1574563584,8
1574563587,8
1574563590,8
1574563593,8
1574563596,8
1574563599,8
1574563602,8
1574563605,8
1574563608,8
1574563611,8
1574563614,8
1574563617,8
1574563620,8
1574563623,8
1574563626,8
1574563629,8
1574563632,8
1574563635,8
1574563638,8
1574566873,8
1574566875,8
1574566878,8
1574566881,8
1574566884,8
1574566887,8
1574566890,8
1574566893,8
1574566896,8
1574566899,8
1574566902,8
1574566905,8
1574566908,8
1574569113,8
1574569116,8
1574569119,8
1574569122,8
1574569125,8
1574569128,8
1574569131,8
1574569134,8
1574569137,8
1574569140,8
1574569143,8
1574569146,8
1574569149,8
1574570352,8
1574570355,8
1574570358,8
1574570361,8
1574570364,8
1574570367,8
1574570370,8
1574570373,8
1574570376,8
1574570379,8
1574570382,8
1574570385,8
1574571348,8
1574571351,8
1574571354,8
1574571357,8
1574571360,8
1574571363,8
1574571366,8
1574571369,8
1574571372,8
1574571375,8
1574571378,8
1574571381,8
1574571384,8
1574571387,8
1574571390,8
1574571393,8
1574571396,8
1574571399,8
1574571402,8
1574571405,8
1574571408,8
1574571411,8
1574571414,8
1574571417,8
1574571420,8
1574571423,8
1574571426,8
1574571429,8
1574571432,8
1574571435,8
1574571438,8
1574571441,8
1574571444,8
1574571447,8
1574571450,8
1574571453,8
1574571456,8
1574571459,8
1574571462,8
1574571465,8
1574571468,8
1574571471,8
1574571474,8
1574571477,8
1574571480,8
1574571483,8
1574571486,8
1574571489,8
1574571492,8
1574571495,8
1574571498,8
1574571501,8
1574571504,8
1574571507,8
1574571510,8
1574571513,8
1574571516,8
1574571519,8
1574571522,8
1574571525,8
1574571528,8
1574571531,8
1574571534,8
1574571537,8
1574571540,8
1574571543,8
1574571546,8
1574571549,8
1574571552,8
1574571555,8
1574571558,8
1574571561,8
1574571564,8
1574571567,8
1574571570,8
1574571573,8
1574571576,8
1574571579,8
1574571582,8
1574571585,8
1574571588,8
1574571591,8
1574571594,8
1574571597,8
1574571600,8
1574571603,8
1574571606,8
1574571609,8
1574571612,8
1574571615,8
1574571618,8
1574571621,8
1574571624,8
1574571627,8
1574571630,8
1574571633,8
1574571636,8
1574571639,8
1574571642,8
1574571645,8
1574571648,8
1574571651,8
1574571654,8
1574571657,8
1574571660,8
1574571663,8
1574571666,8
1574571669,8
1574571672,8
1574571675,8
1574571678,8
1574571681,8
1574571684,8
1574571687,8
1574571690,8
1574571693,8
1574571696,8
1574571699,8
1574571702,8
1574571705,8
1574571708,8
1574571711,8
1574571714,8
1574571717,8
1574571720,8
1574571723,8
1574571726,8
1574571729,8
1574571732,8
1574571735,8
1574571738,8
1574571741,8
1574571744,8
1574571747,8
1574571750,8
1574571753,8
1574571756,8
1574571759,8
1574571762,8
1574571765,8
1574571768,8
1574571771,8
1574571774,8
1574571777,8
1574571780,8
1574571783,8
1574571786,8
1574571789,8
1574571792,8
1574571795,8
1574571798,8
1574571801,8
1574571804,8
1574571807,8
1574571810,8
1574571813,8
1574571816,8
1574571819,8
1574571822,8
1574571825,8
1574571828,8
1574571831,8
1574571834,8
1574571837,8
1574571840,8
1574571843,8
1574571846,8
1574571849,8
1574571852,8
1574571855,8
1574571858,8
1574571861,8
1574571864,8
1574571867,8
1574571870,8
1574571873,8
1574571876,8
1574571879,8
1574571882,8
1574571885,8
1574571888,8
1574571891,8
1574571894,8
1574571897,8
1574571900,8
1574571903,8
1574571906,8
1574571909,8
1574571912,8
1574571915,8
1574571918,8
1574571921,8
1574571924,8
1574571927,8
1574571930,8
1574571933,8
1574571936,8
1574571939,8
1574571942,8
1574571945,8
1574571948,8
1574571951,8
1574571954,8
1574571957,8
1574571960,8
1574571963,8
1574571966,8
1574571969,8
1574571972,8
1574571975,8
1574571978,8
1574571981,8
1574571984,8
1574571987,8
1574571990,8
1574571993,8
1574571996,8
1574571999,8
1574572002,8
1574572005,8
1574572008,8
1574572011,8
1574572014,8
1574572017,8
1574572020,8
1574572023,8
1574572026,8
1574572029,8
1574572032,8
1574572035,8
1574572038,8
1574572041,8
1574572044,8
1574572047,8
1574572050,8
1574572053,8
1574572056,8
1574572059,8
1574572062,8
1574572065,8
1574572068,8
1574572071,8
1574572074,8
1574572077,8
1574572080,8
1574572083,8
1574572086,8
1574572089,8
1574572092,8
1574572095,8
1574572098,8
1574572101,8
1574572104,8
1574572107,8
1574572110,8
1574572113,8
1574572116,8
1574572119,8
1574572122,8
1574572125,8
1574572128,8
1574572131,8
1574572134,8
1574572137,8
1574572140,8
1574572143,8
1574572146,8
1574572149,8
1574572152,8
1574572155,8
1574572158,8
1574572161,8
1574572164,8
1574572167,8
1574572170,8
1574572173,8
1574572176,8
1574572179,8
1574572182,8
1574572185,8
1574572188,8
1574572191,8
1574572194,8
1574572197,8
1574572200,8
1574572203,8
1574572206,8
1574572209,8
1574572212,8
1574572215,8
1574572218,8
1574572221,8
1574572224,8
1574572227,8
1574572230,8
1574572233,8
1574572236,8
1574572239,8
1574572242,8
1574572245,8
1574572248,8
1574572251,8
1574572254,8
1574572257,8
1574572260,8
1574572263,8
1574572266,8
1574572269,8
1574572272,8
1574572275,8
1574572278,8
1574572281,8
1574572284,8
1574572287,8
1574572290,8
1574572293,8
1574572296,8
1574572299,8
1574572302,8
1574572305,8
1574572308,8
1574572311,8
1574572314,8
1574572317,8
1574572320,8
1574572323,8
1574572326,8
1574572329,8
1574572332,8
1574572335,8
1574572338,8
1574572341,8
1574572344,8
1574572347,8
1574572350,8
1574572353,8
1574572356,8
1574572359,8
1574572362,8
1574572365,8
1574572368,8
1574572371,8
1574572374,8
1574572377,8
1574572380,8
1574572383,8
1574572386,8
1574572389,8
1574572392,8
1574572395,8
1574572398,8
1574572401,8
1574572404,8
1574572407,8
1574572410,8
1574572413,8
1574572416,8
1574572419,8
1574572422,8
1574572425,8
1574572428,8
1574572431,8
1574572434,8
1574572437,8
1574572440,8
1574572443,8
1574572446,8
1574572449,8
1574572452,8
1574572455,8
1574572458,8
1574572461,8
1574572464,8
1574572467,8
1574572470,8
1574572473,8
1574572476,8
1574572479,8
1574572482,8
1574572485,8
1574572488,8
1574572491,8
1574572494,8
1574572497,8
1574572500,8
1574572503,8
1574572506,8
1574572509,8
1574572512,8
1574572515,8
1574572518,8
1574572521,8
1574572524,8
1574572527,8
1574572530,8
1574572533,8
1574572536,8
1574572539,8
1574572542,8
1574572545,8
1574572548,8
1574572551,8
1574572554,8
1574572557,8
1574572560,8
1574572563,8
1574572566,8
1574572569,8
1574572572,8
1574572575,8
1574572578,8
