t,value
1574560017,-1
1574560020,8
1574560023,4
1574560026,4
1574560029,4
1574560032,4
1574560035,4
1574560038,4
1574560041,4
1574560044,4
1574560047,4
1574560050,4
1574560053,4
1574560056,4
1574560059,4
1574560062,4
1574560065,4
1574560068,4
1574560071,4
1574560074,4
1574560077,4
1574560080,4
1574560083,4
1574560086,4
1574560089,4
1574560092,4
1574560095,4
1574560098,4
1574560101,4
1574560104,4
1574560107,4
1574560110,4
1574560113,4
1574560116,4
1574560119,4
1574560122,4
1574560125,4
1574560128,4
1574560131,4
1574560134,4
1574560137,4
1574560140,4
1574560143,3
1574560146,3
1574560149,3
1574560152,3
1574560155,3
1574560158,3
1574560161,3
1574560164,3
1574560167,3
1574560170,3
1574560173,3
1574560176,3
1574560179,3
1574560182,3
1574560185,3
1574560188,3
1574560191,3
1574560194,3
1574560197,3
1574560200,3
1574560203,2
1574560206,2
1574560209,2
1574560212,2
1574560215,2
1574560218,2
1574560221,2
1574560224,2
1574560227,2
1574560230,2
1574560233,2
1574560236,2
1574560239,2
1574560242,2
1574560245,2
1574560248,2
1574560251,2
1574560254,2
1574560257,2
1574560260,2
1574560263,2
1574560266,2
1574560269,2
1574560272,2
1574560275,2
1574560278,2
1574560281,2
1574560284,2
1574560287,2
1574560290,2
1574560293,2
1574560296,2
1574560299,2
1574560302,2
1574560305,2
1574560308,2
1574560311,2
1574560314,2
1574560317,2
1574560320,2
1574560323,2
1574560326,2
1574560329,2
1574560332,2
1574560335,2
1574560338,2
1574560341,2
1574560344,2
1574560347,2
1574560350,2
1574560353,2
1574560356,2
1574560359,2
1574560362,2
1574560365,2
1574560368,2
1574560371,2
1574560374,2
1574560377,2
1574560380,2
1574560383,2
1574560386,2
1574560389,2
1574560392,2
1574560395,2
1574560398,2
1574560401,2
1574560404,2
1574560407,2
1574560410,2
1574560413,2
1574560416,2
1574560419,2
1574560422,2
1574560425,2
1574560428,2
1574560431,2
1574560434,2
1574560437,2
1574560440,2
1574560443,2
1574560446,2
1574560449,2
1574560452,2
1574560455,2
1574560458,2
1574560461,2
1574560464,2
1574560467,2
1574560470,2
1574560473,2
1574560476,2
1574560479,2
1574560482,2
1574560485,2
1574560488,2
1574560491,2
1574560494,2
1574560497,2
1574560500,2
1574560503,2
1574560506,2
1574560509,2
1574560512,2
1574560515,2
1574560518,2
1574560521,2
1574560524,2
1574560527,2
1574560530,2
1574560533,2
1574560536,2
1574560539,2
1574560542,2
1574560545,2
1574560548,2
1574560551,2
1574560554,2
1574560557,2
1574560560,2
1574560563,2
1574560566,2
1574560569,2
1574560572,2
1574560575,2
1574560578,2
1574560581,2
1574560584,2
1574560587,2
1574560590,2
1574560593,2
1574560596,2
1574560599,2
1574560602,2
1574560605,2
1574560608,2
1574560611,2
1574560614,2
1574560617,2
1574560620,2
1574560623,2
1574560626,2
1574560629,2
1574560632,2
1574560635,2
1574560638,2
1574560641,2
1574560644,2
1574560647,2
1574560650,2
1574560653,2
1574560656,2
1574560659,2
1574560662,2
1574560665,2
1574560668,2
1574560671,2
1574560674,2
1574560677,2
1574560680,2
1574560683,2
1574560686,2
1574560689,2
1574560692,2
1574560695,2
1574560698,2
1574560701,2
1574560704,2
1574560707,2
1574560710,2
1574560713,2
1574560716,2
1574560719,2
1574560722,2
1574560725,2
1574560728,2
1574560731,2
1574560734,2
1574560737,2
1574560740,2
1574560743,2
1574560746,2
1574560749,2
1574560752,2
1574560755,2
1574560758,2
1574560761,2
1574560764,2
1574560767,2
1574560770,2
1574560773,2
1574560776,2
1574560779,2
1574560782,2
1574560785,2
1574560796,2
1574560799,2
1574560802,2
1574560805,2
1574560808,2
1574560811,2
1574560814,2
1574560817,2
1574560820,2
1574560823,2
1574560826,2
1574560829,2
1574560832,2
1574560836,2
1574560839,2
1574560842,2
1574560845,2
1574560848,2
1574560851,2
1574560854,2
1574560857,2
1574560860,2
1574560863,2
1574560866,2
1574560869,2
1574560945,2
1574560947,2
1574560950,2
1574560953,2
1574560956,2
1574560959,2
1574560962,2
1574560965,2
1574560968,2
1574560971,2
1574560974,2
1574560977,2
1574560980,2
1574561571,2
1574561574,2
1574561577,2
1574561580,2
1574561583,2
1574561586,2
1574561589,2
1574561592,2
1574561595,2
1574561598,2
1574561601,2
1574561604,2
1574561682,2
1574561684,2
1574561687,2
1574561690,2
1574561693,2
1574561696,2
1574561699,2
1574561702,2
1574561705,2
1574561708,2
1574561711,2
1574561714,2
1574561717,2
1574561760,2
1574561762,2
1574561765,2
1574561768,2
1574561771,2
1574561774,2
1574561777,2
1574561780,2
1574561783,2
1574561786,2
1574561789,2
1574561792,2
1574561861,2
1574561864,2
1574561867,2
1574561870,2
1574561873,2
1574561876,2
1574561879,2
1574561882,2
1574561885,2
1574561888,2
1574561891,2
1574561894,2
1574561897,2
1574562129,2
1574562132,2
1574562135,2
1574562138,2
1574562141,2
1574562144,2
1574562147,2
1574562150,2
1574562153,2
1574562156,2
1574562159,2
1574562162,2
1574562165,2
1574562168,2
1574562171,2
1574562174,2
1574562177,2
1574562180,2
1574562183,2
1574562186,2
1574562189,2
1574562192,2
1574562195,2
1574562198,2
1574562201,2
1574562204,2
1574562207,2
1574562210,2
1574562213,2
1574562216,2
1574562219,2
1574562222,2
1574562225,2
1574562228,2
1574562231,2
1574562234,2
1574562237,2
1574562240,2
1574562243,2
1574562246,2
1574562249,2
1574562252,2
1574562255,2
1574562258,2
1574562261,2
1574562264,2
1574562267,2
1574562270,2
1574562273,2
1574562276,2
1574562279,2
1574562282,2
1574562285,2
1574562288,2
1574562291,2
1574562294,2
1574562297,2
1574562300,2
1574562303,2
1574562306,2
1574562309,2
1574562312,2
1574562315,2
1574562318,2
1574562321,2
1574562324,2
1574562327,2
1574562330,2
1574562333,2
1574562336,2
1574562339,2
1574562342,2
1574562345,2
1574562348,2
1574562351,2
1574562354,2
1574562357,2
1574562360,2
1574562363,2
1574562366,2
1574562369,2
1574562372,2
1574562375,2
1574562378,2
1574562381,2
1574562384,2
1574562387,2
1574562390,2
1574562393,2
1574562396,2
1574562399,2
1574562402,2
1574562405,2
1574562408,2
1574562411,2
1574562414,2
1574562417,2
1574562420,2
1574562423,2
1574562426,2
1574562429,2
1574562432,2
1574562435,2
1574562438,2
1574562441,2
1574562444,2
1574562447,2
1574562450,2
1574562453,2
1574562456,2
1574562459,2
1574562462,2
1574562465,2
1574562468,2
1574562471,2
1574562474,2
1574562477,2
1574562480,2
1574562483,2
1574562486,2
1574562489,2
1574562492,2
1574562495,2
1574562498,2
1574562501,2
1574562504,2
1574562507,2
1574562510,2
1574562513,2
1574562516,2
1574562519,2
1574562522,2
1574562525,2
1574562528,2
1574562531,2
1574562534,2
1574562537,2
1574562540,2
1574562543,2
1574562546,2
1574562549,2
1574562552,2
1574562555,2
1574562558,2
1574562561,2
1574562564,2
1574562567,2
1574562570,2
1574562573,2
1574562576,2
1574562579,2
1574562582,2
1574562585,2
1574562588,2
1574562591,2
1574562594,2
1574562597,2
1574562600,2
1574562603,2
1574562606,2
1574562609,2
1574562612,2
1574562615,2
1574562618,2
1574562621,2
1574562624,2
1574562627,2
1574562630,2
1574562633,2
1574562636,2
1574562639,2
1574562642,2
1574562645,2
1574562648,2
1574562651,2
1574562654,2
1574562657,2
1574562660,2
1574562663,2
1574562666,2
1574562669,2
1574562672,2
1574562675,2
1574562678,2
1574562681,2
1574562684,2
1574562687,2
1574562690,2
1574562693,2
1574562696,2
1574562699,2
1574562702,2
1574562705,2
1574562708,2
1574562711,2
1574562714,2
1574562717,2
1574562720,2
1574562723,2
1574562726,2
1574562729,2
1574562732,2
1574562735,2
1574562738,2
1574562741,2
1574562744,2
1574562747,2
1574562750,2
1574562753,2
1574562756,2
1574562759,2
1574562762,2
1574562765,2
1574562768,2
1574562771,2
1574562774,2
1574562777,2
1574562780,2
1574562783,2
1574562786,2
1574562789,2
1574562792,2
1574562795,2
1574562798,2
1574562801,2
1574562804,2
1574562807,2
1574562810,2
1574562813,2
1574562816,2
1574562819,2
1574562822,2
1574562825,2
1574562828,2
1574562831,2
1574562834,2
1574562837,2
1574562840,2
1574562843,2
1574562846,2
1574562849,2
1574562852,2
1574562855,2
1574562858,2
1574562861,2
1574562864,2
1574562867,2
1574562870,2
1574562873,2
1574562876,2
1574562879,2
1574562882,2
1574562885,2
1574562888,2
1574562891,2
1574562894,2
1574562897,2
1574562900,2
1574562903,2
1574562906,2
1574562909,2
1574562912,2
1574562915,2
1574562918,2
1574562921,2
1574562924,2
1574562927,2
1574562930,2
1574562933,2
1574562936,2
1574562939,2
1574562942,2
1574562945,2
1574562948,2
1574562951,2
1574562954,2
1574562957,2
1574562960,2
1574562963,2
1574562966,2
1574562969,2
1574562972,2
1574562975,2
1574562978,2
1574562981,2
1574562984,2
1574562987,2
1574562990,2
1574562993,2
1574562996,2
1574562999,2
1574563002,2
1574563005,2
1574563008,2
1574563011,2
1574563014,2
1574563017,2
1574563020,2
1574563023,2
1574563026,2
1574563029,2
1574563032,2
1574563035,2
1574563038,2
1574563041,2
1574563044,2
1574563047,2
1574563050,2
1574563053,2
1574563056,2
1574563059,2
1574563062,2
1574563065,2
1574563068,2
1574563071,2
1574563074,2
1574563077,2
1574563080,2
1574563083,2
1574563086,2
1574563089,2
1574563092,2
1574563095,2
1574563098,2
1574563101,2
1574563104,2
1574563107,2
1574563110,2
1574563113,2
1574563116,2
1574563119,2
1574563122,2
1574563125,2
1574563128,2
1574563131,2
1574563134,2
1574563137,2
1574563140,2
1574563143,2
1574563146,2
1574563149,2
1574563152,2
1574563155,2
1574563158,2
1574563161,2
1574563164,2
1574563167,2
1574563170,2
1574563173,2
1574563176,2
1574563179,2
1574563182,2
1574563185,2
1574563188,2
1574563191,2
1574563194,2
1574563197,2
1574563200,2
1574563203,2
1574563206,2
1574563209,2
1574563212,2
1574563215,2
1574563218,2
1574563221,2
1574563224,2
1574563227,2
1574563230,2
1574563233,2
1574563236,2
1574563239,2
1574563242,2
1574563245,2
1574563248,2
1574563251,2
1574563254,2
1574563257,2
1574563260,2
1574563263,2
1574563266,2
1574563269,2
1574563272,2
1574563275,2
1574563278,2
1574563281,2
1574563284,2
1574563287,2
1574563290,2
1574563293,2
1574563296,2
1574563299,2
1574563302,2
1574563305,2
1574563308,2
1574563311,2
1574563314,2
1574563317,2
1574563320,2
1574563323,2
1574563326,2
1574563329,2
1574563332,2
1574563335,2
1574563338,2
1574563341,2
1574563344,2
1574563347,2
1574563350,2
1574563353,2
1574563356,2
1574563359,2
1574563362,2
1574563365,2
1574563368,2
1574563371,2
1574563374,2
1574563377,2
1574563380,2
1574563383,2
1574563386,2
1574563389,2
1574563392,2
1574563395,2
1574563398,2
1574563401,2
1574563404,2
1574563407,2
1574563410,2
1574563413,2
1574563416,2
1574563419,2
1574563422,2
1574563425,2
1574563428,2
1574563431,2
1574563434,2
1574563437,2
1574563440,2
1574563443,2
1574563446,2
1574563449,2
1574563452,2
1574563455,2
1574563458,2
1574563461,2
1574563464,2
1574563467,2
1574563470,2
1574563473,2
1574563476,2
1574563479,2
1574563482,2
1574563485,2
1574563488,2
1574563491,2
1574563494,2
1574563497,2
1574563500,2
1574563503,2
1574563506,2
1574563509,2
1574563512,2
1574563515,2
1574563518,2
1574563521,2
1574563524,2
1574563527,2
1574563530,2
1574563533,2
1574563536,2
1574563539,2
1574563542,2
1574563545,2
1574563548,2
1574563551,2
1574563554,2
1574563557,2
1574563560,2
1574563563,2
1574563566,2
1574563569,2
1574563572,2
1574563575,2
1574563578,2
1574563581,2
1574563584,2
1574563587,2
1574563590,2
1574563593,2
1574563596,2
1574563599,2
1574563602,2
1574563605,2
1574563608,2
1574563611,2
1574563614,2
1574563617,2
1574563620,2
1574563623,2
1574563626,2
1574563629,2
1574563632,2
1574563635,2
1574563638,2
1574566873,2
1574566875,2
1574566878,2
1574566881,2
1574566884,2
1574566887,2
1574566890,2
1574566893,2
1574566896,2
1574566899,2
1574566902,2
1574566905,2
1574566908,2
1574569113,2
1574569116,2
1574569119,2
1574569122,2
1574569125,2
1574569128,2
1574569131,2
1574569134,2
1574569137,2
1574569140,2
1574569143,2
1574569146,2
1574569149,2
1574570352,2
1574570355,2
1574570358,2
1574570361,2
1574570364,2
1574570367,2
1574570370,2
1574570373,2
1574570376,2
1574570379,2
1574570382,2
1574570385,2
1574571348,2
1574571351,2
1574571354,2
1574571357,2
1574571360,2
1574571363,2
1574571366,2
1574571369,2
1574571372,2
1574571375,2
1574571378,2
1574571381,2
1574571384,2
1574571387,2
1574571390,2
1574571393,2
1574571396,2
1574571399,2
1574571402,2
1574571405,2
1574571408,2
1574571411,2
1574571414,2
1574571417,2
1574571420,2
1574571423,2
1574571426,2
1574571429,2
1574571432,2
1574571435,2
1574571438,2
1574571441,2
1574571444,2
1574571447,2
1574571450,2
1574571453,2
1574571456,2
1574571459,2
1574571462,2
1574571465,2
1574571468,2
1574571471,2
1574571474,2
1574571477,2
1574571480,2
1574571483,2
1574571486,2
1574571489,2
1574571492,2
1574571495,2
1574571498,2
1574571501,2
1574571504,2
1574571507,2
1574571510,2
1574571513,2
1574571516,2
1574571519,2
1574571522,2
1574571525,2
1574571528,2
1574571531,2
1574571534,2
1574571537,2
1574571540,2
1574571543,2
1574571546,2
1574571549,2
1574571552,2
1574571555,2
1574571558,2
1574571561,2
1574571564,2
1574571567,2
1574571570,2
1574571573,2
1574571576,2
1574571579,2
1574571582,2
1574571585,2
1574571588,2
1574571591,2
1574571594,2
1574571597,2
1574571600,2
1574571603,2
1574571606,2
1574571609,2
1574571612,2
1574571615,2
1574571618,2
1574571621,2
1574571624,2
1574571627,2
1574571630,2
1574571633,2
1574571636,2
1574571639,2
1574571642,2
1574571645,2
1574571648,2
1574571651,2
1574571654,2
1574571657,2
1574571660,2
1574571663,2
1574571666,2
1574571669,2
1574571672,2
1574571675,2
1574571678,2
1574571681,2
1574571684,2
1574571687,2
1574571690,2
1574571693,2
1574571696,2
1574571699,2
1574571702,2
1574571705,2
1574571708,2
1574571711,2
1574571714,2
1574571717,2
1574571720,2
1574571723,2
1574571726,2
1574571729,2
1574571732,2
1574571735,2
1574571738,2
1574571741,2
1574571744,2
1574571747,2
1574571750,2
1574571753,2
1574571756,2
1574571759,2
1574571762,2
1574571765,2
1574571768,2
1574571771,2
1574571774,2
1574571777,2
1574571780,2
1574571783,2
1574571786,2
1574571789,2
1574571792,2
1574571795,2
1574571798,2
1574571801,2
1574571804,2
1574571807,2
1574571810,2
1574571813,2
1574571816,2
1574571819,2
1574571822,2
1574571825,2
1574571828,2
1574571831,2
1574571834,2
1574571837,2
1574571840,2
1574571843,2
1574571846,2
1574571849,2
1574571852,2
1574571855,2
1574571858,2
1574571861,2
1574571864,2
1574571867,2
1574571870,2
1574571873,2
1574571876,2
1574571879,2
1574571882,2
1574571885,2
1574571888,2
1574571891,2
1574571894,2
1574571897,2
1574571900,2
1574571903,2
1574571906,2
1574571909,2
1574571912,2
1574571915,2
1574571918,2
1574571921,2
1574571924,2
1574571927,2
1574571930,2
1574571933,2
1574571936,2
1574571939,2
1574571942,2
1574571945,2
1574571948,2
1574571951,2
1574571954,2
1574571957,2
1574571960,2
1574571963,2
1574571966,2
1574571969,2
1574571972,2
1574571975,2
1574571978,2
1574571981,2
1574571984,2
1574571987,2
1574571990,2
1574571993,2
1574571996,2
1574571999,2
1574572002,2
1574572005,2
1574572008,2
1574572011,2
1574572014,2
1574572017,2
1574572020,2
1574572023,2
1574572026,2
1574572029,2
1574572032,2
1574572035,2
1574572038,2
1574572041,2
1574572044,2
1574572047,2
1574572050,2
1574572053,2
1574572056,2
1574572059,2
1574572062,2
1574572065,2
1574572068,2
1574572071,2
1574572074,2
1574572077,2
1574572080,2
1574572083,2
1574572086,2
1574572089,2
1574572092,2
1574572095,2
1574572098,2
1574572101,2
1574572104,2
1574572107,2
1574572110,2
1574572113,2
1574572116,2
1574572119,2
1574572122,2
1574572125,2
1574572128,2
1574572131,2
1574572134,2
1574572137,2
1574572140,2
1574572143,2
1574572146,2
1574572149,2
1574572152,2
1574572155,2
1574572158,2
1574572161,2
1574572164,2
1574572167,2
1574572170,2
1574572173,2
1574572176,2
1574572179,2
1574572182,2
1574572185,2
1574572188,2
1574572191,2
1574572194,2
1574572197,2
1574572200,2
1574572203,2
1574572206,2
1574572209,2
1574572212,2
1574572215,2
1574572218,2
1574572221,2
1574572224,2
1574572227,2
1574572230,2
1574572233,2
1574572236,2
1574572239,2
1574572242,2
1574572245,2
1574572248,2
1574572251,2
1574572254,2
1574572257,2
1574572260,2
1574572263,2
1574572266,2
1574572269,2
1574572272,2
1574572275,2
1574572278,2
1574572281,2
1574572284,2
1574572287,2
1574572290,2
1574572293,2
1574572296,2
1574572299,2
1574572302,2
1574572305,2
1574572308,2
1574572311,2
1574572314,2
1574572317,2
1574572320,2
1574572323,2
1574572326,2
1574572329,2
1574572332,2
1574572335,2
1574572338,2
1574572341,2
1574572344,2
1574572347,2
1574572350,2
1574572353,2
1574572356,2
1574572359,2
1574572362,2
1574572365,2
1574572368,2
1574572371,2
1574572374,2
1574572377,2
1574572380,2
1574572383,2
1574572386,2
1574572389,2
1574572392,2
1574572395,2
1574572398,2
1574572401,2
1574572404,2
1574572407,2
1574572410,2
1574572413,2
1574572416,2
1574572419,2
1574572422,2
1574572425,2
1574572428,2
1574572431,2
1574572434,2
1574572437,2
1574572440,2
1574572443,2
1574572446,2
1574572449,2
1574572452,2
1574572455,2
1574572458,2
1574572461,2
1574572464,2
1574572467,2
1574572470,2
1574572473,2
1574572476,2
1574572479,2
1574572482,2
1574572485,2
1574572488,2
1574572491,2
1574572494,2
1574572497,2
1574572500,2
1574572503,2
1574572506,2
1574572509,2
1574572512,2
1574572515,2
1574572518,2
1574572521,2
1574572524,2
1574572527,2
1574572530,2
1574572533,2
1574572536,2
1574572539,2
1574572542,2
1574572545,2
1574572548,2
1574572551,2
1574572554,2
1574572557,2
1574572560,2
1574572563,2
1574572566,2
1574572569,2
1574572572,2
1574572575,2
1574572578,2
