t,value
1574560017,1
1574560020,0
1574560023,0
1574560026,0
1574560029,0
1574560032,0
1574560035,0
1574560038,0
1574560041,0
1574560044,0
1574560047,2
1574560050,0
1574560053,0
1574560056,0
1574560059,0
1574560062,2
1574560065,0
1574560068,0
1574560071,0
1574560074,0
1574560077,0
1574560080,0
1574560083,0
1574560086,0
1574560089,0
1574560092,0
1574560095,0
1574560098,0
1574560101,1
1574560104,0
1574560107,0
1574560110,0
1574560113,0
1574560116,0
1574560119,0
1574560122,0
1574560125,0
1574560128,0
1574560131,0
1574560134,0
1574560137,0
1574560140,0
1574560143,0
1574560146,0
1574560149,0
1574560152,0
1574560155,0
1574560158,0
1574560161,0
1574560164,0
1574560167,0
1574560170,0
1574560173,0
1574560176,0
1574560179,0
1574560182,0
1574560185,0
1574560188,0
1574560191,0
1574560194,0
1574560197,0
1574560200,0
1574560203,0
1574560206,0
1574560209,0
1574560212,0
1574560215,0
1574560218,0
1574560221,0
1574560224,0
1574560227,0
1574560230,0
1574560233,0
1574560236,0
1574560239,0
1574560242,0
1574560245,0
1574560248,0
1574560251,0
1574560254,0
1574560257,0
1574560260,0
1574560263,0
1574560266,0
1574560269,0
1574560272,0
1574560275,0
1574560278,0
1574560281,0
1574560284,0
1574560287,0
1574560290,0
1574560293,0
1574560296,0
1574560299,0
1574560302,0
1574560305,0
1574560308,0
1574560311,0
1574560314,0
1574560317,0
1574560320,0
1574560323,0
1574560326,0
1574560329,0
1574560332,0
1574560335,0
1574560338,0
1574560341,0
1574560344,0
1574560347,0
1574560350,0
1574560353,0
1574560356,0
1574560359,0
1574560362,0
1574560365,0
1574560368,0
1574560371,0
1574560374,0
1574560377,0
1574560380,0
1574560383,0
1574560386,0
1574560389,0
1574560392,0
1574560395,0
1574560398,0
1574560401,0
1574560404,0
1574560407,0
1574560410,0
1574560413,0
1574560416,0
1574560419,0
1574560422,0
1574560425,0
1574560428,0
1574560431,0
1574560434,0
1574560437,0
1574560440,0
1574560443,0
1574560446,0
1574560449,0
1574560452,0
1574560455,0
1574560458,0
1574560461,0
1574560464,0
1574560467,0
1574560470,0
1574560473,0
1574560476,0
1574560479,0
1574560482,0
1574560485,0
1574560488,0
1574560491,0
1574560494,0
1574560497,0
1574560500,0
1574560503,0
1574560506,0
1574560509,0
1574560512,0
1574560515,0
1574560518,0
1574560521,0
1574560524,0
1574560527,0
1574560530,0
1574560533,0
1574560536,0
1574560539,0
1574560542,0
1574560545,0
1574560548,0
1574560551,0
1574560554,0
1574560557,0
1574560560,0
1574560563,0
1574560566,0
1574560569,0
1574560572,0
1574560575,0
1574560578,0
1574560581,0
1574560584,0
1574560587,0
1574560590,0
1574560593,0
1574560596,0
1574560599,0
1574560602,0
1574560605,0
1574560608,0
1574560611,0
1574560614,0
1574560617,0
1574560620,0
1574560623,0
1574560626,0
1574560629,0
1574560632,0
1574560635,0
1574560638,0
1574560641,0
1574560644,0
1574560647,0
1574560650,0
1574560653,0
1574560656,0
1574560659,0
1574560662,0
1574560665,0
1574560668,0
1574560671,0
1574560674,0
1574560677,0
1574560680,0
1574560683,0
1574560686,0
1574560689,0
1574560692,0
1574560695,0
1574560698,0
1574560701,0
1574560704,0
1574560707,0
1574560710,0
1574560713,0
1574560716,0
1574560719,0
1574560722,0
1574560725,0
1574560728,0
1574560731,0
1574560734,0
1574560737,0
1574560740,0
1574560743,0
1574560746,0
1574560749,0
1574560752,0
1574560755,0
1574560758,0
1574560761,0
1574560764,0
1574560767,0
1574560770,0
1574560773,0
1574560776,0
1574560779,0
1574560782,0
1574560785,0
1574560796,0
1574560799,0
1574560802,0
1574560805,0
1574560808,0
1574560811,0
1574560814,0
1574560817,0
1574560820,0
1574560823,0
1574560826,0
1574560829,0
1574560832,0
1574560836,0
1574560839,0
1574560842,0
1574560845,0
1574560848,0
1574560851,0
1574560854,0
1574560857,0
1574560860,0
1574560863,0
1574560866,0
1574560869,0
1574560945,0
1574560947,0
1574560950,0
1574560953,0
1574560956,0
1574560959,0
1574560962,0
1574560965,0
1574560968,0
1574560971,0
1574560974,0
1574560977,0
1574560980,0
1574561571,0
1574561574,0
1574561577,0
1574561580,0
1574561583,0
1574561586,0
1574561589,0
1574561592,0
1574561595,0
1574561598,0
1574561601,0
1574561604,0
1574561682,0
1574561684,0
1574561687,0
1574561690,0
1574561693,0
1574561696,0
1574561699,0
1574561702,0
1574561705,0
1574561708,0
1574561711,0
1574561714,0
1574561717,0
1574561760,0
1574561762,0
1574561765,0
1574561768,0
1574561771,0
1574561774,0
1574561777,0
1574561780,0
1574561783,0
1574561786,0
1574561789,0
1574561792,0
1574561861,0
1574561864,0
1574561867,0
1574561870,0
1574561873,0
