t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1574560017,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560020,1,0.166431,0.000000,0.000000,0.000000,events/second
1574560023,2,0.221675,0.000000,0.000000,0.000000,events/second
1574560026,2,0.166590,0.000000,0.000000,0.000000,events/second
1574560029,2,0.133334,0.000000,0.000000,0.000000,events/second
1574560032,2,0.111096,0.000000,0.000000,0.000000,events/second
1574560035,2,0.095225,0.000000,0.000000,0.000000,events/second
1574560038,2,0.083333,0.000000,0.000000,0.000000,events/second
1574560041,2,0.074080,0.000000,0.000000,0.000000,events/second
1574560044,2,0.066667,0.000000,0.000000,0.000000,events/second
1574560047,7,0.212128,0.000000,0.000000,0.000000,events/second
1574560050,10,0.277797,0.000000,0.000000,0.000000,events/second
1574560053,20,0.512783,0.000000,0.000000,0.000000,events/second
1574560056,29,0.690430,0.000000,0.000000,0.000000,events/second
1574560059,29,0.644461,0.000000,0.000000,0.000000,events/second
1574560062,34,0.708254,0.000000,0.000000,0.000000,events/second
1574560065,37,0.725458,0.000000,0.000000,0.000000,events/second
1574560068,42,0.777814,0.000000,0.000000,0.000000,events/second
1574560071,48,0.842073,0.000000,0.000000,0.000000,events/second
1574560074,58,0.966709,0.000000,0.000000,0.000000,events/second
1574560077,58,0.920610,0.000000,0.000000,0.000000,events/second
1574560080,72,1.090900,0.000000,0.000000,0.000000,events/second
1574560083,77,1.115935,0.000000,0.000000,0.000000,events/second
1574560086,85,1.180504,0.000000,0.000000,0.000000,events/second
1574560089,90,1.200020,0.000000,0.000000,0.000000,events/second
1574560092,95,1.217956,0.000000,0.000000,0.000000,events/second
1574560095,100,1.234530,0.000000,0.000000,0.000000,events/second
1574560098,105,1.249985,0.000000,0.000000,0.000000,events/second
1574560101,105,1.206948,0.000000,0.000000,0.000000,events/second
1574560104,113,1.255526,0.000000,0.000000,0.000000,events/second
1574560107,121,1.301065,0.000000,0.000000,0.000000,events/second
1574560110,131,1.364600,0.000000,0.000000,0.000000,events/second
1574560113,134,1.353510,0.000000,0.000000,0.000000,events/second
1574560116,140,1.372574,0.000000,0.000000,0.000000,events/second
1574560119,148,1.409509,0.000000,0.000000,0.000000,events/second
1574560122,148,1.370404,0.000000,0.000000,0.000000,events/second
1574560125,148,1.333328,0.000000,0.000000,0.000000,events/second
1574560128,151,1.324542,0.000000,0.000000,0.000000,events/second
1574560131,151,1.290576,0.000000,0.000000,0.000000,events/second
1574560134,151,1.258310,0.000000,0.000000,0.000000,events/second
1574560137,151,1.227622,0.000000,0.000000,0.000000,events/second
1574560140,151,1.198434,0.000000,0.000000,0.000000,events/second
1574560143,151,1.170512,0.000000,0.000000,0.000000,events/second
1574560146,153,1.159100,0.000000,0.000000,0.000000,events/second
1574560149,154,1.140705,0.000000,0.000000,0.000000,events/second
1574560152,154,1.115962,0.000000,0.000000,0.000000,events/second
1574560155,154,1.092180,0.000000,0.000000,0.000000,events/second
1574560158,154,1.069443,0.000000,0.000000,0.000000,events/second
1574560161,154,1.047643,0.000000,0.000000,0.000000,events/second
1574560164,154,1.026675,0.000000,0.000000,0.000000,events/second
1574560167,157,1.026148,0.000000,0.000000,0.000000,events/second
1574560170,157,1.006419,0.000000,0.000000,0.000000,events/second
1574560173,157,0.987446,0.000000,0.000000,0.000000,events/second
1574560176,157,0.969155,0.000000,0.000000,0.000000,events/second
1574560179,157,0.951503,0.000000,0.000000,0.000000,events/second
1574560182,157,0.934535,0.000000,0.000000,0.000000,events/second
1574560185,157,0.918118,0.000000,0.000000,0.000000,events/second
1574560188,160,0.919545,0.000000,0.000000,0.000000,events/second
1574560191,160,0.903969,0.000000,0.000000,0.000000,events/second
1574560194,160,0.888878,0.000000,0.000000,0.000000,events/second
1574560197,160,0.874307,0.000000,0.000000,0.000000,events/second
1574560200,160,0.860232,0.000000,0.000000,0.000000,events/second
1574560203,160,0.846536,0.000000,0.000000,0.000000,events/second
1574560206,162,0.843756,0.000000,0.000000,0.000000,events/second
1574560209,163,0.835897,0.000000,0.000000,0.000000,events/second
1574560212,163,0.823224,0.000000,0.000000,0.000000,events/second
1574560215,163,0.810938,0.000000,0.000000,0.000000,events/second
1574560218,163,0.799020,0.000000,0.000000,0.000000,events/second
1574560221,163,0.787443,0.000000,0.000000,0.000000,events/second
1574560224,163,0.776194,0.000000,0.000000,0.000000,events/second
1574560227,166,0.779300,0.000000,0.000000,0.000000,events/second
1574560230,166,0.768525,0.000000,0.000000,0.000000,events/second
1574560233,166,0.757983,0.000000,0.000000,0.000000,events/second
1574560236,166,0.747753,0.000000,0.000000,0.000000,events/second
1574560239,166,0.737786,0.000000,0.000000,0.000000,events/second
1574560242,166,0.728075,0.000000,0.000000,0.000000,events/second
1574560245,166,0.718618,0.000000,0.000000,0.000000,events/second
1574560248,169,0.722217,0.000000,0.000000,0.000000,events/second
1574560251,169,0.713074,0.000000,0.000000,0.000000,events/second
1574560254,169,0.704166,0.000000,0.000000,0.000000,events/second
1574560257,169,0.695471,0.000000,0.000000,0.000000,events/second
1574560260,169,0.686991,0.000000,0.000000,0.000000,events/second
1574560263,169,0.678714,0.000000,0.000000,0.000000,events/second
1574560266,171,0.678580,0.000000,0.000000,0.000000,events/second
1574560269,172,0.674515,0.000000,0.000000,0.000000,events/second
1574560272,172,0.666670,0.000000,0.000000,0.000000,events/second
1574560275,172,0.658999,0.000000,0.000000,0.000000,events/second
1574560278,172,0.651523,0.000000,0.000000,0.000000,events/second
1574560281,172,0.644206,0.000000,0.000000,0.000000,events/second
1574560284,172,0.637044,0.000000,0.000000,0.000000,events/second
1574560287,175,0.641027,0.000000,0.000000,0.000000,events/second
1574560290,175,0.634053,0.000000,0.000000,0.000000,events/second
1574560293,175,0.627247,0.000000,0.000000,0.000000,events/second
1574560296,175,0.620565,0.000000,0.000000,0.000000,events/second
1574560299,175,0.614030,0.000000,0.000000,0.000000,events/second
1574560302,175,0.607638,0.000000,0.000000,0.000000,events/second
1574560305,175,0.601372,0.000000,0.000000,0.000000,events/second
1574560308,178,0.605450,0.000000,0.000000,0.000000,events/second
1574560311,178,0.599327,0.000000,0.000000,0.000000,events/second
1574560314,178,0.593333,0.000000,0.000000,0.000000,events/second
1574560317,178,0.587465,0.000000,0.000000,0.000000,events/second
1574560320,178,0.581697,0.000000,0.000000,0.000000,events/second
1574560323,178,0.576050,0.000000,0.000000,0.000000,events/second
1574560326,180,0.576929,0.000000,0.000000,0.000000,events/second
1574560329,181,0.574609,0.000000,0.000000,0.000000,events/second
1574560332,181,0.569183,0.000000,0.000000,0.000000,events/second
1574560335,181,0.563868,0.000000,0.000000,0.000000,events/second
1574560338,181,0.558642,0.000000,0.000000,0.000000,events/second
1574560341,181,0.553519,0.000000,0.000000,0.000000,events/second
1574560344,181,0.548484,0.000000,0.000000,0.000000,events/second
1574560347,184,0.552557,0.000000,0.000000,0.000000,events/second
1574560350,184,0.547627,0.000000,0.000000,0.000000,events/second
1574560353,184,0.542769,0.000000,0.000000,0.000000,events/second
1574560356,184,0.538009,0.000000,0.000000,0.000000,events/second
1574560359,184,0.533336,0.000000,0.000000,0.000000,events/second
1574560362,184,0.528736,0.000000,0.000000,0.000000,events/second
1574560365,184,0.524214,0.000000,0.000000,0.000000,events/second
1574560368,187,0.528245,0.000000,0.000000,0.000000,events/second
1574560371,187,0.523807,0.000000,0.000000,0.000000,events/second
1574560374,187,0.519447,0.000000,0.000000,0.000000,events/second
1574560377,187,0.515151,0.000000,0.000000,0.000000,events/second
1574560380,187,0.510929,0.000000,0.000000,0.000000,events/second
1574560383,187,0.506770,0.000000,0.000000,0.000000,events/second
1574560386,189,0.508065,0.000000,0.000000,0.000000,events/second
1574560389,190,0.506665,0.000000,0.000000,0.000000,events/second
1574560392,190,0.502643,0.000000,0.000000,0.000000,events/second
1574560395,190,0.498685,0.000000,0.000000,0.000000,events/second
1574560398,190,0.494789,0.000000,0.000000,0.000000,events/second
1574560401,190,0.490952,0.000000,0.000000,0.000000,events/second
1574560404,190,0.487179,0.000000,0.000000,0.000000,events/second
1574560407,193,0.491099,0.000000,0.000000,0.000000,events/second
1574560410,193,0.487371,0.000000,0.000000,0.000000,events/second
1574560413,193,0.483706,0.000000,0.000000,0.000000,events/second
1574560416,193,0.480100,0.000000,0.000000,0.000000,events/second
1574560419,193,0.476546,0.000000,0.000000,0.000000,events/second
1574560422,193,0.473043,0.000000,0.000000,0.000000,events/second
1574560425,193,0.469585,0.000000,0.000000,0.000000,events/second
1574560428,196,0.473429,0.000000,0.000000,0.000000,events/second
1574560431,196,0.470022,0.000000,0.000000,0.000000,events/second
1574560434,196,0.466666,0.000000,0.000000,0.000000,events/second
1574560437,196,0.463359,0.000000,0.000000,0.000000,events/second
1574560440,196,0.460096,0.000000,0.000000,0.000000,events/second
1574560443,196,0.456872,0.000000,0.000000,0.000000,events/second
1574560446,198,0.458332,0.000000,0.000000,0.000000,events/second
1574560449,199,0.457473,0.000000,0.000000,0.000000,events/second
1574560452,199,0.454339,0.000000,0.000000,0.000000,events/second
1574560455,199,0.451246,0.000000,0.000000,0.000000,events/second
1574560458,199,0.448196,0.000000,0.000000,0.000000,events/second
1574560461,199,0.445194,0.000000,0.000000,0.000000,events/second
1574560464,199,0.442224,0.000000,0.000000,0.000000,events/second
