t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1574560017,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560020,1,0.166432,0.000000,0.000000,0.000000,events/second
1574560023,2,0.221673,0.000000,0.000000,0.000000,events/second
1574560026,2,0.166585,0.000000,0.000000,0.000000,events/second
1574560029,2,0.133335,0.000000,0.000000,0.000000,events/second
1574560032,2,0.111097,0.000000,0.000000,0.000000,events/second
1574560035,2,0.095226,0.000000,0.000000,0.000000,events/second
1574560038,2,0.083334,0.000000,0.000000,0.000000,events/second
1574560041,2,0.074080,0.000000,0.000000,0.000000,events/second
1574560044,2,0.066668,0.000000,0.000000,0.000000,events/second
1574560047,7,0.212129,0.000000,0.000000,0.000000,events/second
1574560050,10,0.277799,0.000000,0.000000,0.000000,events/second
1574560053,16,0.410229,0.000000,0.000000,0.000000,events/second
1574560056,22,0.523778,0.000000,0.000000,0.000000,events/second
1574560059,22,0.488904,0.000000,0.000000,0.000000,events/second
1574560062,25,0.520777,0.000000,0.000000,0.000000,events/second
1574560065,28,0.548997,0.000000,0.000000,0.000000,events/second
1574560068,33,0.611142,0.000000,0.000000,0.000000,events/second
1574560071,37,0.649101,0.000000,0.000000,0.000000,events/second
1574560074,43,0.716701,0.000000,0.000000,0.000000,events/second
1574560077,43,0.682523,0.000000,0.000000,0.000000,events/second
1574560080,49,0.742420,0.000000,0.000000,0.000000,events/second
1574560083,53,0.768113,0.000000,0.000000,0.000000,events/second
1574560086,60,0.833299,0.000000,0.000000,0.000000,events/second
1574560089,64,0.853350,0.000000,0.000000,0.000000,events/second
1574560092,68,0.871803,0.000000,0.000000,0.000000,events/second
1574560095,72,0.888864,0.000000,0.000000,0.000000,events/second
1574560098,76,0.904754,0.000000,0.000000,0.000000,events/second
1574560101,76,0.873602,0.000000,0.000000,0.000000,events/second
1574560104,82,0.911092,0.000000,0.000000,0.000000,events/second
1574560107,88,0.946232,0.000000,0.000000,0.000000,events/second
1574560110,96,1.000015,0.000000,0.000000,0.000000,events/second
1574560113,99,0.999983,0.000000,0.000000,0.000000,events/second
1574560116,103,1.009825,0.000000,0.000000,0.000000,events/second
1574560119,109,1.038087,0.000000,0.000000,0.000000,events/second
1574560122,109,1.009286,0.000000,0.000000,0.000000,events/second
1574560125,109,0.981980,0.000000,0.000000,0.000000,events/second
1574560128,112,0.982444,0.000000,0.000000,0.000000,events/second
1574560131,112,0.957250,0.000000,0.000000,0.000000,events/second
