t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1574560017,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560020,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560023,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560026,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560029,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560032,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560035,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560038,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560041,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560044,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560047,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560050,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560053,4,0.102558,0.000000,0.000000,0.000000,events/second
1574560056,7,0.166658,0.000000,0.000000,0.000000,events/second
1574560059,7,0.155561,0.000000,0.000000,0.000000,events/second
1574560062,9,0.187481,0.000000,0.000000,0.000000,events/second
1574560065,9,0.176464,0.000000,0.000000,0.000000,events/second
1574560068,9,0.166676,0.000000,0.000000,0.000000,events/second
1574560071,11,0.192977,0.000000,0.000000,0.000000,events/second
1574560074,15,0.250013,0.000000,0.000000,0.000000,events/second
1574560077,15,0.238090,0.000000,0.000000,0.000000,events/second
1574560080,23,0.348485,0.000000,0.000000,0.000000,events/second
1574560083,24,0.347826,0.000000,0.000000,0.000000,events/second
1574560086,25,0.347209,0.000000,0.000000,0.000000,events/second
1574560089,26,0.346675,0.000000,0.000000,0.000000,events/second
1574560092,27,0.346158,0.000000,0.000000,0.000000,events/second
1574560095,28,0.345671,0.000000,0.000000,0.000000,events/second
1574560098,29,0.345236,0.000000,0.000000,0.000000,events/second
1574560101,29,0.333349,0.000000,0.000000,0.000000,events/second
1574560104,31,0.344438,0.000000,0.000000,0.000000,events/second
1574560107,33,0.354838,0.000000,0.000000,0.000000,events/second
1574560110,35,0.364590,0.000000,0.000000,0.000000,events/second
1574560113,35,0.353530,0.000000,0.000000,0.000000,events/second
1574560116,37,0.362754,0.000000,0.000000,0.000000,events/second
1574560119,39,0.371427,0.000000,0.000000,0.000000,events/second
1574560122,39,0.361122,0.000000,0.000000,0.000000,events/second
1574560125,39,0.351352,0.000000,0.000000,0.000000,events/second
1574560128,39,0.342102,0.000000,0.000000,0.000000,events/second
1574560131,39,0.333329,0.000000,0.000000,0.000000,events/second
1574560134,39,0.324995,0.000000,0.000000,0.000000,events/second
1574560137,39,0.317069,0.000000,0.000000,0.000000,events/second
1574560140,39,0.309531,0.000000,0.000000,0.000000,events/second
1574560143,39,0.302319,0.000000,0.000000,0.000000,events/second
1574560146,39,0.295456,0.000000,0.000000,0.000000,events/second
1574560149,39,0.288881,0.000000,0.000000,0.000000,events/second
1574560152,39,0.282615,0.000000,0.000000,0.000000,events/second
1574560155,39,0.276592,0.000000,0.000000,0.000000,events/second
1574560158,39,0.270834,0.000000,0.000000,0.000000,events/second
1574560161,39,0.265313,0.000000,0.000000,0.000000,events/second
1574560164,39,0.260003,0.000000,0.000000,0.000000,events/second
1574560167,39,0.254904,0.000000,0.000000,0.000000,events/second
1574560170,39,0.250003,0.000000,0.000000,0.000000,events/second
1574560173,39,0.245290,0.000000,0.000000,0.000000,events/second
1574560176,39,0.240746,0.000000,0.000000,0.000000,events/second
1574560179,39,0.236361,0.000000,0.000000,0.000000,events/second
1574560182,39,0.232146,0.000000,0.000000,0.000000,events/second
1574560185,39,0.228068,0.000000,0.000000,0.000000,events/second
1574560188,39,0.224140,0.000000,0.000000,0.000000,events/second
1574560191,39,0.220343,0.000000,0.000000,0.000000,events/second
1574560194,39,0.216665,0.000000,0.000000,0.000000,events/second
1574560197,39,0.213113,0.000000,0.000000,0.000000,events/second
1574560200,39,0.209682,0.000000,0.000000,0.000000,events/second
1574560203,39,0.206344,0.000000,0.000000,0.000000,events/second
1574560206,39,0.203127,0.000000,0.000000,0.000000,events/second
1574560209,39,0.200001,0.000000,0.000000,0.000000,events/second
1574560212,39,0.196968,0.000000,0.000000,0.000000,events/second
1574560215,39,0.194029,0.000000,0.000000,0.000000,events/second
1574560218,39,0.191177,0.000000,0.000000,0.000000,events/second
1574560221,39,0.188407,0.000000,0.000000,0.000000,events/second
1574560224,39,0.185716,0.000000,0.000000,0.000000,events/second
1574560227,39,0.183089,0.000000,0.000000,0.000000,events/second
1574560230,39,0.180558,0.000000,0.000000,0.000000,events/second
1574560233,39,0.178081,0.000000,0.000000,0.000000,events/second
1574560236,39,0.175677,0.000000,0.000000,0.000000,events/second
1574560239,39,0.173336,0.000000,0.000000,0.000000,events/second
1574560242,39,0.171054,0.000000,0.000000,0.000000,events/second
1574560245,39,0.168832,0.000000,0.000000,0.000000,events/second
1574560248,39,0.166666,0.000000,0.000000,0.000000,events/second
1574560251,39,0.164556,0.000000,0.000000,0.000000,events/second
1574560254,39,0.162500,0.000000,0.000000,0.000000,events/second
1574560257,39,0.160494,0.000000,0.000000,0.000000,events/second
1574560260,39,0.158537,0.000000,0.000000,0.000000,events/second
