t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1574560017,1,0.326464,0.000000,0.000000,0.000000,events/second
1574560020,1,0.166512,0.000000,0.000000,0.000000,events/second
1574560023,1,0.110873,0.000000,0.000000,0.000000,events/second
1574560026,1,0.083315,0.000000,0.000000,0.000000,events/second
1574560029,1,0.066683,0.000000,0.000000,0.000000,events/second
1574560032,1,0.055560,0.000000,0.000000,0.000000,events/second
1574560035,1,0.047621,0.000000,0.000000,0.000000,events/second
1574560038,1,0.041673,0.000000,0.000000,0.000000,events/second
1574560041,1,0.037045,0.000000,0.000000,0.000000,events/second
1574560044,1,0.033338,0.000000,0.000000,0.000000,events/second
1574560047,1,0.030307,0.000000,0.000000,0.000000,events/second
1574560050,1,0.027783,0.000000,0.000000,0.000000,events/second
1574560053,5,0.128209,0.000000,0.000000,0.000000,events/second
1574560056,8,0.190481,0.000000,0.000000,0.000000,events/second
1574560059,8,0.177798,0.000000,0.000000,0.000000,events/second
1574560062,10,0.208326,0.000000,0.000000,0.000000,events/second
1574560065,10,0.196084,0.000000,0.000000,0.000000,events/second
1574560068,10,0.185207,0.000000,0.000000,0.000000,events/second
1574560071,12,0.210532,0.000000,0.000000,0.000000,events/second
1574560074,16,0.266696,0.000000,0.000000,0.000000,events/second
1574560077,16,0.253976,0.000000,0.000000,0.000000,events/second
1574560080,24,0.363655,0.000000,0.000000,0.000000,events/second
1574560083,25,0.362333,0.000000,0.000000,0.000000,events/second
1574560086,26,0.361115,0.000000,0.000000,0.000000,events/second
1574560089,27,0.360024,0.000000,0.000000,0.000000,events/second
1574560092,28,0.358995,0.000000,0.000000,0.000000,events/second
1574560095,29,0.358031,0.000000,0.000000,0.000000,events/second
1574560098,30,0.357156,0.000000,0.000000,0.000000,events/second
1574560101,30,0.344858,0.000000,0.000000,0.000000,events/second
1574560104,32,0.355563,0.000000,0.000000,0.000000,events/second
1574560107,34,0.365604,0.000000,0.000000,0.000000,events/second
1574560110,36,0.375020,0.000000,0.000000,0.000000,events/second
1574560113,36,0.363643,0.000000,0.000000,0.000000,events/second
1574560116,38,0.372571,0.000000,0.000000,0.000000,events/second
1574560119,40,0.380963,0.000000,0.000000,0.000000,events/second
1574560122,40,0.370392,0.000000,0.000000,0.000000,events/second
1574560125,40,0.360370,0.000000,0.000000,0.000000,events/second
1574560128,40,0.350885,0.000000,0.000000,0.000000,events/second
1574560131,40,0.341886,0.000000,0.000000,0.000000,events/second
1574560134,40,0.333338,0.000000,0.000000,0.000000,events/second
1574560137,40,0.325208,0.000000,0.000000,0.000000,events/second
1574560140,40,0.317476,0.000000,0.000000,0.000000,events/second
1574560143,40,0.310079,0.000000,0.000000,0.000000,events/second
1574560146,40,0.303039,0.000000,0.000000,0.000000,events/second
1574560149,40,0.296295,0.000000,0.000000,0.000000,events/second
1574560152,40,0.289869,0.000000,0.000000,0.000000,events/second
1574560155,40,0.283691,0.000000,0.000000,0.000000,events/second
1574560158,40,0.277785,0.000000,0.000000,0.000000,events/second
1574560161,40,0.272123,0.000000,0.000000,0.000000,events/second
1574560164,40,0.266676,0.000000,0.000000,0.000000,events/second
1574560167,40,0.261446,0.000000,0.000000,0.000000,events/second
1574560170,40,0.256419,0.000000,0.000000,0.000000,events/second
1574560173,40,0.251585,0.000000,0.000000,0.000000,events/second
1574560176,40,0.246925,0.000000,0.000000,0.000000,events/second
1574560179,40,0.242427,0.000000,0.000000,0.000000,events/second
1574560182,40,0.238104,0.000000,0.000000,0.000000,events/second
1574560185,40,0.233921,0.000000,0.000000,0.000000,events/second
1574560188,40,0.229892,0.000000,0.000000,0.000000,events/second
1574560191,40,0.225997,0.000000,0.000000,0.000000,events/second
1574560194,40,0.222225,0.000000,0.000000,0.000000,events/second
1574560197,40,0.218582,0.000000,0.000000,0.000000,events/second
1574560200,40,0.215063,0.000000,0.000000,0.000000,events/second
1574560203,40,0.211638,0.000000,0.000000,0.000000,events/second
1574560206,40,0.208339,0.000000,0.000000,0.000000,events/second
1574560209,40,0.205132,0.000000,0.000000,0.000000,events/second
1574560212,40,0.202022,0.000000,0.000000,0.000000,events/second
1574560215,40,0.199007,0.000000,0.000000,0.000000,events/second
1574560218,40,0.196082,0.000000,0.000000,0.000000,events/second
1574560221,40,0.193241,0.000000,0.000000,0.000000,events/second
1574560224,40,0.190481,0.000000,0.000000,0.000000,events/second
1574560227,40,0.187786,0.000000,0.000000,0.000000,events/second
1574560230,40,0.185190,0.000000,0.000000,0.000000,events/second
1574560233,40,0.182650,0.000000,0.000000,0.000000,events/second
1574560236,40,0.180185,0.000000,0.000000,0.000000,events/second
1574560239,40,0.177783,0.000000,0.000000,0.000000,events/second
1574560242,40,0.175443,0.000000,0.000000,0.000000,events/second
1574560245,40,0.173164,0.000000,0.000000,0.000000,events/second
1574560248,40,0.170942,0.000000,0.000000,0.000000,events/second
1574560251,40,0.168778,0.000000,0.000000,0.000000,events/second
1574560254,40,0.166669,0.000000,0.000000,0.000000,events/second
1574560257,40,0.164611,0.000000,0.000000,0.000000,events/second
1574560260,40,0.162604,0.000000,0.000000,0.000000,events/second
1574560263,40,0.160645,0.000000,0.000000,0.000000,events/second
1574560266,40,0.158735,0.000000,0.000000,0.000000,events/second
1574560269,40,0.156866,0.000000,0.000000,0.000000,events/second
1574560272,40,0.155042,0.000000,0.000000,0.000000,events/second
1574560275,40,0.153258,0.000000,0.000000,0.000000,events/second
1574560278,40,0.151519,0.000000,0.000000,0.000000,events/second
1574560281,40,0.149818,0.000000,0.000000,0.000000,events/second
1574560284,40,0.148152,0.000000,0.000000,0.000000,events/second
1574560287,40,0.146523,0.000000,0.000000,0.000000,events/second
1574560290,40,0.144929,0.000000,0.000000,0.000000,events/second
1574560293,40,0.143373,0.000000,0.000000,0.000000,events/second
1574560296,40,0.141845,0.000000,0.000000,0.000000,events/second
1574560299,40,0.140352,0.000000,0.000000,0.000000,events/second
1574560302,40,0.138891,0.000000,0.000000,0.000000,events/second
1574560305,40,0.137458,0.000000,0.000000,0.000000,events/second
1574560308,40,0.136058,0.000000,0.000000,0.000000,events/second
1574560311,40,0.134682,0.000000,0.000000,0.000000,events/second
1574560314,40,0.133335,0.000000,0.000000,0.000000,events/second
1574560317,40,0.132016,0.000000,0.000000,0.000000,events/second
1574560320,40,0.130720,0.000000,0.000000,0.000000,events/second
1574560323,40,0.129451,0.000000,0.000000,0.000000,events/second
1574560326,40,0.128208,0.000000,0.000000,0.000000,events/second
1574560329,40,0.126987,0.000000,0.000000,0.000000,events/second
1574560332,40,0.125788,0.000000,0.000000,0.000000,events/second
1574560335,40,0.124613,0.000000,0.000000,0.000000,events/second
1574560338,40,0.123458,0.000000,0.000000,0.000000,events/second
1574560341,40,0.122326,0.000000,0.000000,0.000000,events/second
1574560344,40,0.121213,0.000000,0.000000,0.000000,events/second
