t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1574560017,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560020,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560023,1,0.110834,0.000000,0.000000,0.000000,events/second
1574560026,1,0.083291,0.000000,0.000000,0.000000,events/second
1574560029,1,0.066669,0.000000,0.000000,0.000000,events/second
1574560032,1,0.055551,0.000000,0.000000,0.000000,events/second
1574560035,1,0.047614,0.000000,0.000000,0.000000,events/second
1574560038,1,0.041668,0.000000,0.000000,0.000000,events/second
1574560041,1,0.037041,0.000000,0.000000,0.000000,events/second
1574560044,1,0.033335,0.000000,0.000000,0.000000,events/second
1574560047,1,0.030304,0.000000,0.000000,0.000000,events/second
1574560050,2,0.055561,0.000000,0.000000,0.000000,events/second
1574560053,3,0.076920,0.000000,0.000000,0.000000,events/second
1574560056,4,0.095234,0.000000,0.000000,0.000000,events/second
1574560059,4,0.088893,0.000000,0.000000,0.000000,events/second
1574560062,4,0.083324,0.000000,0.000000,0.000000,events/second
1574560065,5,0.098036,0.000000,0.000000,0.000000,events/second
1574560068,6,0.111118,0.000000,0.000000,0.000000,events/second
1574560071,7,0.122804,0.000000,0.000000,0.000000,events/second
1574560074,8,0.133342,0.000000,0.000000,0.000000,events/second
1574560077,8,0.126982,0.000000,0.000000,0.000000,events/second
1574560080,9,0.136365,0.000000,0.000000,0.000000,events/second
1574560083,10,0.144926,0.000000,0.000000,0.000000,events/second
1574560086,12,0.166662,0.000000,0.000000,0.000000,events/second
1574560089,13,0.173338,0.000000,0.000000,0.000000,events/second
1574560092,14,0.179491,0.000000,0.000000,0.000000,events/second
1574560095,15,0.185182,0.000000,0.000000,0.000000,events/second
1574560098,16,0.190477,0.000000,0.000000,0.000000,events/second
1574560101,16,0.183918,0.000000,0.000000,0.000000,events/second
1574560104,17,0.188887,0.000000,0.000000,0.000000,events/second
1574560107,18,0.193549,0.000000,0.000000,0.000000,events/second
1574560110,19,0.197921,0.000000,0.000000,0.000000,events/second
1574560113,20,0.202018,0.000000,0.000000,0.000000,events/second
1574560116,21,0.205889,0.000000,0.000000,0.000000,events/second
1574560119,22,0.209524,0.000000,0.000000,0.000000,events/second
1574560122,22,0.203710,0.000000,0.000000,0.000000,events/second
1574560125,22,0.198197,0.000000,0.000000,0.000000,events/second
1574560128,23,0.201754,0.000000,0.000000,0.000000,events/second
1574560131,23,0.196579,0.000000,0.000000,0.000000,events/second
1574560134,23,0.191665,0.000000,0.000000,0.000000,events/second
1574560137,23,0.186990,0.000000,0.000000,0.000000,events/second
1574560140,23,0.182544,0.000000,0.000000,0.000000,events/second
1574560143,23,0.178291,0.000000,0.000000,0.000000,events/second
1574560146,24,0.181819,0.000000,0.000000,0.000000,events/second
1574560149,24,0.177772,0.000000,0.000000,0.000000,events/second
1574560152,24,0.173918,0.000000,0.000000,0.000000,events/second
1574560155,24,0.170211,0.000000,0.000000,0.000000,events/second
1574560158,24,0.166668,0.000000,0.000000,0.000000,events/second
1574560161,24,0.163270,0.000000,0.000000,0.000000,events/second
1574560164,24,0.160003,0.000000,0.000000,0.000000,events/second
1574560167,25,0.163401,0.000000,0.000000,0.000000,events/second
1574560170,25,0.160259,0.000000,0.000000,0.000000,events/second
1574560173,25,0.157238,0.000000,0.000000,0.000000,events/second
1574560176,25,0.154325,0.000000,0.000000,0.000000,events/second
1574560179,25,0.151514,0.000000,0.000000,0.000000,events/second
1574560182,25,0.148812,0.000000,0.000000,0.000000,events/second
1574560185,25,0.146198,0.000000,0.000000,0.000000,events/second
1574560188,26,0.149427,0.000000,0.000000,0.000000,events/second
1574560191,26,0.146896,0.000000,0.000000,0.000000,events/second
1574560194,26,0.144444,0.000000,0.000000,0.000000,events/second
1574560197,26,0.142076,0.000000,0.000000,0.000000,events/second
1574560200,26,0.139789,0.000000,0.000000,0.000000,events/second
1574560203,26,0.137563,0.000000,0.000000,0.000000,events/second
1574560206,26,0.135418,0.000000,0.000000,0.000000,events/second
1574560209,27,0.138462,0.000000,0.000000,0.000000,events/second
1574560212,27,0.136363,0.000000,0.000000,0.000000,events/second
1574560215,27,0.134328,0.000000,0.000000,0.000000,events/second
1574560218,27,0.132354,0.000000,0.000000,0.000000,events/second
1574560221,27,0.130436,0.000000,0.000000,0.000000,events/second
1574560224,27,0.128573,0.000000,0.000000,0.000000,events/second
1574560227,28,0.131448,0.000000,0.000000,0.000000,events/second
1574560230,28,0.129632,0.000000,0.000000,0.000000,events/second
1574560233,28,0.127853,0.000000,0.000000,0.000000,events/second
1574560236,28,0.126128,0.000000,0.000000,0.000000,events/second
1574560239,28,0.124447,0.000000,0.000000,0.000000,events/second
1574560242,28,0.122809,0.000000,0.000000,0.000000,events/second
1574560245,28,0.121213,0.000000,0.000000,0.000000,events/second
1574560248,29,0.123931,0.000000,0.000000,0.000000,events/second
1574560251,29,0.122362,0.000000,0.000000,0.000000,events/second
1574560254,29,0.120834,0.000000,0.000000,0.000000,events/second
1574560257,29,0.119342,0.000000,0.000000,0.000000,events/second
1574560260,29,0.117887,0.000000,0.000000,0.000000,events/second
