t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1574560017,1,0.324524,0.000000,0.000000,0.000000,events/second
1574560020,1,0.166234,0.000000,0.000000,0.000000,events/second
1574560023,3,0.332276,0.000000,0.000000,0.000000,events/second
1574560026,3,0.249748,0.000000,0.000000,0.000000,events/second
1574560029,3,0.199927,0.000000,0.000000,0.000000,events/second
1574560032,3,0.166597,0.000000,0.000000,0.000000,events/second
1574560035,3,0.142803,0.000000,0.000000,0.000000,events/second
1574560038,3,0.124973,0.000000,0.000000,0.000000,events/second
1574560041,3,0.111099,0.000000,0.000000,0.000000,events/second
1574560044,3,0.099985,0.000000,0.000000,0.000000,events/second
1574560047,10,0.302983,0.000000,0.000000,0.000000,events/second
1574560050,12,0.333313,0.000000,0.000000,0.000000,events/second
1574560053,23,0.589629,0.000000,0.000000,0.000000,events/second
1574560056,33,0.785573,0.000000,0.000000,0.000000,events/second
1574560059,33,0.733276,0.000000,0.000000,0.000000,events/second
1574560062,40,0.833136,0.000000,0.000000,0.000000,events/second
1574560065,42,0.823411,0.000000,0.000000,0.000000,events/second
1574560068,48,0.888850,0.000000,0.000000,0.000000,events/second
1574560071,55,0.964788,0.000000,0.000000,0.000000,events/second
1574560074,66,1.099962,0.000000,0.000000,0.000000,events/second
1574560077,66,1.047506,0.000000,0.000000,0.000000,events/second
1574560080,81,1.227175,0.000000,0.000000,0.000000,events/second
1574560083,87,1.260751,0.000000,0.000000,0.000000,events/second
1574560086,97,1.347076,0.000000,0.000000,0.000000,events/second
1574560089,103,1.373267,0.000000,0.000000,0.000000,events/second
1574560092,109,1.397361,0.000000,0.000000,0.000000,events/second
1574560095,115,1.419628,0.000000,0.000000,0.000000,events/second
1574560098,121,1.440380,0.000000,0.000000,0.000000,events/second
1574560101,122,1.402278,0.000000,0.000000,0.000000,events/second
1574560104,130,1.444335,0.000000,0.000000,0.000000,events/second
1574560107,139,1.494531,0.000000,0.000000,0.000000,events/second
1574560110,150,1.562440,0.000000,0.000000,0.000000,events/second
1574560113,154,1.555438,0.000000,0.000000,0.000000,events/second
1574560116,161,1.578390,0.000000,0.000000,0.000000,events/second
1574560119,170,1.618960,0.000000,0.000000,0.000000,events/second
1574560122,170,1.574038,0.000000,0.000000,0.000000,events/second
1574560125,170,1.531444,0.000000,0.000000,0.000000,events/second
1574560128,174,1.526232,0.000000,0.000000,0.000000,events/second
1574560131,174,1.487090,0.000000,0.000000,0.000000,events/second
1574560134,174,1.449918,0.000000,0.000000,0.000000,events/second
1574560137,174,1.414557,0.000000,0.000000,0.000000,events/second
1574560140,174,1.380924,0.000000,0.000000,0.000000,events/second
1574560143,174,1.348751,0.000000,0.000000,0.000000,events/second
1574560146,177,1.340853,0.000000,0.000000,0.000000,events/second
1574560149,178,1.318419,0.000000,0.000000,0.000000,events/second
1574560152,178,1.289835,0.000000,0.000000,0.000000,events/second
1574560155,178,1.262348,0.000000,0.000000,0.000000,events/second
1574560158,178,1.236070,0.000000,0.000000,0.000000,events/second
1574560161,178,1.210875,0.000000,0.000000,0.000000,events/second
1574560164,178,1.186641,0.000000,0.000000,0.000000,events/second
1574560167,182,1.189512,0.000000,0.000000,0.000000,events/second
1574560170,182,1.166642,0.000000,0.000000,0.000000,events/second
1574560173,182,1.144649,0.000000,0.000000,0.000000,events/second
1574560176,182,1.123448,0.000000,0.000000,0.000000,events/second
1574560179,182,1.102985,0.000000,0.000000,0.000000,events/second
1574560182,182,1.083316,0.000000,0.000000,0.000000,events/second
1574560185,182,1.064287,0.000000,0.000000,0.000000,events/second
1574560188,186,1.068943,0.000000,0.000000,0.000000,events/second
1574560191,186,1.050837,0.000000,0.000000,0.000000,events/second
1574560194,186,1.033295,0.000000,0.000000,0.000000,events/second
1574560197,186,1.016356,0.000000,0.000000,0.000000,events/second
1574560200,186,0.999995,0.000000,0.000000,0.000000,events/second
1574560203,186,0.984073,0.000000,0.000000,0.000000,events/second
1574560206,188,0.979148,0.000000,0.000000,0.000000,events/second
1574560209,190,0.974336,0.000000,0.000000,0.000000,events/second
1574560212,190,0.959564,0.000000,0.000000,0.000000,events/second
1574560215,190,0.945244,0.000000,0.000000,0.000000,events/second
1574560218,190,0.931352,0.000000,0.000000,0.000000,events/second
1574560221,190,0.917858,0.000000,0.000000,0.000000,events/second
1574560224,190,0.904747,0.000000,0.000000,0.000000,events/second
1574560227,194,0.910720,0.000000,0.000000,0.000000,events/second
1574560230,194,0.898137,0.000000,0.000000,0.000000,events/second
1574560233,194,0.885817,0.000000,0.000000,0.000000,events/second
1574560236,194,0.873862,0.000000,0.000000,0.000000,events/second
1574560239,194,0.862215,0.000000,0.000000,0.000000,events/second
1574560242,194,0.850866,0.000000,0.000000,0.000000,events/second
1574560245,194,0.839813,0.000000,0.000000,0.000000,events/second
1574560248,198,0.846130,0.000000,0.000000,0.000000,events/second
1574560251,198,0.835420,0.000000,0.000000,0.000000,events/second
1574560254,198,0.824983,0.000000,0.000000,0.000000,events/second
1574560257,198,0.814796,0.000000,0.000000,0.000000,events/second
1574560260,198,0.804862,0.000000,0.000000,0.000000,events/second
