t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1574560017,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560020,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560023,1,0.110848,0.000000,0.000000,0.000000,events/second
1574560026,1,0.083295,0.000000,0.000000,0.000000,events/second
1574560029,1,0.066674,0.000000,0.000000,0.000000,events/second
1574560032,1,0.055555,0.000000,0.000000,0.000000,events/second
1574560035,1,0.047618,0.000000,0.000000,0.000000,events/second
1574560038,1,0.041671,0.000000,0.000000,0.000000,events/second
1574560041,1,0.037043,0.000000,0.000000,0.000000,events/second
1574560044,1,0.033337,0.000000,0.000000,0.000000,events/second
1574560047,1,0.030304,0.000000,0.000000,0.000000,events/second
1574560050,1,0.027782,0.000000,0.000000,0.000000,events/second
1574560053,1,0.025641,0.000000,0.000000,0.000000,events/second
1574560056,1,0.023810,0.000000,0.000000,0.000000,events/second
1574560059,1,0.022224,0.000000,0.000000,0.000000,events/second
1574560062,1,0.020832,0.000000,0.000000,0.000000,events/second
1574560065,1,0.019608,0.000000,0.000000,0.000000,events/second
1574560068,1,0.018520,0.000000,0.000000,0.000000,events/second
1574560071,1,0.017544,0.000000,0.000000,0.000000,events/second
1574560074,1,0.016668,0.000000,0.000000,0.000000,events/second
1574560077,1,0.015873,0.000000,0.000000,0.000000,events/second
1574560080,1,0.015152,0.000000,0.000000,0.000000,events/second
1574560083,1,0.014493,0.000000,0.000000,0.000000,events/second
1574560086,1,0.013889,0.000000,0.000000,0.000000,events/second
1574560089,1,0.013334,0.000000,0.000000,0.000000,events/second
1574560092,1,0.012821,0.000000,0.000000,0.000000,events/second
1574560095,1,0.012346,0.000000,0.000000,0.000000,events/second
1574560098,1,0.011905,0.000000,0.000000,0.000000,events/second
1574560101,1,0.011495,0.000000,0.000000,0.000000,events/second
1574560104,1,0.011111,0.000000,0.000000,0.000000,events/second
1574560107,1,0.010753,0.000000,0.000000,0.000000,events/second
1574560110,1,0.010417,0.000000,0.000000,0.000000,events/second
1574560113,1,0.010101,0.000000,0.000000,0.000000,events/second
1574560116,1,0.009804,0.000000,0.000000,0.000000,events/second
1574560119,1,0.009524,0.000000,0.000000,0.000000,events/second
1574560122,1,0.009260,0.000000,0.000000,0.000000,events/second
1574560125,1,0.009009,0.000000,0.000000,0.000000,events/second
1574560128,1,0.008772,0.000000,0.000000,0.000000,events/second
1574560131,1,0.008547,0.000000,0.000000,0.000000,events/second
1574560134,1,0.008333,0.000000,0.000000,0.000000,events/second
1574560137,1,0.008130,0.000000,0.000000,0.000000,events/second
1574560140,1,0.007937,0.000000,0.000000,0.000000,events/second
1574560143,1,0.007752,0.000000,0.000000,0.000000,events/second
1574560146,1,0.007576,0.000000,0.000000,0.000000,events/second
1574560149,1,0.007407,0.000000,0.000000,0.000000,events/second
1574560152,1,0.007247,0.000000,0.000000,0.000000,events/second
1574560155,1,0.007092,0.000000,0.000000,0.000000,events/second
1574560158,1,0.006945,0.000000,0.000000,0.000000,events/second
1574560161,1,0.006803,0.000000,0.000000,0.000000,events/second
1574560164,1,0.006667,0.000000,0.000000,0.000000,events/second
1574560167,1,0.006536,0.000000,0.000000,0.000000,events/second
1574560170,1,0.006410,0.000000,0.000000,0.000000,events/second
1574560173,1,0.006290,0.000000,0.000000,0.000000,events/second
1574560176,1,0.006173,0.000000,0.000000,0.000000,events/second
1574560179,1,0.006061,0.000000,0.000000,0.000000,events/second
1574560182,1,0.005953,0.000000,0.000000,0.000000,events/second
1574560185,1,0.005848,0.000000,0.000000,0.000000,events/second
1574560188,1,0.005747,0.000000,0.000000,0.000000,events/second
1574560191,1,0.005650,0.000000,0.000000,0.000000,events/second
1574560194,1,0.005556,0.000000,0.000000,0.000000,events/second
1574560197,1,0.005465,0.000000,0.000000,0.000000,events/second
1574560200,1,0.005377,0.000000,0.000000,0.000000,events/second
1574560203,1,0.005291,0.000000,0.000000,0.000000,events/second
1574560206,1,0.005208,0.000000,0.000000,0.000000,events/second
1574560209,1,0.005128,0.000000,0.000000,0.000000,events/second
1574560212,1,0.005051,0.000000,0.000000,0.000000,events/second
1574560215,1,0.004975,0.000000,0.000000,0.000000,events/second
1574560218,1,0.004902,0.000000,0.000000,0.000000,events/second
1574560221,1,0.004831,0.000000,0.000000,0.000000,events/second
1574560224,1,0.004762,0.000000,0.000000,0.000000,events/second
1574560227,1,0.004695,0.000000,0.000000,0.000000,events/second
1574560230,1,0.004630,0.000000,0.000000,0.000000,events/second
1574560233,1,0.004566,0.000000,0.000000,0.000000,events/second
1574560236,1,0.004505,0.000000,0.000000,0.000000,events/second
1574560239,1,0.004445,0.000000,0.000000,0.000000,events/second
1574560242,1,0.004386,0.000000,0.000000,0.000000,events/second
1574560245,1,0.004329,0.000000,0.000000,0.000000,events/second
1574560248,1,0.004274,0.000000,0.000000,0.000000,events/second
1574560251,1,0.004219,0.000000,0.000000,0.000000,events/second
1574560254,1,0.004167,0.000000,0.000000,0.000000,events/second
1574560257,1,0.004115,0.000000,0.000000,0.000000,events/second
1574560260,1,0.004065,0.000000,0.000000,0.000000,events/second
