t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1574560017,6,1.959737,0.000000,0.000000,0.000000,events/second
1574560020,8,1.335406,0.000000,0.000000,0.000000,events/second
1574560023,8,0.888585,0.000000,0.000000,0.000000,events/second
1574560026,8,0.667375,0.000000,0.000000,0.000000,events/second
1574560029,8,0.534049,0.000000,0.000000,0.000000,events/second
1574560032,8,0.444889,0.000000,0.000000,0.000000,events/second
1574560035,8,0.381283,0.000000,0.000000,0.000000,events/second
1574560038,8,0.333623,0.000000,0.000000,0.000000,events/second
1574560041,8,0.296545,0.000000,0.000000,0.000000,events/second
1574560044,8,0.266860,0.000000,0.000000,0.000000,events/second
1574560047,8,0.242560,0.000000,0.000000,0.000000,events/second
1574560050,9,0.250166,0.000000,0.000000,0.000000,events/second
1574560053,9,0.230879,0.000000,0.000000,0.000000,events/second
1574560056,9,0.214381,0.000000,0.000000,0.000000,events/second
1574560059,9,0.200100,0.000000,0.000000,0.000000,events/second
1574560062,9,0.187557,0.000000,0.000000,0.000000,events/second
1574560065,9,0.176535,0.000000,0.000000,0.000000,events/second
1574560068,9,0.166740,0.000000,0.000000,0.000000,events/second
1574560071,9,0.157946,0.000000,0.000000,0.000000,events/second
1574560074,9,0.150060,0.000000,0.000000,0.000000,events/second
1574560077,9,0.142901,0.000000,0.000000,0.000000,events/second
1574560080,9,0.136407,0.000000,0.000000,0.000000,events/second
1574560083,9,0.130472,0.000000,0.000000,0.000000,events/second
1574560086,9,0.125032,0.000000,0.000000,0.000000,events/second
1574560089,9,0.120036,0.000000,0.000000,0.000000,events/second
1574560092,9,0.115417,0.000000,0.000000,0.000000,events/second
1574560095,9,0.111137,0.000000,0.000000,0.000000,events/second
1574560098,10,0.119077,0.000000,0.000000,0.000000,events/second
1574560101,10,0.114975,0.000000,0.000000,0.000000,events/second
1574560104,10,0.111135,0.000000,0.000000,0.000000,events/second
1574560107,11,0.118305,0.000000,0.000000,0.000000,events/second
1574560110,11,0.114610,0.000000,0.000000,0.000000,events/second
1574560113,11,0.111131,0.000000,0.000000,0.000000,events/second
1574560116,11,0.107868,0.000000,0.000000,0.000000,events/second
1574560119,11,0.104782,0.000000,0.000000,0.000000,events/second
1574560122,11,0.101874,0.000000,0.000000,0.000000,events/second
1574560125,11,0.099117,0.000000,0.000000,0.000000,events/second
1574560128,11,0.096508,0.000000,0.000000,0.000000,events/second
1574560131,11,0.094031,0.000000,0.000000,0.000000,events/second
1574560134,11,0.091681,0.000000,0.000000,0.000000,events/second
1574560137,11,0.089445,0.000000,0.000000,0.000000,events/second
1574560140,11,0.087318,0.000000,0.000000,0.000000,events/second
1574560143,11,0.085283,0.000000,0.000000,0.000000,events/second
1574560146,11,0.083346,0.000000,0.000000,0.000000,events/second
1574560149,11,0.081491,0.000000,0.000000,0.000000,events/second
1574560152,11,0.079724,0.000000,0.000000,0.000000,events/second
