t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1574560017,85,27.748430,0.000000,0.000000,0.000000,events/second
1574560020,151,25.202737,0.000000,0.000000,0.000000,events/second
1574560023,151,16.770940,0.000000,0.000000,0.000000,events/second
1574560026,151,12.596107,0.000000,0.000000,0.000000,events/second
1574560029,151,10.079853,0.000000,0.000000,0.000000,events/second
1574560032,151,8.396926,0.000000,0.000000,0.000000,events/second
1574560035,151,7.196544,0.000000,0.000000,0.000000,events/second
1574560038,151,6.297025,0.000000,0.000000,0.000000,events/second
1574560041,151,5.597164,0.000000,0.000000,0.000000,events/second
1574560044,151,5.036913,0.000000,0.000000,0.000000,events/second
1574560047,151,4.578169,0.000000,0.000000,0.000000,events/second
1574560050,223,6.198468,0.000000,0.000000,0.000000,events/second
1574560053,223,5.720584,0.000000,0.000000,0.000000,events/second
1574560056,223,5.311824,0.000000,0.000000,0.000000,events/second
1574560059,223,4.957976,0.000000,0.000000,0.000000,events/second
1574560062,223,4.647206,0.000000,0.000000,0.000000,events/second
1574560065,223,4.374110,0.000000,0.000000,0.000000,events/second
1574560068,223,4.131420,0.000000,0.000000,0.000000,events/second
1574560071,223,3.913524,0.000000,0.000000,0.000000,events/second
1574560074,223,3.718119,0.000000,0.000000,0.000000,events/second
1574560077,223,3.540735,0.000000,0.000000,0.000000,events/second
1574560080,223,3.379839,0.000000,0.000000,0.000000,events/second
1574560083,223,3.232774,0.000000,0.000000,0.000000,events/second
1574560086,223,3.097997,0.000000,0.000000,0.000000,events/second
1574560089,223,2.974209,0.000000,0.000000,0.000000,events/second
1574560092,223,2.859766,0.000000,0.000000,0.000000,events/second
1574560095,223,2.753720,0.000000,0.000000,0.000000,events/second
1574560098,271,3.226958,0.000000,0.000000,0.000000,events/second
1574560101,271,3.115808,0.000000,0.000000,0.000000,events/second
1574560104,271,3.011745,0.000000,0.000000,0.000000,events/second
1574560107,301,3.237246,0.000000,0.000000,0.000000,events/second
