t,value
1574560017,196624
1574560020,196624
1574560023,257176
1574560026,257176
1574560029,257176
1574560032,257176
1574560035,257176
1574560038,257176
1574560041,257176
1574560044,257176
1574560047,257176
1574560050,257176
1574560053,398979
1574560056,398979
1574560059,398979
1574560062,405279
1574560065,405279
1574560068,405279
1574560071,405279
1574560074,405279
1574560077,405279
1574560080,406069
1574560083,406069
1574560086,406069
1574560089,406069
1574560092,406069
1574560095,406069
1574560098,388645
1574560101,388645
1574560104,388645
1574560107,486855
1574560110,493596
1574560113,493596
1574560116,493596
1574560119,493596
1574560122,493596
1574560125,493596
1574560128,493596
1574560131,493596
1574560134,493596
1574560137,493596
1574560140,493596
1574560143,493596
1574560146,493596
1574560149,493596
1574560152,493596
1574560155,493596
1574560158,493596
1574560161,493596
1574560164,493596
1574560167,493596
1574560170,493596
1574560173,493596
1574560176,493596
1574560179,493596
1574560182,493596
1574560185,493596
1574560188,493596
1574560191,493596
1574560194,493596
1574560197,493596
1574560200,493596
1574560203,493596
1574560206,493596
1574560209,493596
1574560212,493596
1574560215,493596
1574560218,493596
1574560221,493596
1574560224,493596
1574560227,493596
1574560230,493596
1574560233,493596
1574560236,493596
1574560239,493596
1574560242,493596
1574560245,493596
1574560248,493596
1574560251,493596
1574560254,493596
1574560257,493596
1574560260,493596
1574560263,493596
1574560266,493596
1574560269,493596
1574560272,493596
1574560275,493596
1574560278,493596
1574560281,493596
1574560284,493596
1574560287,493596
1574560290,493596
1574560293,493596
1574560296,493596
1574560299,493596
1574560302,493596
1574560305,493596
1574560308,493596
1574560311,493596
1574560314,493596
1574560317,493596
1574560320,493596
1574560323,493596
1574560326,493596
1574560329,493596
1574560332,493596
1574560335,493596
1574560338,493596
1574560341,493596
1574560344,493596
1574560347,493596
1574560350,493596
1574560353,493596
1574560356,493596
1574560359,493596
1574560362,493596
1574560365,493596
1574560368,493596
1574560371,493596
1574560374,493596
1574560377,493596
1574560380,493596
1574560383,493596
1574560386,493596
1574560389,493596
1574560392,493596
1574560395,493596
1574560398,493596
1574560401,493596
1574560404,493596
1574560407,493596
1574560410,493596
1574560413,493596
1574560416,493596
1574560419,493596
1574560422,493596
1574560425,493596
1574560428,493596
1574560431,493596
1574560434,493596
1574560437,493596
