t,value
1574560017,5
1574560020,5
1574560023,10
1574560026,10
1574560029,10
1574560032,10
1574560035,10
1574560038,10
1574560041,10
1574560044,10
1574560047,10
1574560050,10
1574560053,11
1574560056,11
1574560059,11
1574560062,12
1574560065,12
1574560068,12
1574560071,12
1574560074,12
1574560077,12
1574560080,12
1574560083,12
1574560086,12
1574560089,12
1574560092,12
1574560095,12
1574560098,10
1574560101,10
1574560104,10
1574560107,10
1574560110,11
1574560113,11
1574560116,11
1574560119,11
1574560122,11
1574560125,11
1574560128,11
1574560131,11
1574560134,11
1574560137,11
1574560140,11
1574560143,11
1574560146,11
1574560149,11
1574560152,11
1574560155,11
1574560158,11
1574560161,11
1574560164,11
1574560167,11
1574560170,11
1574560173,11
1574560176,11
1574560179,11
1574560182,11
1574560185,11
1574560188,11
1574560191,11
1574560194,11
1574560197,11
1574560200,11
1574560203,11
1574560206,11
1574560209,11
1574560212,11
1574560215,11
1574560218,11
1574560221,11
1574560224,11
1574560227,11
1574560230,11
1574560233,11
1574560236,11
1574560239,11
1574560242,11
1574560245,11
1574560248,11
1574560251,11
1574560254,11
1574560257,11
1574560260,11
1574560263,11
1574560266,11
1574560269,11
1574560272,11
1574560275,11
1574560278,11
1574560281,11
1574560284,11
1574560287,11
1574560290,11
1574560293,11
1574560296,11
1574560299,11
1574560302,11
1574560305,11
1574560308,11
1574560311,11
1574560314,11
1574560317,11
1574560320,11
1574560323,11
1574560326,11
1574560329,11
1574560332,11
1574560335,11
1574560338,11
1574560341,11
1574560344,11
1574560347,11
1574560350,11
1574560353,11
1574560356,11
1574560359,11
1574560362,11
1574560365,11
1574560368,11
1574560371,11
1574560374,11
1574560377,11
1574560380,11
1574560383,11
1574560386,11
1574560389,11
1574560392,11
1574560395,11
1574560398,11
1574560401,11
1574560404,11
1574560407,11
1574560410,11
1574560413,11
1574560416,11
1574560419,11
1574560422,11
1574560425,11
1574560428,11
1574560431,11
1574560434,11
1574560437,11
1574560440,11
1574560443,11
1574560446,11
1574560449,11
1574560452,11
1574560455,11
