t,value
1574560017,196625
1574560020,196625
1574560023,257177
1574560026,257177
1574560029,257177
1574560032,257177
1574560035,257177
1574560038,257177
1574560041,257177
1574560044,257177
1574560047,257177
1574560050,257177
1574560053,398980
1574560056,398980
1574560059,398980
1574560062,405280
1574560065,405280
1574560068,405280
1574560071,405280
1574560074,405280
1574560077,405280
1574560080,406070
1574560083,406070
1574560086,406070
1574560089,406070
1574560092,406070
1574560095,406070
1574560098,388646
1574560101,388646
1574560104,388646
1574560107,486856
1574560110,493597
1574560113,493597
1574560116,493597
1574560119,493597
1574560122,493597
1574560125,493597
1574560128,493597
1574560131,493597
1574560134,493597
1574560137,493597
1574560140,493597
1574560143,493597
1574560146,493597
1574560149,493597
1574560152,493597
1574560155,493597
1574560158,493597
1574560161,493597
1574560164,493597
1574560167,493597
1574560170,493597
1574560173,493597
1574560176,493597
1574560179,493597
1574560182,493597
1574560185,493597
1574560188,493597
1574560191,493597
1574560194,493597
1574560197,493597
1574560200,493597
1574560203,493597
1574560206,493597
1574560209,493597
1574560212,493597
1574560215,493597
1574560218,493597
1574560221,493597
1574560224,493597
1574560227,493597
1574560230,493597
1574560233,493597
1574560236,493597
1574560239,493597
1574560242,493597
1574560245,493597
1574560248,493597
1574560251,493597
1574560254,493597
1574560257,493597
1574560260,493597
1574560263,493597
1574560266,493597
1574560269,493597
1574560272,493597
1574560275,493597
1574560278,493597
1574560281,493597
1574560284,493597
1574560287,493597
1574560290,493597
1574560293,493597
1574560296,493597
1574560299,493597
1574560302,493597
1574560305,493597
1574560308,493597
1574560311,493597
1574560314,493597
1574560317,493597
1574560320,493597
1574560323,493597
1574560326,493597
1574560329,493597
1574560332,493597
1574560335,493597
1574560338,493597
1574560341,493597
1574560344,493597
1574560347,493597
1574560350,493597
1574560353,493597
1574560356,493597
1574560359,493597
1574560362,493597
1574560365,493597
1574560368,493597
1574560371,493597
1574560374,493597
1574560377,493597
1574560380,493597
1574560383,493597
1574560386,493597
1574560389,493597
1574560392,493597
1574560395,493597
1574560398,493597
1574560401,493597
1574560404,493597
1574560407,493597
1574560410,493597
1574560413,493597
1574560416,493597
1574560419,493597
1574560422,493597
1574560425,493597
1574560428,493597
1574560431,493597
1574560434,493597
1574560437,493597
1574560440,493597
1574560443,493597
1574560446,493597
1574560449,493597
1574560452,493597
1574560455,493597
1574560458,493597
1574560461,493597
1574560464,493597
1574560467,493597
1574560470,493597
1574560473,493597
1574560476,493597
1574560479,493597
1574560482,493597
1574560485,493597
1574560488,493597
1574560491,493597
1574560494,493597
1574560497,493597
1574560500,493597
1574560503,493597
1574560506,493597
1574560509,493597
1574560512,493597
1574560515,493597
1574560518,493597
1574560521,493597
1574560524,493597
1574560527,493597
1574560530,493597
1574560533,493597
1574560536,493597
1574560539,493597
1574560542,493597
1574560545,493597
1574560548,493597
1574560551,493597
1574560554,493597
1574560557,493597
1574560560,493597
1574560563,493597
1574560566,493597
1574560569,493597
1574560572,493597
1574560575,493597
1574560578,493597
1574560581,493597
1574560584,493597
1574560587,493597
1574560590,493597
1574560593,493597
1574560596,493597
1574560599,493597
1574560602,493597
1574560605,493597
1574560608,493597
1574560611,493597
1574560614,493597
1574560617,493597
1574560620,493597
1574560623,493597
1574560626,493597
1574560629,493597
1574560632,493597
1574560635,493597
1574560638,493597
1574560641,493597
1574560644,493597
1574560647,493597
1574560650,493597
1574560653,493597
1574560656,493597
1574560659,493597
1574560662,493597
1574560665,493597
1574560668,493597
1574560671,493597
1574560674,493597
1574560677,493597
1574560680,493597
1574560683,493597
1574560686,493597
1574560689,493597
1574560692,493597
1574560695,493597
1574560698,493597
1574560701,493597
1574560704,493597
1574560707,493597
1574560710,493597
1574560713,493597
1574560716,493597
1574560719,493597
1574560722,493597
1574560725,493597
1574560728,493597
1574560731,493597
1574560734,493597
1574560737,493597
1574560740,493597
1574560743,493597
1574560746,493597
1574560749,493597
1574560752,493597
1574560755,493597
1574560758,493597
1574560761,493597
1574560764,493597
1574560767,493597
1574560770,493597
1574560773,493597
1574560776,493597
1574560779,493597
1574560782,493597
1574560785,493597
1574560796,493597
1574560799,493597
1574560802,493597
1574560805,493597
1574560808,493597
1574560811,493597
1574560814,493597
1574560817,493597
1574560820,493597
1574560823,493597
1574560826,493597
1574560829,493597
1574560832,493597
1574560836,493597
1574560839,493597
1574560842,493597
1574560845,493597
1574560848,493597
1574560851,493597
1574560854,493597
1574560857,493597
1574560860,493597
1574560863,493597
1574560866,493597
1574560869,493597
1574560945,493597
1574560947,493597
1574560950,493597
1574560953,493597
1574560956,493597
1574560959,493597
1574560962,493597
1574560965,493597
1574560968,493597
1574560971,493597
1574560974,493597
1574560977,493597
1574560980,493597
1574561571,493597
1574561574,493597
1574561577,493597
1574561580,493597
1574561583,493597
1574561586,493597
1574561589,493597
1574561592,493597
1574561595,493597
1574561598,493597
1574561601,493597
1574561604,493597
1574561682,493597
1574561684,493597
1574561687,493597
1574561690,476189
1574561693,476189
1574561696,476189
1574561699,476189
1574561702,476189
1574561705,476189
1574561708,476189
1574561711,476189
1574561714,476189
1574561717,476189
1574561760,476189
1574561762,476189
1574561765,476189
1574561768,476189
1574561771,476189
1574561774,476189
1574561777,476189
1574561780,476189
1574561783,476189
1574561786,476189
1574561789,476189
1574561792,476189
1574561861,476189
1574561864,476189
1574561867,476189
1574561870,476189
1574561873,476189
1574561876,476189
1574561879,476189
1574561882,476189
1574561885,476189
1574561888,476189
1574561891,476189
1574561894,476189
1574561897,476189
1574562129,476189
1574562132,476189
1574562135,476189
1574562138,476189
1574562141,476189
1574562144,476189
1574562147,476189
1574562150,476189
1574562153,476189
1574562156,476189
1574562159,476189
1574562162,476189
1574562165,476189
1574562168,476189
1574562171,476189
1574562174,476189
1574562177,476189
1574562180,476189
1574562183,476189
1574562186,476189
1574562189,476189
1574562192,476189
1574562195,476189
1574562198,476189
1574562201,476189
1574562204,476189
1574562207,476189
1574562210,476189
1574562213,476189
1574562216,476189
1574562219,476189
1574562222,476189
1574562225,476189
1574562228,476189
1574562231,476189
1574562234,476189
1574562237,476189
1574562240,476189
1574562243,476189
1574562246,476189
1574562249,476189
1574562252,476189
1574562255,476189
1574562258,476189
1574562261,476189
1574562264,476189
1574562267,476189
1574562270,476189
1574562273,476189
1574562276,476189
1574562279,476189
1574562282,476189
1574562285,476189
1574562288,476189
1574562291,476189
1574562294,476189
1574562297,476189
1574562300,476189
1574562303,476189
1574562306,476189
1574562309,476189
1574562312,476189
1574562315,476189
1574562318,476189
1574562321,476189
1574562324,476189
1574562327,476189
1574562330,476189
1574562333,476189
1574562336,476189
1574562339,476189
1574562342,476189
1574562345,476189
1574562348,476189
1574562351,476189
1574562354,476189
1574562357,476189
1574562360,476189
1574562363,476189
1574562366,476189
1574562369,476189
1574562372,476189
1574562375,476189
1574562378,476189
1574562381,476189
1574562384,476189
1574562387,476189
1574562390,476189
1574562393,476189
1574562396,476189
1574562399,476189
1574562402,476189
1574562405,476189
1574562408,476189
1574562411,476189
1574562414,476189
1574562417,476189
1574562420,476189
1574562423,476189
1574562426,476189
1574562429,476189
1574562432,476189
1574562435,476189
1574562438,476189
1574562441,476189
1574562444,476189
1574562447,476189
1574562450,476189
1574562453,476189
1574562456,476189
1574562459,476189
1574562462,476189
1574562465,476189
1574562468,476189
1574562471,476189
1574562474,476189
1574562477,476189
1574562480,476189
1574562483,476189
1574562486,476189
1574562489,476189
1574562492,476189
1574562495,476189
1574562498,476189
1574562501,476189
1574562504,476189
1574562507,476189
1574562510,476189
1574562513,476189
1574562516,476189
1574562519,476189
1574562522,476189
1574562525,476189
1574562528,476189
1574562531,476189
1574562534,476189
1574562537,476189
1574562540,476189
1574562543,476189
1574562546,476189
1574562549,476189
1574562552,476207
1574562555,476207
1574562558,476207
1574562561,476207
1574562564,476207
1574562567,476207
1574562570,476207
1574562573,476207
1574562576,476207
1574562579,476207
1574562582,476207
1574562585,476207
1574562588,476207
1574562591,476207
1574562594,476207
1574562597,476207
1574562600,476207
1574562603,476207
1574562606,476207
1574562609,476207
1574562612,476207
1574562615,476207
1574562618,476207
1574562621,476207
1574562624,476207
1574562627,476207
1574562630,476207
1574562633,476207
1574562636,476207
1574562639,476207
1574562642,476207
1574562645,476207
1574562648,476207
1574562651,476207
1574562654,476207
1574562657,476207
1574562660,476207
1574562663,476207
1574562666,476207
1574562669,476207
1574562672,476207
1574562675,476207
1574562678,476207
1574562681,476207
1574562684,476207
1574562687,476207
1574562690,476207
1574562693,476207
1574562696,476207
1574562699,476207
1574562702,476207
1574562705,476207
1574562708,476207
1574562711,476207
1574562714,476207
1574562717,476207
1574562720,476207
1574562723,476207
1574562726,476207
1574562729,476207
1574562732,476207
1574562735,476207
1574562738,476207
1574562741,476207
1574562744,476207
1574562747,476207
1574562750,476207
1574562753,476207
1574562756,476207
1574562759,476207
1574562762,476207
1574562765,476207
1574562768,476207
1574562771,476207
1574562774,476207
1574562777,476207
1574562780,476207
1574562783,476207
1574562786,476207
1574562789,476207
1574562792,476207
1574562795,476207
1574562798,476207
1574562801,476207
1574562804,476207
1574562807,476207
1574562810,476207
1574562813,476207
1574562816,476207
1574562819,476207
1574562822,476207
1574562825,476207
1574562828,476207
1574562831,476207
1574562834,476207
1574562837,476207
1574562840,476207
1574562843,476207
1574562846,476207
1574562849,476207
1574562852,476207
1574562855,476207
1574562858,476207
1574562861,476207
1574562864,476207
1574562867,476207
1574562870,476207
1574562873,476207
1574562876,476207
1574562879,476207
1574562882,476207
1574562885,476207
1574562888,476207
1574562891,476207
1574562894,476207
1574562897,476207
1574562900,476207
1574562903,476207
1574562906,476207
1574562909,476207
1574562912,476207
1574562915,476207
1574562918,476207
1574562921,476207
1574562924,476207
1574562927,476207
1574562930,476207
1574562933,476207
1574562936,476207
1574562939,476207
1574562942,476207
1574562945,476207
1574562948,476207
1574562951,476207
1574562954,476207
1574562957,476207
1574562960,476207
1574562963,476207
1574562966,476207
1574562969,476207
1574562972,476207
1574562975,476207
1574562978,476207
1574562981,476207
1574562984,476207
1574562987,476207
1574562990,476207
1574562993,476207
1574562996,476207
1574562999,476207
1574563002,476207
1574563005,476207
1574563008,476207
1574563011,476207
1574563014,476207
1574563017,476207
