t,value
1574560017,10664512
1574560020,12552512
1574560023,13191744
1574560026,13307392
1574560029,13338176
1574560032,13181696
1574560035,13298432
1574560038,13329920
1574560041,13430464
1574560044,13465280
1574560047,16685184
1574560050,17620224
1574560053,20466240
1574560056,20829760
1574560059,20849536
1574560062,22331136
1574560065,22937728
1574560068,23260352
1574560071,23435008
1574560074,23800768
1574560077,23803712
1574560080,24224064
1574560083,24805248
1574560086,25652160
1574560089,25866176
1574560092,26331200
1574560095,27169600
1574560098,27241536
1574560101,26741952
1574560104,29887552
1574560107,30589760
1574560110,31690560
1574560113,32118144
1574560116,32271424
1574560119,32761536
1574560122,32761536
1574560125,32784832
1574560128,32595648
1574560131,32611840
1574560134,32420160
1574560137,32185152
1574560140,32126912
1574560143,31528576
1574560146,31625472
1574560149,31665856
1574560152,31697152
1574560155,31707072
1574560158,31709696
1574560161,31711808
1574560164,31716352
1574560167,31773504
1574560170,31773504
1574560173,31780416
1574560176,31790912
1574560179,31795456
1574560182,31806976
1574560185,31831296
1574560188,31849280
1574560191,31847680
1574560194,31842176
1574560197,31842176
1574560200,31843072
1574560203,31843072
1574560206,31896704
1574560209,31960320
1574560212,31963648
1574560215,31979072
1574560218,31996288
1574560221,31999616
1574560224,32002176
1574560227,32048320
1574560230,32087744
1574560233,32088512
1574560236,32088512
1574560239,32089152
1574560242,32089152
1574560245,32089152
1574560248,32064704
1574560251,32058240
1574560254,31265984
1574560257,31124928
1574560260,31123072
1574560263,30939968
1574560266,30968896
1574560269,31024256
1574560272,31035200
1574560275,31054976
1574560278,31056640
1574560281,31056640
1574560284,31108224
1574560287,31192128
1574560290,31227136
1574560293,31228224
1574560296,31228992
1574560299,31228992
1574560302,31266880
1574560305,31273600
1574560308,31371264
1574560311,31372032
1574560314,31351424
1574560317,31352128
1574560320,31355008
1574560323,31355008
1574560326,31344320
1574560329,31394240
1574560332,31399360
1574560335,31401024
1574560338,31407936
1574560341,31407936
1574560344,31426560
1574560347,31525696
1574560350,31525696
1574560353,31525696
1574560356,31530496
1574560359,31530496
1574560362,31530496
1574560365,31534080
1574560368,31688000
1574560371,31688000
1574560374,31712192
1574560377,31712192
1574560380,31714112
1574560383,31714112
1574560386,31766592
1574560389,31766592
1574560392,31771200
1574560395,31778944
1574560398,31793280
1574560401,31828736
1574560404,31873728
1574560407,31842880
1574560410,31842880
1574560413,31844288
1574560416,31846592
1574560419,31846592
1574560422,31846592
1574560425,31848960
1574560428,31879808
1574560431,31879808
1574560434,31898432
1574560437,31901824
1574560440,31901824
1574560443,31901824
1574560446,31932864
1574560449,31976000
1574560452,31976000
1574560455,31985920
1574560458,31987264
1574560461,31987264
1574560464,32000704
1574560467,32078720
1574560470,32080384
1574560473,32080384
1574560476,32081216
1574560479,32083328
1574560482,32083328
1574560485,32103872
1574560488,32165568
1574560491,32165568
1574560494,32188992
1574560497,32188992
1574560500,32191872
1574560503,32191872
1574560506,32216320
1574560509,32236096
1574560512,32236096
1574560515,32235136
1574560518,32235136
1574560521,32235136
1574560524,32244160
1574560527,32272704
1574560530,32303232
1574560533,32341696
1574560536,32362048
1574560539,32363904
1574560542,32370368
1574560545,32370368
1574560548,32437056
1574560551,32437888
1574560554,32442624
1574560557,32442624
1574560560,32442624
1574560563,32443584
1574560566,32460928
1574560569,32485440
1574560572,32485440
1574560575,32486144
1574560578,32486144
1574560581,32487872
1574560584,32496320
1574560587,32527744
1574560590,32530112
1574560593,32568256
1574560596,32573248
1574560599,32573248
1574560602,32573248
1574560605,32575808
1574560608,32593664
1574560611,32593664
1574560614,32605120
1574560617,32607360
1574560620,32641152
1574560623,32647104
1574560626,32647104
1574560629,32715392
1574560632,32715392
1574560635,32810240
1574560638,32810240
1574560641,32810240
1574560644,32810240
1574560647,32853504
1574560650,32853504
1574560653,32853504
1574560656,32855872
1574560659,32873536
1574560662,32873536
1574560665,32874432
1574560668,32789504
1574560671,32791616
1574560674,32880768
1574560677,32883712
1574560680,32883712
1574560683,32883712
1574560686,32885056
1574560689,32893184
1574560692,32893184
1574560695,32903104
1574560698,32903104
1574560701,32903104
1574560704,32905728
1574560707,32940032
1574560710,32940032
1574560713,32940032
1574560716,32940032
1574560719,32940032
1574560722,32940032
1574560725,32951872
1574560728,32987776
1574560731,32991552
1574560734,33023296
1574560737,33024320
1574560740,33024320
1574560743,33046912
1574560746,33046912
1574560749,33073408
1574560752,33073408
1574560755,33073408
1574560758,33073408
1574560761,33071232
1574560764,33071232
1574560767,33032704
1574560770,33032704
1574560773,33051328
1574560776,33051328
1574560779,33053568
1574560782,33070976
1574560785,33086272
1574560796,33156096
1574560799,33156096
1574560802,33164288
1574560805,33164288
1574560808,33164288
1574560811,33165184
1574560814,33165184
1574560817,33177856
1574560820,33177856
1574560823,33177856
1574560826,33177856
1574560829,33177856
1574560832,33177856
1574560836,33274112
1574560839,33274112
1574560842,33274112
1574560845,33274112
1574560848,33274112
1574560851,33274112
1574560854,33274112
1574560857,33300096
1574560860,33300096
1574560863,33300160
1574560866,33300160
1574560869,33300160
1574560945,33300160
1574560947,33299264
1574560950,33271552
1574560953,33273792
1574560956,33273792
1574560959,33273792
1574560962,33273792
1574560965,33273792
1574560968,33245504
1574560971,33245504
1574560974,33245504
1574560977,33245504
1574560980,33245504
1574561571,33249856
1574561574,33261952
1574561577,33280064
1574561580,33282048
1574561583,33286592
1574561586,33287680
1574561589,33287680
1574561592,33288384
1574561595,33288384
1574561598,33312000
1574561601,33312000
1574561604,33312000
1574561682,33312000
1574561684,33312000
1574561687,33315584
1574561690,33331840
1574561693,33299904
1574561696,33299904
1574561699,33299904
1574561702,33299904
1574561705,33299904
1574561708,33289280
1574561711,33115072
1574561714,33122176
1574561717,33146752
1574561760,33146752
1574561762,33146752
1574561765,33146752
1574561768,33146752
1574561771,33192640
1574561774,33192640
1574561777,33192640
1574561780,33195776
1574561783,33195776
1574561786,33195776
1574561789,33204032
1574561792,33204032
1574561861,33204928
1574561864,33212416
1574561867,33212416
1574561870,33212416
1574561873,33231232
1574561876,33267648
1574561879,33267648
1574561882,33293696
1574561885,33293696
1574561888,33293696
1574561891,33293696
1574561894,33293696
1574561897,33320128
1574562129,33320128
1574562132,33320768
1574562135,33320768
1574562138,33320768
1574562141,33320768
1574562144,33310208
1574562147,33310208
1574562150,33310208
1574562153,33291136
1574562156,33291456
1574562159,33291456
1574562162,33414592
1574562165,33469504
1574562168,33477952
1574562171,33548928
1574562174,33634624
1574562177,33660288
1574562180,33650624
1574562183,33737920
1574562186,33770880
1574562189,33770880
1574562192,33770880
1574562195,33770880
1574562198,33819968
1574562201,33811776
1574562204,33830016
1574562207,33830016
1574562210,33830016
1574562213,33830016
1574562216,33830016
1574562219,33830016
1574562222,33830016
1574562225,33865408
1574562228,33865408
1574562231,33865408
1574562234,33865408
1574562237,33865408
1574562240,33863104
1574562243,33863744
1574562246,33867840
1574562249,33871104
1574562252,33871104
1574562255,33872640
1574562258,33880704
1574562261,33932608
1574562264,33952960
1574562267,33952960
1574562270,33952960
1574562273,33952960
1574562276,33952960
1574562279,33952960
1574562282,33952960
1574562285,33955264
1574562288,33955264
1574562291,33955264
1574562294,33955264
1574562297,33955264
1574562300,33978560
1574562303,33984576
1574562306,34061056
1574562309,34093632
1574562312,34093632
1574562315,34093632
1574562318,34093632
1574562321,34093632
1574562324,34188992
1574562327,34188992
1574562330,34188992
1574562333,34188992
1574562336,34194368
1574562339,34194368
1574562342,34191744
1574562345,34183872
1574562348,34183872
