t,value
1574560017,7135232
1574560020,9494576
1574560023,10099984
1574560026,10103056
1574560029,10103056
1574560032,10103056
1574560035,10103056
1574560038,10103056
1574560041,10103056
1574560044,10103056
1574560047,10718736
1574560050,10863864
1574560053,11328440
1574560056,11329056
1574560059,11329056
1574560062,11338608
1574560065,11341352
1574560068,11341352
1574560071,11343136
1574560074,11343752
1574560077,11343752
1574560080,11345456
1574560083,11562240
1574560086,11562808
1574560089,11563944
1574560092,11563944
1574560095,11563944
1574560098,11565080
1574560101,11686792
1574560104,12047312
1574560107,12177224
1574560110,12177224
1574560113,12177224
1574560116,12177224
1574560119,12206096
1574560122,12206096
1574560125,12206096
1574560128,12206096
1574560131,12206096
1574560134,12206096
1574560137,12206096
1574560140,12206096
1574560143,12206096
1574560146,12206096
1574560149,12206096
1574560152,12206096
1574560155,12206096
1574560158,12206096
1574560161,12206096
1574560164,12206096
1574560167,12206096
1574560170,12206096
1574560173,12206096
1574560176,12206096
1574560179,12206096
1574560182,12206096
1574560185,12206096
1574560188,12206096
1574560191,12206096
1574560194,12206096
1574560197,12206096
1574560200,12206096
1574560203,12206096
1574560206,12206640
1574560209,12206640
1574560212,12206640
1574560215,12206640
1574560218,12206640
1574560221,12206640
1574560224,12206640
1574560227,12206640
1574560230,12206640
1574560233,12206640
1574560236,12206640
1574560239,12206640
1574560242,12206640
1574560245,12206640
1574560248,12206640
1574560251,12206640
1574560254,12206640
1574560257,12206640
1574560260,12206640
1574560263,12206640
1574560266,12206640
1574560269,12206640
1574560272,12206640
1574560275,12206640
1574560278,12206640
1574560281,12206640
1574560284,12206640
1574560287,12206640
1574560290,12206640
1574560293,12206640
1574560296,12206640
1574560299,12206640
1574560302,12206640
1574560305,12206640
1574560308,12206640
1574560311,12206640
1574560314,12206640
1574560317,12206640
1574560320,12206640
1574560323,12206640
1574560326,12206640
1574560329,12206640
1574560332,12206640
1574560335,12206640
1574560338,12206640
1574560341,12206640
1574560344,12206640
1574560347,12206640
1574560350,12206640
1574560353,12206640
1574560356,12206640
1574560359,12206640
1574560362,12206640
1574560365,12206640
1574560368,12206640
1574560371,12206640
1574560374,12206640
1574560377,12206640
1574560380,12206640
1574560383,12206640
1574560386,12206640
1574560389,12206640
1574560392,12206640
1574560395,12206640
1574560398,12206640
1574560401,12206640
1574560404,12206640
1574560407,12206640
1574560410,12206640
1574560413,12206640
1574560416,12206640
1574560419,12206640
1574560422,12206640
1574560425,12206640
1574560428,12206640
1574560431,12206640
1574560434,12206640
1574560437,12206640
1574560440,12206640
1574560443,12206640
1574560446,12206640
1574560449,12206640
1574560452,12206640
1574560455,12206640
1574560458,12206640
1574560461,12206640
1574560464,12206640
1574560467,12206640
1574560470,12206640
1574560473,12206640
1574560476,12206640
1574560479,12206640
1574560482,12206640
1574560485,12206640
1574560488,12206640
1574560491,12206640
1574560494,12206640
1574560497,12206640
1574560500,12206640
1574560503,12206640
1574560506,12206640
1574560509,12206640
1574560512,12206640
1574560515,12206640
1574560518,12206640
1574560521,12206640
1574560524,12206640
1574560527,12207184
1574560530,12207184
1574560533,12207184
1574560536,12207184
1574560539,12207184
1574560542,12207184
1574560545,12207184
1574560548,12207184
1574560551,12207184
1574560554,12207184
1574560557,12207184
1574560560,12207184
1574560563,12207184
1574560566,12207728
1574560569,12207728
1574560572,12207728
1574560575,12207728
1574560578,12207728
1574560581,12207728
1574560584,12207728
1574560587,12207728
