t,value
1574560017,238026752
1574560020,121634816
1574560023,176160768
1574560026,178257920
1574560029,179306496
1574560032,180355072
1574560035,180355072
1574560038,181403648
1574560041,182452224
1574560044,182452224
1574560047,274726912
1574560050,2097152
1574560053,62914560
1574560056,71303168
1574560059,72351744
1574560062,88080384
1574560065,100663296
1574560068,106954752
1574560071,111149056
1574560074,119537664
1574560077,119537664
1574560080,128974848
1574560083,156237824
1574560086,186646528
1574560089,211812352
1574560092,236978176
1574560095,263192576
1574560098,8388608
1574560101,23068672
1574560104,277872640
1574560107,206569472
1574560110,233832448
1574560113,240123904
1574560116,244318208
1574560119,270532608
1574560122,271581184
1574560125,271581184
1574560128,275775488
1574560131,276824064
1574560134,277872640
1574560137,277872640
1574560140,278921216
1574560143,279969792
1574560146,284164096
1574560149,284164096
1574560152,285212672
1574560155,285212672
1574560158,286261248
1574560161,287309824
1574560164,287309824
1574560167,291504128
1574560170,292552704
1574560173,293601280
1574560176,293601280
1574560179,294649856
1574560182,294649856
1574560185,295698432
1574560188,2097152
1574560191,2097152
1574560194,3145728
1574560197,4194304
1574560200,5242880
1574560203,6291456
1574560206,9437184
1574560209,10485760
1574560212,11534336
1574560215,11534336
1574560218,12582912
1574560221,12582912
1574560224,13631488
1574560227,17825792
1574560230,18874368
1574560233,19922944
1574560236,19922944
1574560239,20971520
1574560242,20971520
1574560245,22020096
1574560248,26214400
1574560251,26214400
1574560254,27262976
1574560257,28311552
1574560260,28311552
1574560263,29360128
1574560266,33554432
1574560269,34603008
1574560272,35651584
1574560275,35651584
1574560278,36700160
1574560281,36700160
1574560284,37748736
1574560287,41943040
1574560290,41943040
1574560293,42991616
1574560296,44040192
1574560299,44040192
1574560302,45088768
1574560305,45088768
1574560308,50331648
1574560311,50331648
1574560314,51380224
1574560317,52428800
1574560320,52428800
1574560323,53477376
1574560326,57671680
1574560329,58720256
1574560332,58720256
1574560335,59768832
1574560338,59768832
1574560341,60817408
1574560344,61865984
1574560347,66060288
1574560350,66060288
1574560353,67108864
1574560356,67108864
1574560359,68157440
1574560362,68157440
1574560365,69206016
1574560368,73400320
1574560371,73400320
1574560374,74448896
1574560377,75497472
1574560380,75497472
1574560383,76546048
1574560386,81788928
1574560389,81788928
1574560392,82837504
1574560395,82837504
1574560398,83886080
1574560401,83886080
1574560404,84934656
1574560407,89128960
1574560410,90177536
1574560413,90177536
1574560416,91226112
1574560419,91226112
1574560422,92274688
1574560425,92274688
1574560428,96468992
1574560431,97517568
1574560434,98566144
1574560437,98566144
1574560440,99614720
1574560443,100663296
1574560446,104857600
1574560449,104857600
