t,value
1574560017,4963848
1574560020,5955592
1574560023,5955592
1574560026,5955592
1574560029,5955592
1574560032,5955592
1574560035,5955592
1574560038,5955592
1574560041,5955592
1574560044,5955592
1574560047,5955592
1574560050,7687176
1574560053,16075800
1574560056,24464424
1574560059,24464424
1574560062,32853048
1574560065,32853048
1574560068,32853048
1574560071,41241672
1574560074,49630296
1574560077,49630296
1574560080,58018920
1574560083,58018920
1574560086,58018920
1574560089,58018920
1574560092,58018920
1574560095,58018920
1574560098,21463560
1574560101,21463560
1574560104,28803608
1574560107,30376464
1574560110,37716512
1574560113,37716512
1574560116,46105136
1574560119,54493760
1574560122,54493760
1574560125,54493760
1574560128,54493760
1574560131,54493760
1574560134,54493760
1574560137,54493760
1574560140,54493760
1574560143,54493760
1574560146,54493760
1574560149,54493760
1574560152,54493760
1574560155,54493760
1574560158,54493760
1574560161,54493760
1574560164,54493760
1574560167,54493760
1574560170,54493760
1574560173,54493760
1574560176,54493760
1574560179,54493760
1574560182,54493760
1574560185,54493760
1574560188,21987840
1574560191,21987840
1574560194,21987840
1574560197,21987840
1574560200,21987840
1574560203,21987840
1574560206,21987840
1574560209,21987840
1574560212,21987840
1574560215,21987840
1574560218,21987840
1574560221,21987840
1574560224,21987840
1574560227,21987840
1574560230,21987840
1574560233,21987840
1574560236,21987840
1574560239,21987840
1574560242,21987840
1574560245,21987840
1574560248,21987840
1574560251,21987840
1574560254,21987840
1574560257,21987840
1574560260,21987840
1574560263,21987840
1574560266,21987840
1574560269,21987840
1574560272,21987840
1574560275,21987840
1574560278,21987840
1574560281,21987840
1574560284,21987840
1574560287,21987840
1574560290,21987840
1574560293,21987840
1574560296,21987840
1574560299,21987840
1574560302,21987840
1574560305,21987840
1574560308,21987840
1574560311,21987840
1574560314,21987840
1574560317,21987840
1574560320,21987840
1574560323,21987840
1574560326,21987840
1574560329,21987840
1574560332,21987840
1574560335,21987840
1574560338,21987840
1574560341,21987840
1574560344,21987840
1574560347,21987840
1574560350,21987840
1574560353,21987840
1574560356,21987840
1574560359,21987840
1574560362,21987840
1574560365,21987840
1574560368,21987840
1574560371,21987840
1574560374,21987840
1574560377,21987840
1574560380,21987840
1574560383,21987840
1574560386,21987840
1574560389,21987840
1574560392,21987840
1574560395,21987840
1574560398,21987840
1574560401,21987840
1574560404,21987840
1574560407,21987840
1574560410,21987840
1574560413,21987840
1574560416,21987840
1574560419,21987840
1574560422,21987840
1574560425,21987840
1574560428,21987840
1574560431,21987840
1574560434,21987840
1574560437,21987840
1574560440,21987840
1574560443,21987840
1574560446,21987840
1574560449,21987840
1574560452,21987840
1574560455,21987840
1574560458,21987840
1574560461,21987840
1574560464,21987840
1574560467,21987840
1574560470,21987840
1574560473,21987840
1574560476,21987840
1574560479,21987840
1574560482,21987840
1574560485,21987840
1574560488,21987840
1574560491,21987840
1574560494,21987840
1574560497,21987840
1574560500,21987840
1574560503,21987840
1574560506,21987840
1574560509,21987840
1574560512,21987840
1574560515,21987840
1574560518,21987840
1574560521,21987840
1574560524,21987840
1574560527,21987840
1574560530,21987840
1574560533,21987840
1574560536,21987840
1574560539,21987840
1574560542,21987840
1574560545,21987840
1574560548,21987840
1574560551,21987840
1574560554,21987840
1574560557,21987840
1574560560,21987840
1574560563,21987840
1574560566,21987840
1574560569,21987840
1574560572,21987840
1574560575,21987840
1574560578,21987840
1574560581,21987840
1574560584,21987840
1574560587,21987840
1574560590,21987840
1574560593,21987840
1574560596,21987840
1574560599,21987840
