t,value
1574560017,18874368
1574560020,29360128
1574560023,29360128
1574560026,29360128
1574560029,29360128
1574560032,29360128
1574560035,29360128
1574560038,29360128
1574560041,29360128
1574560044,29360128
1574560047,29360128
1574560050,39845888
1574560053,39845888
1574560056,39845888
1574560059,39845888
1574560062,39845888
1574560065,39845888
1574560068,39845888
1574560071,39845888
1574560074,39845888
1574560077,39845888
1574560080,39845888
1574560083,39845888
1574560086,39845888
1574560089,39845888
1574560092,39845888
1574560095,39845888
1574560098,23068672
1574560101,23068672
1574560104,23068672
1574560107,22020096
1574560110,22020096
1574560113,22020096
1574560116,22020096
1574560119,22020096
1574560122,22020096
1574560125,22020096
1574560128,22020096
1574560131,22020096
1574560134,22020096
1574560137,22020096
1574560140,22020096
1574560143,22020096
1574560146,22020096
1574560149,22020096
1574560152,22020096
1574560155,22020096
1574560158,22020096
1574560161,22020096
1574560164,22020096
1574560167,22020096
1574560170,22020096
1574560173,22020096
1574560176,22020096
1574560179,22020096
1574560182,22020096
1574560185,22020096
1574560188,20971520
1574560191,20971520
1574560194,20971520
1574560197,20971520
1574560200,20971520
1574560203,20971520
1574560206,20971520
1574560209,20971520
1574560212,20971520
1574560215,20971520
1574560218,20971520
1574560221,20971520
1574560224,20971520
1574560227,20971520
1574560230,20971520
1574560233,20971520
1574560236,20971520
1574560239,20971520
1574560242,20971520
1574560245,20971520
1574560248,20971520
1574560251,20971520
1574560254,20971520
1574560257,20971520
1574560260,20971520
1574560263,20971520
1574560266,20971520
1574560269,20971520
1574560272,20971520
1574560275,20971520
1574560278,20971520
1574560281,20971520
1574560284,20971520
1574560287,20971520
1574560290,20971520
1574560293,20971520
1574560296,20971520
1574560299,20971520
1574560302,20971520
1574560305,20971520
1574560308,20971520
1574560311,20971520
1574560314,20971520
1574560317,20971520
1574560320,20971520
1574560323,20971520
1574560326,20971520
1574560329,20971520
1574560332,20971520
1574560335,20971520
1574560338,20971520
1574560341,20971520
1574560344,20971520
1574560347,20971520
1574560350,20971520
1574560353,20971520
1574560356,20971520
1574560359,20971520
1574560362,20971520
1574560365,20971520
1574560368,20971520
1574560371,20971520
1574560374,20971520
1574560377,20971520
1574560380,20971520
1574560383,20971520
1574560386,20971520
1574560389,20971520
1574560392,20971520
1574560395,20971520
1574560398,20971520
1574560401,20971520
1574560404,20971520
1574560407,20971520
1574560410,20971520
1574560413,20971520
1574560416,20971520
1574560419,20971520
1574560422,20971520
1574560425,20971520
1574560428,20971520
1574560431,20971520
1574560434,20971520
1574560437,20971520
1574560440,20971520
1574560443,20971520
1574560446,20971520
1574560449,20971520
1574560452,20971520
1574560455,20971520
1574560458,20971520
1574560461,20971520
1574560464,20971520
1574560467,20971520
1574560470,20971520
1574560473,20971520
1574560476,20971520
1574560479,20971520
1574560482,20971520
1574560485,20971520
1574560488,20971520
1574560491,20971520
1574560494,20971520
1574560497,20971520
1574560500,20971520
1574560503,20971520
1574560506,20971520
1574560509,20971520
1574560512,20971520
1574560515,20971520
1574560518,20971520
1574560521,20971520
1574560524,20971520
1574560527,20971520
1574560530,20971520
1574560533,20971520
1574560536,20971520
1574560539,20971520
1574560542,20971520
1574560545,20971520
1574560548,20971520
1574560551,20971520
1574560554,20971520
1574560557,20971520
1574560560,20971520
1574560563,20971520
1574560566,20971520
1574560569,20971520
1574560572,20971520
1574560575,20971520
1574560578,20971520
1574560581,20971520
1574560584,20971520
1574560587,20971520
1574560590,20971520
1574560593,20971520
1574560596,20971520
1574560599,20971520
1574560602,20971520
1574560605,20971520
1574560608,20971520
1574560611,20971520
1574560614,20971520
1574560617,20971520
1574560620,20971520
1574560623,20971520
1574560626,20971520
1574560629,20971520
1574560632,20971520
1574560635,20971520
1574560638,20971520
1574560641,20971520
1574560644,20971520
1574560647,20971520
1574560650,20971520
1574560653,20971520
1574560656,20971520
1574560659,20971520
1574560662,20971520
1574560665,20971520
1574560668,20971520
1574560671,20971520
1574560674,20971520
1574560677,20971520
1574560680,20971520
1574560683,20971520
1574560686,20971520
1574560689,20971520
1574560692,20971520
1574560695,20971520
1574560698,20971520
1574560701,20971520
1574560704,20971520
1574560707,20971520
1574560710,20971520
1574560713,20971520
1574560716,20971520
1574560719,20971520
1574560722,20971520
1574560725,20971520
1574560728,20971520
1574560731,20971520
1574560734,20971520
1574560737,20971520
1574560740,20971520
1574560743,20971520
1574560746,20971520
1574560749,20971520
1574560752,20971520
1574560755,20971520
1574560758,20971520
1574560761,20971520
1574560764,20971520
1574560767,20971520
1574560770,20971520
1574560773,20971520
1574560776,20971520
1574560779,20971520
1574560782,20971520
1574560785,20971520
1574560796,20971520
1574560799,20971520
1574560802,20971520
1574560805,20971520
1574560808,20971520
1574560811,20971520
1574560814,20971520
1574560817,20971520
1574560820,20971520
1574560823,20971520
1574560826,20971520
1574560829,20971520
1574560832,20971520
1574560836,20971520
1574560839,20971520
1574560842,20971520
1574560845,20971520
1574560848,20971520
1574560851,20971520
1574560854,20971520
1574560857,20971520
1574560860,20971520
1574560863,20971520
1574560866,20971520
1574560869,20971520
1574560945,20971520
1574560947,20971520
1574560950,20971520
1574560953,20971520
1574560956,20971520
1574560959,20971520
1574560962,20971520
1574560965,20971520
1574560968,20971520
1574560971,20971520
1574560974,20971520
1574560977,20971520
1574560980,20971520
1574561571,20971520
1574561574,20971520
1574561577,20971520
1574561580,20971520
1574561583,20971520
1574561586,20971520
1574561589,20971520
1574561592,20971520
1574561595,20971520
1574561598,20971520
1574561601,20971520
1574561604,20971520
1574561682,20971520
1574561684,20971520
1574561687,20971520
1574561690,20971520
1574561693,20971520
1574561696,20971520
1574561699,20971520
1574561702,20971520
1574561705,20971520
1574561708,20971520
1574561711,20971520
1574561714,20971520
1574561717,20971520
1574561760,20971520
1574561762,20971520
1574561765,20971520
1574561768,20971520
1574561771,20971520
1574561774,20971520
1574561777,20971520
1574561780,20971520
1574561783,20971520
1574561786,20971520
1574561789,20971520
1574561792,20971520
1574561861,20971520
1574561864,20971520
1574561867,20971520
1574561870,20971520
1574561873,20971520
1574561876,20971520
1574561879,20971520
1574561882,20971520
1574561885,20971520
1574561888,20971520
1574561891,20971520
1574561894,20971520
1574561897,20971520
1574562129,20971520
1574562132,20971520
1574562135,20971520
1574562138,20971520
1574562141,20971520
1574562144,20971520
1574562147,20971520
1574562150,20971520
1574562153,20971520
1574562156,20971520
1574562159,20971520
1574562162,20971520
1574562165,20971520
1574562168,20971520
1574562171,20971520
1574562174,20971520
1574562177,20971520
1574562180,20971520
1574562183,20971520
1574562186,20971520
1574562189,20971520
1574562192,20971520
1574562195,20971520
1574562198,20971520
1574562201,20971520
1574562204,20971520
1574562207,20971520
1574562210,20971520
1574562213,20971520
1574562216,20971520
1574562219,20971520
1574562222,20971520
1574562225,20971520
1574562228,20971520
1574562231,20971520
1574562234,20971520
1574562237,20971520
1574562240,20971520
1574562243,20971520
1574562246,20971520
1574562249,20971520
1574562252,20971520
1574562255,20971520
1574562258,20971520
1574562261,20971520
1574562264,20971520
1574562267,20971520
1574562270,20971520
1574562273,20971520
1574562276,20971520
1574562279,20971520
1574562282,20971520
1574562285,20971520
1574562288,20971520
1574562291,20971520
1574562294,20971520
1574562297,20971520
1574562300,20971520
1574562303,20971520
1574562306,20971520
1574562309,20971520
1574562312,20971520
1574562315,20971520
1574562318,20971520
1574562321,20971520
1574562324,20971520
1574562327,20971520
1574562330,20971520
1574562333,20971520
1574562336,20971520
1574562339,20971520
1574562342,20971520
1574562345,20971520
1574562348,20971520
1574562351,20971520
1574562354,20971520
1574562357,20971520
1574562360,20971520
1574562363,20971520
1574562366,20971520
1574562369,20971520
1574562372,20971520
1574562375,20971520
1574562378,20971520
1574562381,20971520
1574562384,20971520
1574562387,20971520
1574562390,20971520
1574562393,20971520
1574562396,20971520
1574562399,20971520
1574562402,20971520
1574562405,20971520
1574562408,20971520
1574562411,20971520
1574562414,20971520
1574562417,20971520
1574562420,20971520
1574562423,20971520
1574562426,20971520
1574562429,20971520
1574562432,20971520
1574562435,20971520
1574562438,20971520
1574562441,20971520
1574562444,20971520
1574562447,20971520
1574562450,20971520
1574562453,20971520
1574562456,20971520
1574562459,20971520
1574562462,20971520
1574562465,20971520
1574562468,20971520
1574562471,20971520
1574562474,20971520
1574562477,20971520
1574562480,20971520
1574562483,20971520
1574562486,20971520
1574562489,20971520
1574562492,20971520
1574562495,20971520
1574562498,20971520
1574562501,20971520
1574562504,23068672
1574562507,23068672
1574562510,23068672
1574562513,23068672
1574562516,23068672
1574562519,23068672
1574562522,23068672
1574562525,23068672
1574562528,23068672
1574562531,23068672
1574562534,23068672
1574562537,23068672
1574562540,23068672
1574562543,23068672
1574562546,23068672
1574562549,23068672
1574562552,23068672
1574562555,23068672
1574562558,23068672
1574562561,23068672
1574562564,23068672
1574562567,23068672
1574562570,23068672
1574562573,23068672
1574562576,23068672
1574562579,23068672
1574562582,23068672
1574562585,23068672
1574562588,23068672
1574562591,23068672
1574562594,23068672
1574562597,23068672
1574562600,23068672
1574562603,23068672
1574562606,23068672
1574562609,23068672
1574562612,23068672
1574562615,23068672
1574562618,23068672
1574562621,23068672
1574562624,23068672
1574562627,23068672
1574562630,23068672
1574562633,23068672
1574562636,23068672
1574562639,23068672
1574562642,23068672
1574562645,23068672
1574562648,23068672
1574562651,23068672
1574562654,23068672
1574562657,23068672
1574562660,23068672
1574562663,23068672
1574562666,23068672
1574562669,23068672
1574562672,23068672
1574562675,23068672
1574562678,23068672
1574562681,23068672
1574562684,23068672
1574562687,23068672
1574562690,23068672
1574562693,23068672
1574562696,23068672
1574562699,23068672
1574562702,23068672
1574562705,23068672
1574562708,23068672
1574562711,23068672
1574562714,23068672
1574562717,23068672
1574562720,23068672
1574562723,23068672
1574562726,23068672
1574562729,23068672
1574562732,23068672
1574562735,23068672
1574562738,23068672
1574562741,23068672
1574562744,23068672
1574562747,23068672
1574562750,23068672
1574562753,23068672
1574562756,23068672
1574562759,23068672
1574562762,23068672
1574562765,23068672
1574562768,23068672
1574562771,23068672
1574562774,23068672
1574562777,23068672
1574562780,23068672
1574562783,23068672
1574562786,23068672
1574562789,23068672
1574562792,23068672
1574562795,23068672
1574562798,23068672
1574562801,23068672
1574562804,23068672
1574562807,23068672
1574562810,23068672
1574562813,23068672
1574562816,23068672
1574562819,23068672
1574562822,23068672
1574562825,23068672
1574562828,23068672
1574562831,23068672
1574562834,23068672
1574562837,23068672
1574562840,23068672
1574562843,23068672
1574562846,23068672
1574562849,23068672
1574562852,23068672
1574562855,23068672
1574562858,23068672
1574562861,23068672
1574562864,23068672
1574562867,23068672
1574562870,23068672
1574562873,23068672
1574562876,23068672
1574562879,23068672
1574562882,23068672
1574562885,23068672
1574562888,23068672
1574562891,23068672
1574562894,23068672
1574562897,23068672
1574562900,23068672
1574562903,23068672
1574562906,23068672
1574562909,23068672
1574562912,23068672
1574562915,23068672
1574562918,23068672
1574562921,23068672
1574562924,23068672
1574562927,23068672
1574562930,23068672
1574562933,23068672
1574562936,23068672
1574562939,23068672
1574562942,23068672
1574562945,23068672
1574562948,23068672
1574562951,23068672
1574562954,23068672
1574562957,23068672
1574562960,23068672
1574562963,23068672
1574562966,23068672
1574562969,23068672
1574562972,23068672
1574562975,23068672
1574562978,23068672
1574562981,23068672
1574562984,23068672
1574562987,23068672
1574562990,23068672
1574562993,23068672
1574562996,23068672
1574562999,23068672
1574563002,23068672
1574563005,23068672
1574563008,23068672
1574563011,23068672
1574563014,23068672
1574563017,23068672
1574563020,23068672
1574563023,23068672
1574563026,23068672
1574563029,23068672
1574563032,22020096
1574563035,22020096
1574563038,22020096
1574563041,22020096
1574563044,22020096
1574563047,22020096
1574563050,22020096
1574563053,22020096
1574563056,22020096
1574563059,22020096
1574563062,22020096
1574563065,22020096
1574563068,22020096
1574563071,22020096
1574563074,22020096
1574563077,22020096
1574563080,22020096
1574563083,22020096
1574563086,22020096
1574563089,22020096
1574563092,22020096
1574563095,22020096
1574563098,22020096
1574563101,22020096
1574563104,22020096
1574563107,22020096
1574563110,22020096
1574563113,22020096
1574563116,22020096
1574563119,22020096
1574563122,22020096
1574563125,22020096
1574563128,22020096
1574563131,22020096
1574563134,22020096
1574563137,22020096
1574563140,22020096
1574563143,22020096
1574563146,22020096
1574563149,22020096
1574563152,22020096
1574563155,22020096
1574563158,22020096
1574563161,22020096
1574563164,22020096
1574563167,22020096
1574563170,22020096
1574563173,22020096
1574563176,22020096
1574563179,22020096
1574563182,22020096
1574563185,22020096
1574563188,22020096
1574563191,22020096
1574563194,22020096
1574563197,22020096
1574563200,22020096
1574563203,22020096
1574563206,22020096
1574563209,22020096
1574563212,22020096
1574563215,22020096
1574563218,22020096
1574563221,22020096
1574563224,22020096
1574563227,22020096
1574563230,22020096
1574563233,22020096
1574563236,22020096
1574563239,22020096
1574563242,22020096
1574563245,22020096
1574563248,22020096
1574563251,22020096
1574563254,22020096
1574563257,22020096
1574563260,22020096
1574563263,22020096
1574563266,22020096
1574563269,22020096
1574563272,22020096
1574563275,22020096
1574563278,22020096
1574563281,22020096
1574563284,22020096
1574563287,22020096
1574563290,22020096
1574563293,22020096
1574563296,22020096
1574563299,22020096
1574563302,22020096
1574563305,22020096
1574563308,22020096
1574563311,22020096
1574563314,22020096
1574563317,22020096
1574563320,22020096
1574563323,22020096
1574563326,22020096
1574563329,22020096
1574563332,22020096
1574563335,22020096
1574563338,22020096
1574563341,22020096
1574563344,22020096
1574563347,22020096
1574563350,22020096
1574563353,22020096
1574563356,22020096
1574563359,22020096
1574563362,22020096
1574563365,22020096
1574563368,22020096
1574563371,22020096
1574563374,22020096
1574563377,22020096
1574563380,22020096
1574563383,22020096
1574563386,22020096
1574563389,22020096
1574563392,22020096
1574563395,22020096
1574563398,22020096
1574563401,22020096
1574563404,22020096
1574563407,22020096
1574563410,22020096
1574563413,22020096
1574563416,22020096
1574563419,22020096
1574563422,22020096
1574563425,22020096
1574563428,22020096
1574563431,22020096
1574563434,22020096
1574563437,22020096
1574563440,22020096
1574563443,22020096
1574563446,22020096
1574563449,22020096
1574563452,22020096
1574563455,22020096
1574563458,22020096
1574563461,22020096
1574563464,22020096
1574563467,22020096
1574563470,22020096
1574563473,22020096
1574563476,22020096
1574563479,22020096
1574563482,22020096
1574563485,22020096
1574563488,22020096
1574563491,22020096
