t,value
1574560017,48809504
1574560020,64906752
1574560023,69159424
1574560026,69196016
1574560029,69205552
1574560032,69211792
1574560035,69226216
1574560038,69231264
1574560041,69250888
1574560044,69254832
1574560047,73223896
1574560050,74179192
1574560053,77532056
1574560056,77645448
1574560059,77648440
1574560062,77865512
1574560065,77964352
1574560068,78026288
1574560071,78075024
1574560074,78129192
1574560077,78129664
1574560080,78202664
1574560083,79688720
1574560086,79839152
1574560089,79941792
1574560092,80074672
1574560095,80244864
1574560098,80351128
1574560101,80868688
1574560104,82818824
1574560107,83606664
1574560110,83764488
1574560113,83834840
1574560116,83855704
1574560119,84064088
1574560122,84064088
1574560125,84070552
1574560128,84077576
1574560131,84077576
1574560134,84080488
1574560137,84081352
1574560140,84082032
1574560143,84086288
1574560146,84109808
1574560149,84114456
1574560152,84119320
1574560155,84119872
1574560158,84120328
1574560161,84120624
1574560164,84122256
1574560167,84130176
1574560170,84130176
1574560173,84131680
1574560176,84134528
1574560179,84137760
1574560182,84145264
1574560185,84147688
1574560188,84166152
1574560191,84168824
1574560194,84169800
1574560197,84169800
1574560200,84169800
1574560203,84169800
1574560206,84180840
1574560209,84191600
1574560212,84192472
1574560215,84194992
1574560218,84198552
1574560221,84198848
1574560224,84198848
1574560227,84209624
1574560230,84209624
1574560233,84209624
1574560236,84209624
1574560239,84209624
1574560242,84209624
1574560245,84209624
1574560248,84223600
1574560251,84224376
1574560254,84225592
1574560257,84225968
1574560260,84225968
1574560263,84228368
1574560266,84232696
1574560269,84244688
1574560272,84247496
1574560275,84252840
1574560278,84252840
1574560281,84252840
1574560284,84253600
1574560287,84268008
1574560290,84271288
1574560293,84271608
1574560296,84271608
1574560299,84271608
1574560302,84271608
1574560305,84271608
1574560308,84285184
1574560311,84285184
1574560314,84287352
1574560317,84287352
1574560320,84288032
1574560323,84288032
1574560326,84292432
1574560329,84302024
1574560332,84302024
1574560335,84302576
1574560338,84302576
1574560341,84302576
1574560344,84302576
1574560347,84317880
1574560350,84317880
1574560353,84317880
1574560356,84317880
1574560359,84317880
1574560362,84317880
1574560365,84318624
1574560368,84342472
1574560371,84342472
1574560374,84350608
1574560377,84350608
1574560380,84351128
1574560383,84351128
1574560386,84355000
1574560389,84355000
1574560392,84355000
1574560395,84357088
