t,value
1574560017,24
1574560020,37
1574560023,46
1574560026,48
1574560029,47
1574560032,46
1574560035,46
1574560038,46
1574560041,46
1574560044,46
1574560047,50
1574560050,50
1574560053,50
1574560056,50
1574560059,50
1574560062,50
1574560065,50
1574560068,52
1574560071,51
1574560074,52
1574560077,52
1574560080,52
1574560083,51
1574560086,51
1574560089,51
1574560092,51
1574560095,51
1574560098,53
1574560101,52
1574560104,52
1574560107,52
1574560110,52
1574560113,52
1574560116,52
1574560119,52
1574560122,51
1574560125,50
1574560128,49
1574560131,49
1574560134,49
1574560137,48
1574560140,48
1574560143,47
1574560146,48
1574560149,48
1574560152,48
1574560155,47
1574560158,46
1574560161,46
1574560164,46
1574560167,47
1574560170,47
1574560173,47
1574560176,46
1574560179,46
1574560182,46
1574560185,46
1574560188,48
1574560191,48
1574560194,47
1574560197,47
1574560200,47
1574560203,45
1574560206,46
1574560209,46
1574560212,46
1574560215,45
1574560218,45
1574560221,45
1574560224,45
1574560227,47
1574560230,47
1574560233,46
1574560236,46
1574560239,46
1574560242,45
1574560245,45
1574560248,47
1574560251,47
1574560254,46
1574560257,46
1574560260,46
1574560263,45
1574560266,46
1574560269,46
1574560272,46
1574560275,45
1574560278,45
1574560281,45
1574560284,45
1574560287,47
1574560290,47
1574560293,46
1574560296,46
1574560299,46
1574560302,45
1574560305,45
1574560308,47
1574560311,47
1574560314,46
1574560317,46
1574560320,46
1574560323,45
1574560326,46
1574560329,46
1574560332,46
1574560335,45
1574560338,45
1574560341,45
1574560344,45
1574560347,46
1574560350,46
1574560353,46
1574560356,45
1574560359,45
1574560362,45
1574560365,45
1574560368,46
1574560371,46
1574560374,46
1574560377,45
1574560380,45
1574560383,45
1574560386,47
1574560389,47
1574560392,47
1574560395,46
1574560398,46
1574560401,45
1574560404,45
1574560407,47
1574560410,47
1574560413,46
1574560416,46
1574560419,46
1574560422,45
1574560425,45
1574560428,46
1574560431,46
1574560434,46
1574560437,45
1574560440,45
1574560443,45
1574560446,47
1574560449,47
1574560452,47
1574560455,46
1574560458,46
1574560461,45
1574560464,45
1574560467,47
1574560470,47
1574560473,46
1574560476,46
1574560479,46
1574560482,45
1574560485,45
1574560488,46
1574560491,46
1574560494,46
1574560497,45
1574560500,45
1574560503,45
1574560506,46
1574560509,46
1574560512,46
1574560515,45
1574560518,45
1574560521,45
1574560524,45
1574560527,46
1574560530,46
1574560533,46
1574560536,45
1574560539,45
1574560542,45
1574560545,45
1574560548,46
1574560551,46
