t,value
1574560017,27
1574560020,40
1574560023,49
1574560026,51
1574560029,50
1574560032,49
1574560035,49
1574560038,49
1574560041,49
1574560044,49
1574560047,53
1574560050,53
1574560053,53
1574560056,53
1574560059,53
1574560062,53
1574560065,53
1574560068,55
1574560071,54
1574560074,55
1574560077,55
1574560080,55
1574560083,54
1574560086,54
1574560089,54
1574560092,54
1574560095,54
1574560098,56
1574560101,55
1574560104,55
1574560107,55
1574560110,55
1574560113,55
1574560116,55
1574560119,55
1574560122,54
1574560125,53
1574560128,52
1574560131,52
1574560134,52
1574560137,51
1574560140,51
1574560143,50
1574560146,51
1574560149,51
1574560152,51
1574560155,50
1574560158,49
1574560161,49
1574560164,49
1574560167,50
1574560170,50
1574560173,50
1574560176,49
1574560179,49
1574560182,49
1574560185,49
1574560188,51
1574560191,51
1574560194,50
1574560197,50
1574560200,50
1574560203,48
1574560206,49
1574560209,49
1574560212,49
1574560215,48
1574560218,48
1574560221,48
1574560224,48
1574560227,50
1574560230,50
1574560233,49
1574560236,49
1574560239,49
1574560242,48
1574560245,48
1574560248,50
1574560251,50
1574560254,49
1574560257,49
1574560260,49
1574560263,48
1574560266,49
1574560269,49
1574560272,49
1574560275,48
1574560278,48
1574560281,48
1574560284,48
1574560287,50
1574560290,50
1574560293,49
1574560296,49
1574560299,49
1574560302,48
1574560305,48
1574560308,50
1574560311,50
1574560314,49
1574560317,49
1574560320,49
1574560323,48
1574560326,49
1574560329,49
1574560332,49
1574560335,48
1574560338,48
1574560341,48
1574560344,48
1574560347,49
1574560350,49
1574560353,49
1574560356,48
1574560359,48
1574560362,48
1574560365,48
1574560368,49
1574560371,49
1574560374,49
1574560377,48
1574560380,48
1574560383,48
1574560386,50
1574560389,50
1574560392,50
1574560395,49
1574560398,49
1574560401,48
1574560404,48
1574560407,50
1574560410,50
1574560413,49
1574560416,49
1574560419,49
1574560422,48
1574560425,48
1574560428,49
1574560431,49
1574560434,49
1574560437,48
1574560440,48
1574560443,48
1574560446,50
1574560449,50
1574560452,50
1574560455,49
1574560458,49
1574560461,48
1574560464,48
1574560467,50
1574560470,50
1574560473,49
1574560476,49
1574560479,49
1574560482,48
1574560485,48
1574560488,49
1574560491,49
1574560494,49
1574560497,48
1574560500,48
1574560503,48
1574560506,49
1574560509,49
1574560512,49
1574560515,48
1574560518,48
1574560521,48
1574560524,48
1574560527,49
1574560530,49
1574560533,49
1574560536,48
1574560539,48
1574560542,48
1574560545,48
1574560548,49
1574560551,49
1574560554,49
1574560557,48
1574560560,48
1574560563,48
1574560566,49
1574560569,49
1574560572,49
1574560575,48
1574560578,48
1574560581,48
1574560584,48
1574560587,49
1574560590,49
1574560593,49
1574560596,48
1574560599,48
1574560602,48
1574560605,48
1574560608,50
1574560611,50
1574560614,49
1574560617,50
1574560620,49
1574560623,48
1574560626,48
1574560629,50
1574560632,50
1574560635,49
1574560638,49
1574560641,48
1574560644,48
1574560647,50
1574560650,50
1574560653,49
1574560656,49
1574560659,49
1574560662,48
1574560665,48
1574560668,50
1574560671,50
1574560674,49
1574560677,49
1574560680,49
1574560683,48
1574560686,48
1574560689,50
1574560692,50
1574560695,49
1574560698,49
1574560701,48
1574560704,48
1574560707,49
1574560710,49
1574560713,49
1574560716,48
1574560719,48
1574560722,48
1574560725,48
1574560728,49
1574560731,49
1574560734,49
1574560737,48
1574560740,48
1574560743,48
1574560746,48
1574560749,49
1574560752,49
1574560755,48
1574560758,48
1574560761,48
1574560764,48
1574560767,49
1574560770,49
1574560773,49
1574560776,48
1574560779,48
1574560782,48
1574560785,48
1574560796,49
1574560799,49
1574560802,49
1574560805,48
1574560808,48
1574560811,48
1574560814,48
1574560817,49
1574560820,49
1574560823,48
1574560826,48
1574560829,48
1574560832,48
1574560836,50
1574560839,50
1574560842,49
1574560845,49
1574560848,49
1574560851,48
1574560854,48
1574560857,50
1574560860,50
1574560863,49
1574560866,49
1574560869,49
1574560945,48
1574560947,48
1574560950,50
1574560953,50
1574560956,49
1574560959,49
1574560962,48
1574560965,48
1574560968,49
1574560971,49
1574560974,49
1574560977,48
1574560980,48
1574561571,48
1574561574,48
1574561577,49
1574561580,49
1574561583,49
1574561586,48
1574561589,48
1574561592,48
1574561595,48
1574561598,50
1574561601,50
1574561604,49
1574561682,49
1574561684,48
1574561687,48
1574561690,50
1574561693,50
1574561696,49
1574561699,49
1574561702,49
1574561705,48
1574561708,48
1574561711,49
1574561714,49
1574561717,49
1574561760,48
1574561762,48
1574561765,48
1574561768,48
1574561771,49
1574561774,49
1574561777,48
1574561780,48
1574561783,48
1574561786,48
1574561789,49
1574561792,49
1574561861,49
