Muscle_ID,Equipment_ID,Name,ID,Exercise_Type_ID
1,36,ab crunch machine,1,1
1,1,ab roller,2,2
1,16,advanced kettlebell windmill,3,1
1,,air bike,4,3
14,,all fours quad stretch,5,1
4,3,alternate hammer curl,6,1
1,,alternate heel touchers,7,2
4,3,alternate incline dumbbell curl,8,1
14,,alternate leg diagonal bound,9,1
15,36,alternating cable shoulder press,10,1
15,,alternating deltoid raise,11,1
6,,alternating floor press,12,1
9,,alternating hang clean,13,1
15,16,alternating kettlebell press,14,1
12,16,alternating kettlebell row,15,1
12,,alternating renegade row,16,1
5,,ankle circles,17,2
8,,ankle on the knee,18,2
5,,anterior tibialis-smr,19,1
15,,anti-gravity press,20,1
15,,arm circles,21,2
15,7,arnold dumbbell press,22,1
6,,around the worlds,23,1
11,31,atlas stone trainer,24,1
11,31,atlas stones,25,1
11,2,axle deadlift,26,1
15,8,back flyes - with bands,27,1
14,,backward drag,28,1
15,19,backward medicine ball throw,29,1
5,,balance board,30,2
9,,ball leg curl,31,1
10,8,band assisted pull-up,32,1
9,8,band good morning,33,1
9,8,band good morning (pull through),34,1
3,8,band hip adductions,35,1
15,8,band pull apart,36,1
17,8,band skull crusher,37,1
1,3,barbell ab rollout,38,1
1,3,barbell ab rollout - on knees,39,1
6,3,barbell bench press - medium grip,40,1
4,3,barbell curl,41,1
4,3,barbell curls lying against an incline,42,1
11,3,barbell deadlift,43,1
14,3,barbell full squat,44,1
8,3,barbell glute bridge,45,1
6,3,barbell guillotine bench press,46,1
14,3,barbell hack squat,47,1
8,3,barbell hip thrust,48,1
6,3,barbell incline bench press - medium grip,49,1
15,3,barbell incline shoulder raise,50,1
14,3,barbell lunge,51,1
15,3,barbell rear delt row,52,1
1,3,barbell rollout from bench,53,1
5,3,barbell seated calf raise,54,1
15,3,barbell shoulder press,55,1
16,3,barbell shrug,56,1
16,3,barbell shrug behind the back,57,1
1,3,barbell side bend,58,1
14,3,barbell side split squat,59,1
14,3,barbell squat,60,1
14,3,barbell squat to a bench,61,1
14,3,barbell step ups,62,1
14,3,barbell walking lunge,63,1
15,,battling ropes,64,3
14,,bear crawl sled drags,65,1
6,,behind head 6 stretch,66,1
17,40,bench dips,67,2
14,40,bench jump,68,2
17,40,bench press - powerlifting,69,1
6,40,bench press - with bands,70,1
17,40,bench press with chains,71,1
14,40,bench sprint,72,1
12,1,bent over barbell row,73,1
15,7,bent over dumbbell rear delt raise with head on bench,74,1
15,,bent over low-pulley side lateral,75,1
12,,bent over one-arm long bar row,76,1
12,,bent over two-arm long bar row,77,1
12,,bent over two-dumbbell row,78,1
12,,bent over two-dumbbell row with palms in,79,1
1,,bent press,80,1
10,1,bent-arm barbell pullover,81,1
6,,bent-arm dumbbell pullover,82,1
1,,bent-knee hip raise,83,2
14,,bicycling,84,3
14,,bicycling stationary,85,3
17,,board press,86,2
17,,body tricep press,87,2
17,,body-up,88,2
6,,bodyweight flyes,89,2
12,,bodyweight mid row,90,2
14,,bodyweight squat,91,2
14,,bodyweight walking lunge,92,2
1,4,bosu ball cable crunch with side bends,93,2
1,,bottoms up,94,2
7,,bottoms-up clean from the hang position,95,2
9,,box jump (multiple response),96,2
9,,box skip,97,2
14,,box squat,98,2
14,,box squat with bands,99,1
14,,box squat with chains,100,1
15,,bradford/rocky presses,101,1
8,,butt lift (bridge),102,2
1,,butt-ups,103,2
6,,butterfly,104,2
6,4,cable 6 press,105,1
6,4,cable crossover,106,1
1,4,cable crunch,107,1
14,4,cable deadlifts,108,1
4,4,cable hammer curls - rope attachment,109,1
14,4,cable hip adduction,110,1
17,4,cable incline 17 extension,111,1
10,4,cable incline pushdown,112,1
15,4,cable internal rotation,113,1
6,4,cable iron cross,114,1
1,4,cable judo flip,115,1
17,4,cable lying 17 extension,116,1
17,4,cable one arm tricep extension,117,1
4,4,cable preacher curl,118,1
15,4,cable rear delt fly,119,1
1,4,cable reverse crunch,120,1
17,4,cable rope overhead 17 extension,121,1
15,4,cable rope rear-delt rows,122,1
1,4,cable russian twists,123,1
1,4,cable seated crunch,124,1
15,4,cable seated lateral raise,125,1
15,4,cable shoulder press,126,1
16,4,cable shrugs,127,1
1,4,cable tuck reverse crunch,128,1
7,4,cable wrist curl,129,1
5,,calf press,130,1
5,36,calf press on the leg press machine,131,1
5,,calf raise on a dumbbell,132,1
5,,calf raises - with bands,133,1
5,,calf stretch elbows against wall,134,2
5,,calf stretch hands against wall,135,2
16,36,calf-machine shoulder shrug,136,2
14,,car deadlift,137,1
15,,car drivers,138,1
3,,carioca quick step,139,3
11,,cat stretch,140,2
10,,catch and overhead throw,141,1
17,5,chain handle extension,142,1
6,5,chain press,143,1
10,,chair 11 stretch,144,1
9,,chair leg extended stretch,145,2
14,,chair squat,146,2
15,,chair upper body stretch,147,2
11,,child's pose,148,2
13,,chin to 6 stretch,149,2
10,,chin-up,150,2
15,,circus bell,151,1
9,,clean,152,1
15,,clean and jerk,153,1
15,,clean and press,154,1
9,,clean deadlift,155,1
14,,clean from blocks,156,1
14,,clean pull,157,1
16,,clean shrug,158,1
6,,clock push-up,159,1
17,3,close-grip barbell bench press,160,1
17,7,close-grip dumbbell press,161,1
4,41,close-grip ez bar curl,162,1
4,41,close-grip ez-bar curl with band,163,1
17,41,close-grip ez-bar press,164,1
10,,close-grip front lat pulldown,165,1
17,7,close-grip push-up off of a dumbbell,166,1
4,3,close-grip standing barbell curl,167,1
1,,cocoons,168,1
14,,conan's wheel,169,1
4,,concentration curls,170,1
4,,cross body hammer curl,171,1
6,,cross over - with bands,172,2
1,,cross-body crunch,173,2
11,,crossover reverse lunge,174,2
15,,crucifix,175,1
1,,crunch - hands overhead,176,1
1,,crunch - legs on exercise ball,177,1
1,,crunches,178,1
15,,cuban press,179,1
11,,dancer's stretch,180,2
11,,deadlift with bands,181,1
11,,deadlift with chains,182,1
6,3,decline barbell bench press,183,1
17,,decline close-grip bench to skull crusher,184,1
1,,decline crunch,185,2
17,7,decline dumbbell 17 extension,186,1
6,7,decline dumbbell bench press,187,1
6,7,decline dumbbell flyes,188,1
17,41,decline ez bar 17 extension,189,1
1,,decline oblique crunch,190,2
6,,decline push-up,191,2
1,,decline reverse crunch,192,2
6,,decline smith press,193,1
11,,deficit deadlift,194,1
14,,depth jump leap,195,2
17,36,dip machine,196,2
17,,dips - 17 version,197,2
6,,dips - 6 version,198,2
5,,donkey calf raises,199,2
9,,double kettlebell alternating hang clean,200,1
15,,double kettlebell jerk,201,1
15,,double kettlebell push press,202,1
15,,double kettlebell snatch,203,1
1,,double kettlebell windmill,204,1
14,,double leg butt kick,205,2
8,,downward facing balance,206,2
4,,drag curl,207,1
6,,drop push,208,2
4,7,dumbbell alternate bicep curl,209,1
6,7,dumbbell bench press,210,1
6,7,dumbbell bench press with neutral grip,211,1
4,7,dumbbell bicep curl,212,1
9,7,dumbbell clean,213,1
17,7,dumbbell floor press,214,1
6,7,dumbbell flyes,215,1
12,7,dumbbell incline row,216,1
15,7,dumbbell incline shoulder raise,217,1
14,7,dumbbell lunges,218,1
15,7,dumbbell lying one-arm rear lateral raise,219,1
7,7,dumbbell lying pronation,220,1
15,7,dumbbell lying rear lateral raise,221,1
7,7,dumbbell lying supination,222,1
17,7,dumbbell one-arm 17 extension,223,1
15,7,dumbbell one-arm shoulder press,224,1
15,7,dumbbell one-arm upright row,225,1
4,7,dumbbell prone incline curl,226,1
15,7,dumbbell raise,227,1
14,7,dumbbell rear lunge,228,1
15,7,dumbbell scaption,229,1
14,7,dumbbell seated box jump,230,1
5,7,dumbbell seated one-leg calf raise,231,1
15,7,dumbbell shoulder press,232,1
16,7,dumbbell shrug,233,1
1,7,dumbbell side bend,234,1
14,7,dumbbell squat,235,1
14,7,dumbbell squat to a bench,236,1
14,7,dumbbell step ups,237,1
17,7,dumbbell tricep extension -pronated grip,238,1
6,,dynamic 6 stretch,239,2
10,,dynamic back stretch,240,2
15,,elbow circles,241,2
1,,elbow to knee,242,2
6,,elbows back,243,2
14,,elevated back lunge,244,2
10,4,elevated cable rows,245,1
14,9,elliptical trainer,246,3
1,,exercise ball crunch,247,2
